Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Roll_liquid_taste.stopped,spit_sound.stopped,p_port_18.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_14.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,19.83580128024332,0.0005246000364422798,0.08430010010488331,20.102524399990216,20.33591122003272,20.60243840003386,20.835700020054354,21.102334999945015,21.102334999945015,0.01770070008933544,0.11781840003095567,36.11927550006658,15.001286100130528,36.21919950004667,0.003537100041285157,0.10114019992761314,42.2024206998758,6.0010841998737305,42.31915170000866,42.31915170000866,0.001267099753022194,0.10107609978877008,space,6.273744800128043,48.635731799993664,48.635731799993664,3.969995304942131e-05,0.09618849982507527,num_9,6.717470600036904,55.40242932001129,0.0022464001085609198,0.09776649996638298,55.702439500018954,56.18563042008318,56.502443299861625,56.98571591996588,57.302456999896094,57.402448900043964,65.41907000006177,65.41903941994534,0.017594899982213974,0.1145906001329422,67.41952869994566,67.58580360002816,68.08575139986351,10.031043299939483,75.55252319993451,0.033661099849268794,75.55252319993451,0.1476717998739332,4.0,6.398329199990258,81.96928229997866,0.002615500008687377,0.09804930002428591,87.98571979999542,88.15235931994394,6.214445800054818,6.314428499899805,89.16902190004475,108.15223671994173,108.15236869989894,26.21444100001827,26.31441059987992,109.15240160003304,111.16899430006742,111.16899430006742,0.03108870005235076,0.13118700007908046,141.16913320007734,30.031197200063616,,,,,,,,,,,,7152,Gustatory,2024-08-16_13h40.22.623,Gustatory_Condition_v2,2022.2.5,30.000543017455886,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,141.28569759987295,0.014990099938586354,0.11416119989007711,147.2856489000842,6.014373200014234,147.38566299993545,147.38566299993545,0.01448969985358417,0.11432529985904694,space,2.1669926000759006,149.60241879988462,149.60241879988462,5.139992572367191e-05,0.0981374999973923,num_9,2.6143757000099868,152.26901462008246,0.002167500089854002,0.0979470000602305,152.56894359993748,153.0521979200188,153.3522838000208,153.86897142007948,154.16898879990913,154.26897350000218,162.26899069990031,162.2690911200829,0.0018864001613110304,0.09800040000118315,164.2689799000509,164.45231510000303,164.95254980004393,10.014602600131184,172.3854984000791,0.017609599977731705,172.3854984000791,0.11463299999013543,4.0,4.864665099885315,177.28578839986585,0.00219590007327497,0.0986156000290066,183.30237550009042,183.4689545199275,6.21514380001463,6.315472499933094,,203.46889691995457,203.46891469997354,26.215138799976557,26.315122399944812,204.46883550006896,206.46884969994426,206.46884969994426,0.015049600042402744,0.11511839996092021,236.48569569992833,30.031910400139168,162.26899069990031,,,,,,,,,,,7152,Gustatory,2024-08-16_13h40.22.623,Gustatory_Condition_v2,2022.2.5,30.000543017455886,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,236.60230929986574,0.016003400087356567,0.11521989991888404,242.61888059997,6.03170430008322,242.71894829999655,242.71894829999655,0.032072499860078096,0.1317706999834627,space,2.06665930012241,244.81886869994923,244.81886869994923,4.850002005696297e-05,0.09709100006148219,num_9,1.5020653002429754,246.36906362008304,0.0029094000346958637,0.09797849995084107,246.66870469995774,247.15202861987055,247.45215959986672,247.95204151989893,248.2689147000201,248.36888229986653,256.3688453999348,256.3689598199911,0.001290000043809414,0.09783380012959242,258.368842799915,258.5688286998775,259.0688426999841,10.031278100097552,266.50200990005396,0.03380519989877939,266.50200990005396,0.13114049984142184,2.0,3.198380700079724,269.735478800023,0.00233820010907948,0.09821680001914501,275.75214160000905,275.91881961990146,6.214796500047669,6.314702900126576,276.91869359998964,295.9187680199742,295.91880559991114,26.21477900003083,26.314743499970064,,298.93549699988216,298.93549699988216,0.00044350000098347664,0.09805970010347664,328.9353010999039,30.031191900139675,256.3688453999348,,,,,,,,,,,7152,Gustatory,2024-08-16_13h40.22.623,Gustatory_Condition_v2,2022.2.5,30.000543017455886,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,329.0520685000811,0.015343500068411231,0.11478459998033941,335.06873370008543,6.031464600004256,335.1686907999683,335.1686907999683,0.03143039997667074,0.1312529998831451,space,0.6480054999701679,335.8687304998748,335.8687304998748,4.449998959898949e-05,0.0980163998901844,num_9,1.5967891002073884,337.5020334200002,0.0020379999186843634,0.09794979984872043,337.801977599971,338.28527262001296,338.6020331000909,339.0853355199564,339.385171599919,339.48534919996746,347.5022026998922,347.50203511989673,-0.0002933000214397907,0.09811629983596504,349.51868629991077,349.6855526000727,350.1853495000396,10.014319299953058,357.6018962999806,0.031075999839231372,357.6018962999806,0.13112809974700212,6.0,3.5667520000133663,361.2022354998626,0.0016915001906454563,0.11590780015103519,367.2020240998827,367.3686471200548,6.199141300050542,6.29921010020189,,387.3685702200513,387.3685828000307,26.199165900005028,26.299167100107297,388.36849320004694,390.36861889995635,390.40194669994526,-0.0007556998170912266,0.09910510014742613,420.4185138999019,30.01570640015416,347.5022026998922,348.51861239993013,10.097610999830067,,,,,,,,,7152,Gustatory,2024-08-16_13h40.22.623,Gustatory_Condition_v2,2022.2.5,30.000543017455886,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,420.5184955999721,0.016413399949669838,0.11569050000980496,426.53514209995046,5.999018700094894,426.60183189995587,426.60183189995587,-0.0002109999768435955,0.09893859992735088,space,1.6631823000498116,428.3018437998835,428.3018437998835,5.360017530620098e-05,0.09762040013447404,num_9,1.5794857000000775,429.9351467200089,0.0022648999001830816,0.09801559988409281,430.2518539999146,430.71837171991353,431.0183868999593,431.51836331989614,,431.9186597999651,439.9351808000356,439.93510882006956,0.0013973999302834272,0.09795000008307397,441.9517649000045,442.1183905999642,442.6350823000539,10.031256099930033,450.0683943000622,0.034006299916654825,450.0683943000622,0.13132489984855056,2.0,3.5987107001710683,453.70201359991916,0.0015442001167684793,0.09908069996163249,459.70173419988714,459.9016652198974,6.1990386000834405,6.299065100029111,460.90173329995014,479.88495342000385,479.88498119986616,26.215739200124517,26.31571330013685,480.90172090008855,482.90166809991933,482.90166809991933,0.001495900098234415,0.09924110001884401,512.9016779998783,30.03243190003559,439.9351808000356,440.9517780998722,,6.099019299959764,,,,,,,,7152,Gustatory,2024-08-16_13h40.22.623,Gustatory_Condition_v2,2022.2.5,30.000543017455886,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.0183804000262,0.01585419988259673,0.11569899995811284,543.034785799915,30.032130799954757,,,7152,Gustatory,2024-08-16_13h40.22.623,Gustatory_Condition_v2,2022.2.5,30.000543017455886,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,543.1349261000287,0.03413759986869991,0.13214279990643263,549.1347604000475,6.032146699959412,549.2347868999932,549.2347868999932,0.03222109982743859,0.1322183997835964,space,1.1358860002364963,550.434769500047,550.434769500047,4.8999907448887825e-05,0.09779840009287,num_9,1.590311200125143,552.0681330199353,0.0020014001056551933,0.09752549999393523,,552.8513208200224,553.1513692000881,553.651275419956,553.9513912000693,554.0514372999314,562.0514171998948,562.0513701200019,0.014106099959462881,0.11406229995191097,564.0514491000213,564.2513069000561,564.7512985998765,10.030639800010249,572.1845664998982,0.01674810005351901,572.1845664998982,0.11388329998590052,2.0,2.2650802999269217,574.4849638000596,0.0016482002101838589,0.09912700019776821,580.5013351999223,580.6680373198818,6.215713100042194,6.315729200141504,581.6679598998744,600.6679241199512,600.6679668999277,26.215718900086358,26.31562660005875,601.6847029000055,603.6679320998956,603.6679320998956,0.01568040018901229,0.11561420024372637,633.6510270999279,30.01541840005666,562.0514171998948,563.0514068999328,,,,,,,,30.09861240023747,,7152,Gustatory,2024-08-16_13h40.22.623,Gustatory_Condition_v2,2022.2.5,30.000543017455886,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,633.7844803999178,-0.000619000056758523,0.09883849998004735,639.8011409998871,6.015457300003618,639.9011434998829,639.9011434998829,0.015718699898570776,0.11547850002534688,space,0.6517414001282305,640.6011767999735,640.6011767999735,4.5800115913152695e-05,0.09806470014154911,num_9,1.2479613001924008,641.8844865200575,0.0018398999236524105,0.09786249999888241,642.2012638999149,642.6845974199008,643.0011612998787,643.4677983199712,643.7845004000701,643.8844699000474,651.8844576000702,651.8843175199348,0.0003939999733120203,0.09784019994549453,653.884504500078,654.0677888998762,654.5677630999126,10.014423499815166,661.9842902000528,-8.00001434981823e-05,661.9842902000528,0.09765689983032644,5.0,3.1321650999598205,665.1510779000819,0.0026972999330610037,0.09714119997806847,671.1678506000899,671.3344948199577,6.213808299973607,6.313587799901143,672.3510714999866,691.334034219943,691.3174839999992,26.2135562999174,26.313739099772647,692.3509102999233,694.3176257000305,694.3509261000436,0.030359499854966998,0.130390299949795,724.350826199865,30.03032649983652,651.8844576000702,652.9011625999119,10.097790299914777,,,,,,,,,7152,Gustatory,2024-08-16_13h40.22.623,Gustatory_Condition_v2,2022.2.5,30.000543017455886,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,724.4840545998886,0.03096399991773069,0.14693469973281026,730.4841543999501,6.030254899756983,730.5841747999657,730.5841747999657,0.030364099657163024,0.1302146997768432,space,0.9443840000312775,731.5674220998771,731.5674220998771,1.850002445280552e-05,0.09918600018136203,num_9,1.4654711000621319,733.0674901200458,0.0017411001026630402,0.09806229989044368,733.367356200004,733.8506710199639,734.1674496000633,734.6507993199397,734.9673613000195,735.0508083000313,743.0674952000845,743.0676731200423,0.001010499894618988,0.09816169994883239,745.0674566999078,745.2674648999237,745.7674481000286,10.031417599879205,753.201011300087,0.03397299977950752,753.201011300087,0.13147519994527102,2.0,2.2981992000713944,755.5343379999977,0.0026533999480307102,0.09752100007608533,761.5340817000251,761.7341443198733,6.2140775001607835,6.314152900129557,762.7507007999811,781.7339131199755,781.7339814999141,26.230797900119796,26.330604900140315,782.7506174000446,784.7339840999339,784.7339840999339,-0.00012059998698532581,0.0972487002145499,814.7505338999908,30.013952900189906,743.0674952000845,,,,,,,,,,,7152,Gustatory,2024-08-16_13h40.22.623,Gustatory_Condition_v2,2022.2.5,30.000543017455886,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,814.8504359999206,0.0146484998986125,0.11395510006695986,820.867294699885,6.030609000008553,820.9506383999251,820.9506383999251,0.014011699939146638,0.1141863998491317,space,0.578954900149256,821.583820699947,821.583820699947,5.45999500900507e-05,0.09759689983911812,num_9,1.2733810001518577,822.9171601199545,0.0022016000002622604,0.1146617999766022,,823.7004585199523,824.0005635998677,824.5171329200733,824.8170433000196,824.9007832000498,832.9171130000614,832.9170849200804,0.001433999976143241,0.09794349991716444,834.9171040998772,835.0836493000388,835.6004387000576,10.031167000066489,843.0337368000764,0.017283699940890074,843.0337368000764,0.11458409996703267,5.0,3.431584300007671,846.5004956999328,0.002261500107124448,0.09814299992285669,852.4834930000361,852.6836713199503,6.214735300047323,6.314758199965581,853.7003436000086,872.6834740199614,872.6836506000254,26.21473759994842,26.31471690000035,873.700285299914,875.7003140000161,875.7003140000161,0.000650899950414896,0.0979879000224173,905.7168324999511,30.014691600110382,832.9171130000614,833.9174381999765,,,,,,,,,,7152,Gustatory,2024-08-16_13h40.22.623,Gustatory_Condition_v2,2022.2.5,30.000543017455886,
