loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,p_port_6.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,13.396695368969812,0.001042699906975031,0.11533339973539114,13.711262899916619,13.977913970174267,14.294573400169611,14.561432269914075,15.177972069988027,15.494602600112557,15.494602600112557,0.0006732996553182602,0.09895379981026053,30.494677300099283,15.032447099685669,30.611253600101918,0.015708299819380045,0.11567149963229895,31.077885299921036,space,1.3992141000926495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.46109879994765,123.46109879994765,0.006891599856317043,0.11360969999805093,4.0,2.4411510000936687,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.92759749991819,125.92759749991819,0.006526099983602762,0.09905799990519881,4.0,1.4934654999524355,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.47788899997249,127.47788899997249,0.007745200302451849,0.11402440024539828,5.0,2.140666500199586,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.64424040028825,129.64424040028825,0.006576699670404196,0.09935329994186759,4.0,1.4607132002711296,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.1441994998604,131.1441994998604,0.006389199756085873,0.0993025996722281,3.0,3.3270683996379375,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.51092679984868,134.51092679984868,0.007924499921500683,0.09780590003356338,4.0,2.157620499841869,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.7110812999308,136.7110812999308,0.0012945998460054398,0.09830729989334941,4.0,6.931191100273281,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,143.67801589984447,0.00014040013775229454,0.09929150016978383,149.67769929999486,5.9992288001812994,149.87788140028715,149.87788140028715,0.08865289995446801,0.19947380013763905,5.999275400303304,155.94429380027577,155.94429380027577,155.94429380027577,0.055381199810653925,0.16614519990980625,161.64446099987254,161.84427230013534,5.999114700127393,6.099148899782449,167.84433950018138,11.999236499890685,167.94435920007527,167.94435920007527,167.97778460010886,167.97778460010886,0.00015199976041913033,0.09918379969894886,up,0.6593096000142395,168.67772210016847,4.229974001646042e-05,0.09788239980116487,174.67815000005066,174.67815000005066,174.67815000005066,0.008541400078684092,0.09777959994971752,4.0,2.8569753002375364,,,,,,,6.099259700160474,155.94429380027577,155.94429380027577,6.099219600204378,12.099259700160474,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.57773749995977,177.57773749995977,0.006830899976193905,0.09922369988635182,4.0,1.3599144998006523,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.977673899848,178.977673899848,0.006704600062221289,0.09910380002111197,4.0,2.2934714001603425,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.31119479984045,181.31119479984045,0.008012200240045786,0.09807000029832125,2.0,5.257613299880177,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
