loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,p_port_9.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,15.422968442551792,0.0007114000618457794,0.1023923996835947,16.119284909777342,16.552628999575973,0.004654800519347191,0.10285730101168156,31.552562199532986,15.002952801063657,31.65265790000558,31.65265790000558,0.0029099006205797195,0.10264040157198906,space,5.158507900312543,,,,,,,,,,,,,,,,,,6466,Visual,2024-07-03_10h39.41.700,Visual_Condition_v2,2022.2.5,30.00558400136076,
0,0,0,0,,,,,,,,,,,,,,,,36.85256899893284,0.0008422005921602249,0.09906559996306896,42.869103798642755,6.015744900330901,42.98579389974475,0.030998501926660538,0.13249300047755241,5.999270800501108,48.9859353993088,6.099208600819111,49.052467999979854,0.0029379017651081085,0.0989685021340847,0.0,5.463703600689769,,6466,Visual,2024-07-03_10h39.41.700,Visual_Condition_v2,2022.2.5,30.00558400136076,
1,0,1,0,,,,,,,,,,,,,,,,54.55286059901118,0.0005568992346525192,0.09699719958007336,60.569179598242044,6.0135786999017,60.68574329838157,0.039021000266075134,0.1301812008023262,6.030304700136185,66.68582469969988,,66.76911089941859,0.015148701146245003,0.11354489997029305,0.0,3.166262399405241,,6466,Visual,2024-07-03_10h39.41.700,Visual_Condition_v2,2022.2.5,30.00558400136076,
2,0,2,0,,,,,,,,,,,,,,,,69.96941549889743,0.0006181001663208008,0.09772340022027493,75.9858475998044,6.014155799522996,76.11905089952052,0.051371101289987564,0.14750760048627853,6.014381900429726,82.11917609907687,,82.1856835000217,0.016934800893068314,0.11411720141768456,1.0,5.631526499986649,,6466,Visual,2024-07-03_10h39.41.700,Visual_Condition_v2,2022.2.5,30.00558400136076,
3,0,3,0,,,,,,,,,,,,,,,,87.85270269960165,0.0005191992968320847,0.09712079912424088,93.86906769871712,6.013833299279213,94.18589389882982,0.17852980084717274,0.3307246007025242,6.030562300235033,,,100.0856693983078,0.032833199948072433,0.13035310059785843,0.0,2.298590099439025,,6466,Visual,2024-07-03_10h39.41.700,Visual_Condition_v2,2022.2.5,30.00558400136076,
4,0,4,0,,,,,,,,,,,,,,,,102.41953979991376,0.0005098003894090652,0.09810900129377842,108.4357860982418,6.014797700569034,108.56881549954414,0.046865301206707954,0.14777930080890656,6.0148129016160965,114.56924749910831,,114.63563939929008,0.017284400761127472,0.11471240036189556,0.0,1.3984519001096487,,6466,Visual,2024-07-03_10h39.41.700,Visual_Condition_v2,2022.2.5,30.00558400136076,
5,0,5,0,,,,,,,,,,,,,,,,116.069521099329,0.0006691999733448029,0.09794720076024532,122.0690384991467,6.031174801290035,122.21893639862537,0.04865570180118084,0.14782370068132877,6.014425801113248,128.21898579970002,,128.28574029915035,0.017352301627397537,0.11451900191605091,0.0,3.164836099371314,,6466,Visual,2024-07-03_10h39.41.700,Visual_Condition_v2,2022.2.5,30.00558400136076,
6,0,6,0,,,,,,,,,,,,,,,,131.4861977994442,0.00024070031940937042,0.09888119995594025,137.4856711998582,6.032268999144435,137.63556129857898,0.04939250089228153,0.1488586999475956,6.01555659994483,143.63560239970684,,143.70222679898143,0.0183103010058403,0.1153413001447916,0.0,0.9645223002880812,,6466,Visual,2024-07-03_10h39.41.700,Visual_Condition_v2,2022.2.5,30.00558400136076,
7,0,7,0,,,,,,,,,,,,,,,,144.70228029973805,0.0008821003139019012,0.0971217006444931,150.702282698825,6.030367800965905,150.85220879875124,0.050585901364684105,0.14712020009756088,6.013646000996232,156.85226659849286,,156.918824698776,0.016408901661634445,0.11392490193247795,3.0,3.798226499930024,,6466,Visual,2024-07-03_10h39.41.700,Visual_Condition_v2,2022.2.5,30.00558400136076,
8,0,8,0,,,,,,,,,,,,,,,,160.75248919986188,0.0004865005612373352,0.09735419973731041,166.76902469992638,6.01393329910934,166.88587359897792,0.02728470042347908,0.1307717002928257,6.030542399734259,172.88558409921825,,172.9855324998498,0.03338310122489929,0.13047230057418346,3.0,2.331776401028037,,6466,Visual,2024-07-03_10h39.41.700,Visual_Condition_v2,2022.2.5,30.00558400136076,
