loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,14.302681979816407,0.000547099974937737,0.09682390000671148,14.718640299979597,15.00215065998491,15.418520799954422,0.027597400010563433,0.11365229997318238,30.435377300018445,15.03028369997628,30.53534259996377,30.53534259996377,0.03043819998856634,0.13024700002279133,space,1.40086179994978,,,,,,,,,,,,,,,,,,2635,Visual,2025-03-07_17h35.16.239,Visual_Condition_v2,2022.2.5,30.045675430308986,
0,0,0,0,,,,,,,,,,,,,,,,,32.0020146999741,0.0018066000193357468,0.09853660000953823,38.00201120006386,6.031927000032738,38.152107700007036,0.05141600000206381,0.14884980011265725,6.015195600106381,44.151959800045006,44.21850049996283,0.018182600033469498,0.1150862000649795,3.0,3.714682799996808,,,2635,Visual,2025-03-07_17h35.16.239,Visual_Condition_v2,2022.2.5,30.045675430308986,
1,0,1,0,,,,,,,,,,,,,,,,,47.968808999983594,0.00029120000544935465,0.09856220008805394,53.968652999959886,6.03200970008038,54.10190090001561,0.02646460011601448,0.13190520007628947,6.031920200097375,60.10195929999463,60.20192560006399,0.03458270011469722,0.13193620007950813,0.0,3.33170700003393,,,2635,Visual,2025-03-07_17h35.16.239,Visual_Condition_v2,2022.2.5,30.045675430308986,
2,0,2,0,,,,,,,,,,,,,,,,,63.56881540000904,0.00023560004774481058,0.09908469999209046,69.58525770006236,6.015637499978766,69.70210700004827,0.03154530003666878,0.13255580002442002,5.999015100067481,75.70214229996782,75.76854439999443,0.00011850008741021156,0.09893160010688007,3.0,1.2331326000858098,6.099098699982278,,2635,Visual,2025-03-07_17h35.16.239,Visual_Condition_v2,2022.2.5,30.045675430308986,
3,0,3,0,,,,,,,,,,,,,,,,,77.03557920001913,0.0005341999931260943,0.09733609994873405,83.03516369999852,6.030629299930297,83.16840149997734,0.03603870002552867,0.13044990005437285,6.030590999987908,89.16847439995036,89.2684370999923,0.03341590007767081,0.13075360003858805,3.0,1.2315248999511823,,,2635,Visual,2025-03-07_17h35.16.239,Visual_Condition_v2,2022.2.5,30.045675430308986,
4,0,4,0,,,,,,,,,,,,,,,,,90.53540479997173,0.000511899939738214,0.09711019997484982,96.5517996000126,6.013690399937332,96.68501659994945,0.053917499957606196,0.1469857000047341,6.013682899996638,102.68513040000107,102.75166820001323,0.016432999982498586,0.11364090000279248,3.0,2.0982386999530718,,,2635,Visual,2025-03-07_17h35.16.239,Visual_Condition_v2,2022.2.5,30.045675430308986,
5,0,5,0,,,,,,,,,,,,,,,,,104.88521640002728,0.0005038999952375889,0.09701900009531528,110.88508140004706,6.030365600017831,111.01825139997527,0.038973000133410096,0.13034620007965714,6.030330200097524,117.01842300000135,117.10164130001795,0.016094200080260634,0.11361090012360364,3.0,0.765119899995625,,,2635,Visual,2025-03-07_17h35.16.239,Visual_Condition_v2,2022.2.5,30.045675430308986,
6,0,6,0,,,,,,,,,,,,,,,,,117.9019628999522,0.0005108000477775931,0.09756929997820407,123.90170250006486,6.0308570000343025,124.03501290001441,0.03414960007648915,0.13091410009656101,6.03084060002584,130.03501400002278,130.13494759995956,0.03368760005105287,0.13085730012971908,3.0,0.7314239999977872,,,2635,Visual,2025-03-07_17h35.16.239,Visual_Condition_v2,2022.2.5,30.045675430308986,
7,0,7,0,,,,,,,,,,,,,,,,,130.9017562000081,0.00023999996483325958,0.09892420005053282,136.90169820003211,6.032316099968739,137.06846550002228,0.06546489999163896,0.16584859997965395,5.999141199979931,143.06831430003513,143.10161670006346,0.0023566000163555145,0.09891210007481277,3.0,0.7974189999513328,6.098962899995968,,2635,Visual,2025-03-07_17h35.16.239,Visual_Condition_v2,2022.2.5,30.045675430308986,
8,0,8,0,,,,,,,,,,,,,,,,,143.93515829998069,0.00024910003412514925,0.09910110000055283,149.9516448000213,6.015641700010747,150.068104499951,0.04205679998267442,0.13261730002705008,5.999127999995835,156.05144740000833,156.13490669999737,0.0020428000716492534,0.09904440003447235,3.0,0.8647191999480128,6.098933700006455,,2635,Visual,2025-03-07_17h35.16.239,Visual_Condition_v2,2022.2.5,30.045675430308986,
9,0,9,0,,,,,,,,,,,,,,,,,157.03513620002195,0.0004401999758556485,0.0974593999562785,163.03491489996668,6.030777900014073,163.20169949997216,0.054822999984025955,0.16430840000975877,6.030825600028038,169.20156700001098,169.26822219998576,0.03344460006337613,0.1305874000536278,4.0,0.7985016000457108,,,2635,Visual,2025-03-07_17h35.16.239,Visual_Condition_v2,2022.2.5,30.045675430308986,
10,0,10,0,,,,,,,,,,,,,,,,,170.10156540002208,0.00024260010104626417,0.09903650009073317,176.10149669996463,6.03233340010047,176.2685163000133,0.056808400084264576,0.16564280004240572,5.999026700039394,182.26817830000073,182.30144690000452,0.0023368000984191895,0.09896750014740974,3.0,1.3310273999813944,6.098998400033452,,2635,Visual,2025-03-07_17h35.16.239,Visual_Condition_v2,2022.2.5,30.045675430308986,
