loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,p_port_6.stopped,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,p_port_10.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,Instructions_Affinity_Score.stopped,p_port_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,21.176402419991792,0.0007939999923110008,0.11941789998672903,21.50703199999407,21.756775390030818,22.05674139992334,22.356826989818366,22.673394500045106,22.956759289978073,23.273414899827912,23.273414899827912,0.01932159997522831,0.11934270011261106,43.27364389994182,20.019564300077036,43.40681069996208,0.019459599861875176,0.13582149986177683,43.87346939998679,space,3.6561503000557423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669,Moral,2024-02-20_12h32.56.620,MoralCondition_v2,2022.2.5,30.036091362465715,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,47.57341880002059,0.0007380000315606594,0.0993939999025315,53.57334390003234,5.999367999844253,6.099201099947095,53.79012639983557,53.79012639983557,0.08296429994516075,0.21604879992082715,6.016032999847084,59.87341060000472,59.87341060000472,59.87341060000472,0.0772233996540308,0.1995254997164011,65.5734298999887,65.74009289988317,5.999391299672425,6.09944779984653,71.74003879982047,11.99933939985931,71.8734066998586,71.8734066998586,12.09945369977504,71.8734066998586,71.8734066998586,0.0003887997008860111,0.09929609973914921,up,1.3847523001022637,73.30682789999992,6.600003689527512e-05,0.09731370001100004,79.34032059996389,79.34032059996389,0.03084300016053021,0.1305286001879722,3.0,2.9679456998128444,,,,,,,,,,,669,Moral,2024-02-20_12h32.56.620,MoralCondition_v2,2022.2.5,30.036091362465715,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.356935699936,82.356935699936,0.015418399823829532,0.11571929999627173,2.0,2.0680283999536186,,,,,,,,,,,669,Moral,2024-02-20_12h32.56.620,MoralCondition_v2,2022.2.5,30.036091362465715,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.47342769987881,84.47342769987881,0.012428200105205178,0.11635370017029345,2.0,2.0044840001501143,,,,,,,,,,,669,Moral,2024-02-20_12h32.56.620,MoralCondition_v2,2022.2.5,30.036091362465715,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.50661699986085,86.50661699986085,0.012657599989324808,0.0990325000602752,1.0,2.1875652000308037,,,,,,,,,,,669,Moral,2024-02-20_12h32.56.620,MoralCondition_v2,2022.2.5,30.036091362465715,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.75661829998717,88.75661829998717,0.015192300081253052,0.11443460010923445,1.0,1.2003248000983149,,,,,,,,,,,669,Moral,2024-02-20_12h32.56.620,MoralCondition_v2,2022.2.5,30.036091362465715,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.00679420004599,90.00679420004599,0.015219199936836958,0.11441399995237589,1.0,1.7001977001782507,,,,,,,,,,,669,Moral,2024-02-20_12h32.56.620,MoralCondition_v2,2022.2.5,30.036091362465715,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.7568230999168,91.7568230999168,0.013841000152751803,0.1138401001226157,6.0,2.034326999913901,,,,,,,,,,,669,Moral,2024-02-20_12h32.56.620,MoralCondition_v2,2022.2.5,30.036091362465715,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.82329329987988,93.82329329987988,0.0006994002033025026,0.09920940012671053,7.0,3.6666057999245822,,,,,669,Moral,2024-02-20_12h32.56.620,MoralCondition_v2,2022.2.5,30.036091362465715,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,97.52360900002532,0.00036079995334148407,0.09676919993944466,103.53999499999918,6.013443300034851,,103.70647650002502,103.70647650002502,0.07715989975258708,0.18008889979682863,6.013390699867159,109.80649139988236,109.80649139988236,109.80649139988236,0.06650659977458417,0.18008799967356026,115.50664289994165,115.70665439986624,6.013428999809548,6.113383599789813,121.70665309997275,12.01344529981725,121.80664570000954,121.80664570000954,,121.83991159987636,121.83991159987636,0.01359139964915812,0.11349959974177182,up,1.2495782000478357,123.13998089986853,4.4999876990914345e-05,0.09794659982435405,129.13977999985218,129.13977999985218,0.010412599891424179,0.09803889994509518,2.0,1.9551739001180977,,,,,,,109.7066909999121,109.7066909999121,129.13977999985218,,669,Moral,2024-02-20_12h32.56.620,MoralCondition_v2,2022.2.5,30.036091362465715,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.1567263000179,131.1567263000179,0.008150199893862009,0.11450799996964633,2.0,1.7738324999809265,,,,,,,,,,,669,Moral,2024-02-20_12h32.56.620,MoralCondition_v2,2022.2.5,30.036091362465715,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.95681219990365,132.95681219990365,0.007828900124877691,0.09759770007804036,1.0,1.3910016000736505,,,,,,,,,,,669,Moral,2024-02-20_12h32.56.620,MoralCondition_v2,2022.2.5,30.036091362465715,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.3898499000352,134.3898499000352,0.008194000227376819,0.09918760019354522,2.0,1.5263200998306274,,,,,,,,,,,669,Moral,2024-02-20_12h32.56.620,MoralCondition_v2,2022.2.5,30.036091362465715,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.95658729993738,135.95658729993738,0.0061685999389737844,0.09849820006638765,6.0,1.993752600159496,,,,,,,,,,,669,Moral,2024-02-20_12h32.56.620,MoralCondition_v2,2022.2.5,30.036091362465715,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.98986219987273,137.98986219987273,0.008628999814391136,0.09917379985563457,2.0,1.5249745999462903,,,,,,,,,,,669,Moral,2024-02-20_12h32.56.620,MoralCondition_v2,2022.2.5,30.036091362465715,
