loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,Instructions_Affinity_Score.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.42839721045457,0.0008001001551747322,0.10685440013185143,16.747434800025076,17.04754932965152,17.34728719992563,17.630445430008695,17.94739199988544,18.23045462970622,18.563909399788827,18.563909399788827,0.04017100017517805,0.14018729981034994,33.547170099802315,15.00676769996062,15.090084599796683,33.64744189986959,0.023839700035750866,0.12337859999388456,34.130599400028586,space,5.232507500331849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7451,Moral,2025-02-10_09h30.23.177,MoralCondition_v2,2022.2.5,29.95830101974062,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,39.41393549973145,0.019338299985975027,0.11492899991571903,45.41394349979237,6.015000999905169,45.68065889971331,45.68065889971331,0.14412730000913143,0.2816067999228835,6.014952699653804,51.69735849974677,51.69735849974677,51.69735849974677,0.07289589988067746,0.19858139986172318,57.397278499789536,57.59726949967444,6.031646399758756,6.13179719960317,63.59727369993925,12.031626999843866,63.69742949958891,63.69742949958891,63.73058999981731,63.73058999981731,0.03195109963417053,0.13158049946650863,up,1.9681501002050936,65.74734629970044,4.439987242221832e-05,0.09767739987000823,71.78067849995568,71.78067849995568,0.027639499865472317,0.13110159989446402,3.0,8.187642199918628,,,,,,,,,,,,,7451,Moral,2025-02-10_09h30.23.177,MoralCondition_v2,2022.2.5,29.95830101974062,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.01407509995624,80.01407509995624,0.009852600283920765,0.11468659993261099,3.0,5.205945999827236,,,,,,,,,,,,,7451,Moral,2025-02-10_09h30.23.177,MoralCondition_v2,2022.2.5,29.95830101974062,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.26408089976758,85.26408089976758,0.01141069969162345,0.11456779995933175,3.0,4.604189100209624,,,,,,,,,,,,,7451,Moral,2025-02-10_09h30.23.177,MoralCondition_v2,2022.2.5,29.95830101974062,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.89742129994556,89.89742129994556,0.00908120023086667,0.09914090018719435,1.0,2.191107999999076,,,,,,,,,,,,,7451,Moral,2025-02-10_09h30.23.177,MoralCondition_v2,2022.2.5,29.95830101974062,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.14723119977862,92.14723119977862,0.010627900250256062,0.11407450027763844,4.0,2.537620899733156,,,,,,,,,,,,,7451,Moral,2025-02-10_09h30.23.177,MoralCondition_v2,2022.2.5,29.95830101974062,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.73072819970548,94.73072819970548,0.009572099894285202,0.11474579991772771,2.0,1.9726901999674737,,,,,,,,,,,,,7451,Moral,2025-02-10_09h30.23.177,MoralCondition_v2,2022.2.5,29.95830101974062,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.7474346999079,96.7474346999079,0.009069700259715319,0.11437859991565347,1.0,2.3064624997787178,,,,,,,,,,,,,7451,Moral,2025-02-10_09h30.23.177,MoralCondition_v2,2022.2.5,29.95830101974062,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.08068499993533,99.08068499993533,0.0007536998018622398,0.09929959988221526,4.0,2.6662036003544927,,,,,,,7451,Moral,2025-02-10_09h30.23.177,MoralCondition_v2,2022.2.5,29.95830101974062,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,101.78081849962473,0.0002882997505366802,0.09799919975921512,107.79728089971468,6.014387299772352,107.96398779982701,107.96398779982701,0.07746489997953176,0.18144680000841618,6.014450499787927,114.04718599980697,114.04718599980697,114.04718599980697,0.06816719984635711,0.16449879948049784,119.7474205000326,119.98059529997408,6.0310361995361745,6.131216099485755,125.98056019982323,12.03101349947974,126.04728419985622,126.04728419985622,126.11405989993364,126.11405989993364,0.031249499414116144,0.13107609981670976,up,1.488795899786055,127.6639826996252,5.699973553419113e-05,0.09789309976622462,133.6803993997164,133.6803993997164,0.025665299966931343,0.11472299974411726,5.0,3.3231736002489924,,,,,,,113.96380539983511,113.96380539983511,,,,,7451,Moral,2025-02-10_09h30.23.177,MoralCondition_v2,2022.2.5,29.95830101974062,
