loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,Instructions_Affinity_Score.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.5135068995878,154.5135068995878,0.008972799871116877,0.11432649986818433,1.0,2.8060774002224207,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.36346039967611,157.36346039967611,0.00875100027769804,0.1147068003192544,2.0,3.5398571002297103,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.92987989960238,160.92987989960238,0.007072200067341328,0.09826310025528073,3.0,2.825315000023693,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.79648699983954,163.79648699983954,0.007553499657660723,0.09758129995316267,2.0,2.2910667997784913,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.14657919993624,166.14657919993624,0.008322600275278091,0.11434740014374256,3.0,3.30720719974488,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.47966879978776,169.47966879978776,0.008642700035125017,0.09894349984824657,4.0,1.6912521002814174,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.21319469995797,171.21319469995797,0.0007036002352833748,0.09919469989836216,3.0,4.532951099798083,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,175.78010339988396,0.0002522999420762062,0.09840109990909696,181.7964332997799,6.014835199806839,181.99666379997507,181.99666379997507,0.10026759980246425,0.21488799946382642,6.014905299525708,188.0632517999038,188.0632517999038,188.0632517999038,0.06973359966650605,0.18171789962798357,193.7631411999464,193.96309089986607,6.014893099665642,6.11483859969303,199.96309089986607,12.014889399521053,200.0964711997658,200.0964711997658,0.015107899438589811,0.11484109936282039,up,1.494568600319326,201.62984069995582,4.860013723373413e-05,0.09787699999287724,207.64630459994078,207.64630459994078,0.010393899865448475,0.11467069992795587,3.0,3.838613099884242,,,,,,,,,200.06308599980548,200.06308599980548,207.64630459994078,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.51334259985015,211.51334259985015,0.0073160999454557896,0.09804400010034442,1.0,2.1581350001506507,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.71297939959913,213.71297939959913,0.007710999809205532,0.09772640001028776,2.0,1.9578121001832187,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
