loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,14.678289380203934,0.0005132998339831829,0.09642109973356128,15.077373399864882,15.36067370986566,15.777553299907595,15.777553299907595,0.030164499767124653,0.13015299988910556,30.777658799663186,15.030260199680924,30.893960499670357,30.893960499670357,0.01330279977992177,0.13057779939845204,space,5.1052369005046785,,,,,,,,,,,,,,,,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
0,0,0,0,,,,,,,,,,,,,,,,,,36.044058199971914,0.0014242003671824932,0.0985771999694407,42.06075649987906,6.015072100330144,42.17756359977648,0.028714700136333704,0.13198979990556836,48.177375899627805,6.031738600227982,48.27723089978099,0.03442359995096922,0.13192169973626733,1.0,5.014942100271583,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
1,0,1,0,,,,,,,,,,,,,,,,,,53.32752269972116,0.0003339000977575779,0.0981954000890255,59.32736080000177,6.031511100009084,59.47727919975296,0.045046699699014425,0.14815700007602572,65.47733559971675,6.014776499941945,65.54389939969406,0.01762669999152422,0.11465909983962774,1.0,1.9982826998457313,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
2,0,2,0,,,,,,,,,,,,,,,,,,67.57759170001373,0.0005193999968469143,0.09729760000482202,73.57731459988281,6.0305070001631975,74.07740039983764,0.253619700204581,0.4973013000562787,,6.013789699878544,79.7938211997971,0.01685769995674491,0.11379810003563762,1.0,4.931237600278109,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
3,0,3,0,,,,,,,,,,,,,,,,,,84.7608192996122,0.00046149967238307,0.09737350000068545,90.7772745997645,6.013936799950898,90.89401679998264,0.02746209967881441,0.13086989987641573,96.87709189997986,6.030595399904996,96.97719659982249,0.016220299527049065,0.11412199959158897,2.0,1.4989326000213623,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
4,0,4,0,,,,,,,,,,,,,,,,,,98.51074449997395,0.00022569997236132622,0.09930030023679137,104.51074089994654,5.999220300000161,104.7273804997094,0.06526970025151968,0.21597070014104247,,6.0158394002355635,110.72713819984347,0.018496300093829632,0.11572470003739,1.0,1.965184099972248,6.099349400028586,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
5,0,5,0,,,,,,,,,,,,,,,,,,112.72724479995668,0.0004459000192582607,0.09742619981989264,118.72716349968687,6.014112399891019,118.84382529975846,0.008454999886453152,0.11404329957440495,124.84385399986058,6.014009999576956,124.9438599999994,0.017118199728429317,0.11392409959807992,0.0,1.0978737999685109,6.097269299905747,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
6,0,6,0,,,,,,,,,,,,,,,,,,126.07716210000217,0.0004832996055483818,0.09723989991471171,132.0938257998787,6.01384299993515,132.21078169997782,0.027316399849951267,0.13078519981354475,138.2105045998469,6.030469399876893,138.31042080000043,0.03334389952942729,0.13037589937448502,1.0,1.8649535002186894,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
7,0,7,0,,,,,,,,,,,,,,,,,,140.2108093998395,0.0003515002317726612,0.09917350020259619,146.22718889964744,6.015724400058389,146.34388089971617,0.03368669981136918,0.132364799734205,152.34383869962767,6.032272899989039,152.44379889965057,0.03489819960668683,0.1325145997107029,2.0,5.831860299687833,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
8,0,8,0,,,,,,,,,,,,,,,,,,158.31067989999428,0.0005280002951622009,0.09722599992528558,164.31039389967918,6.030520900152624,164.44359289994463,0.04185219993814826,0.1305237002670765,170.42692189989612,6.030459300149232,170.5269097997807,0.015919600147753954,0.11372569995000958,0.0,1.4655140000395477,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
9,0,9,0,,,,,,,,,,,,,,,,,,172.02707770001143,0.00045790011063218117,0.09770849999040365,178.04366169963032,6.0142899001948535,178.1436204998754,0.01966980006545782,0.11434549978002906,184.1436858996749,6.014287900179625,184.24359679967165,0.016485899686813354,0.11422199988737702,2.0,2.898874399717897,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
10,0,10,0,,,,,,,,,,,,,,,,,,187.17722469987348,0.0004749000072479248,0.09732410032302141,193.19368019979447,6.0137614998966455,193.31030749995261,0.024545100051909685,0.13043700018897653,199.310235099867,6.030396900139749,199.39361359970644,0.016276000067591667,0.11360479984432459,3.0,2.4651792999356985,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
11,0,11,0,,,,,,,,,,,,,,,,,,201.8937005000189,0.00022369995713233948,0.09906709985807538,207.89362380001694,5.999097200110555,208.09390309965238,0.0656030997633934,0.19932369980961084,214.09360819961876,5.999005400110036,214.09360819961876,0.0023209997452795506,0.09893530001863837,2.0,3.5310439001768827,,6.099041599780321,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
12,0,12,0,,,,,,,,,,,,,,,,,,217.66049219993874,0.000551699660718441,0.09740009997040033,223.677140600048,6.014124799985439,224.16040920000523,0.22355039976537228,0.49744589952751994,,6.010263299569488,229.8934677997604,0.03350519947707653,0.13070179941132665,1.0,1.298180399928242,,6.097507999744266,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
13,0,13,0,,,,,,,,,,,,,,,,,,231.22695539984852,0.00024199998006224632,0.09926770022138953,237.22692099958658,5.999130100011826,237.34344529965892,0.011675599962472916,0.1158334999345243,243.34353469964117,6.015786900185049,243.4434648999013,0.018290899693965912,0.1159625998698175,2.0,2.098447799682617,6.099086800124496,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
14,0,14,0,,,,,,,,,,,,,,,,,,245.57705209963024,0.00022669974714517593,0.09889689972624183,251.5769290998578,6.032379799988121,251.72670409968123,0.0481131998822093,0.14932659966871142,257.7267796997912,6.015513499733061,257.7933658999391,0.017640899401158094,0.11545229982584715,0.0,1.2321713003329933,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
15,0,15,0,,,,,,,,,,,,,,,,,,259.06016049999744,0.0004545999690890312,0.0974443000741303,265.060131999664,6.030821799766272,265.19353349972516,0.027983199805021286,0.13077089982107282,271.1766455997713,6.030692599713802,271.2767389998771,0.01606429973617196,0.11419139988720417,0.0,1.1992235002107918,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
16,0,16,0,,,,,,,,,,,,,,,,,,272.51013299962506,0.00025380030274391174,0.09895530017092824,278.510330399964,5.999045200180262,278.6267749997787,0.012365000322461128,0.11584659991785884,284.62681789975613,6.015692499931902,284.7266446999274,0.018512600101530552,0.11563429981470108,0.0,1.1981589002534747,6.099343300331384,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
17,0,17,0,,,,,,,,,,,,,,,,,,285.96016619959846,0.0005914997309446335,0.09905679989606142,291.96004259958863,6.032362399622798,292.11005619959906,0.050952599849551916,0.14922049967572093,298.1099799997173,6.01557009993121,298.17655239999294,0.018705499824136496,0.11559019982814789,0.0,1.3978495998308063,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
18,0,18,0,,,,,,,,,,,,,,,,,,299.6100266999565,0.0007568001747131348,0.097172100096941,305.6100824996829,6.030614499934018,305.7431365996599,0.04206599993631244,0.1306508998386562,311.74328099982813,6.030328600201756,311.84329209988937,0.03315069992095232,0.13039920013397932,3.0,3.7983801998198032,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
19,0,19,0,,,,,,,,,,,,,,,,,,315.6768389996141,0.0005054003559052944,0.0971966003999114,321.6932454998605,6.013792200013995,321.80981219979003,0.02822950016707182,0.13059960026293993,327.80990239977837,6.0304876998998225,327.89317659987137,0.01617289986461401,0.11393200000748038,2.0,1.5651374999433756,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
20,0,20,0,,,,,,,,,,,,,,,,,,329.49341110000387,0.000490100122988224,0.09770510019734502,335.50976309971884,6.014167500194162,335.6097078998573,0.025645799934864044,0.1141198999248445,341.60984539985657,6.014255300164223,341.7097483999096,0.017228899989277124,0.11400299984961748,0.0,1.3313124999403954,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
21,0,21,0,,,,,,,,,,,,,,,,,,343.0767926997505,0.00024720001965761185,0.0991945001296699,349.0764901000075,5.999092699959874,349.2434332999401,0.041039000265300274,0.1658907001838088,355.24307239986956,5.9991823001764715,355.2763475999236,0.0028698001988232136,0.09894719999283552,2.0,1.4970916998572648,6.099118100013584,6.099035399965942,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
22,0,22,0,,,,,,,,,,,,,,,,,,356.810168299824,0.0002449997700750828,0.0990782999433577,362.8264043997042,6.015716399997473,362.95968329999596,0.04939629975706339,0.1493730996735394,368.960010800045,6.015672599896789,369.0264324997552,0.018451299518346786,0.11550649954006076,0.0,1.231664799619466,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
23,0,23,0,,,,,,,,,,,,,,,,,,370.292991399765,0.00029300013557076454,0.0987273002974689,376.2930448995903,6.031893200241029,376.4096252997406,0.026273200288414955,0.11520650004968047,382.40969009976834,6.015249500051141,382.5095652998425,0.01705749984830618,0.11503180023282766,0.0,1.1990188001655042,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
24,0,24,0,,,,,,,,,,,,,,,,,,383.74323049979284,0.0004279003478586674,0.09754690015688539,389.7261571995914,6.014047400094569,389.8598125996068,0.010183699894696474,0.1142404000274837,395.85967589961365,6.014161200262606,395.9596447995864,0.017093699891120195,0.11405709991231561,3.0,2.1646833000704646,6.097314600367099,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
25,0,25,0,,,,,,,,,,,,,,,,,,398.15980040002614,0.000816399697214365,0.09844019962474704,404.15959989978,6.031826899852604,404.3098756996915,0.04403039952740073,0.1488251998089254,410.3095941999927,6.015024099498987,410.37614599987864,0.01776229962706566,0.11509709944948554,3.0,1.8649033000692725,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
26,0,26,0,,,,,,,,,,,,,,,,,,412.2766058999114,0.0002212999388575554,0.09911529999226332,418.2928708996624,6.015687299892306,418.3932362999767,0.0257079997099936,0.11590119963511825,424.392866499722,6.015663799829781,424.4927948997356,0.018889099825173616,0.11564499977976084,0.0,1.697789200115949,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
27,0,27,0,,,,,,,,,,,,,,,,,,426.2262161998078,0.00023559993132948875,0.09922270011156797,432.2428334997967,6.015704600140452,432.35970319993794,0.028874199837446213,0.13257279992103577,438.35949709964916,6.032199900131673,438.45954619999975,0.0346908001229167,0.13203389989212155,4.0,1.2651503002271056,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
28,0,28,0,,,,,,,,,,,,,,,,,,439.75974809983745,0.0004545999690890312,0.09749599965289235,445.7760665998794,6.014037000015378,445.89270879980177,0.028247499838471413,0.1308181998319924,451.8927617999725,6.03088239999488,451.992661499884,0.033439799677580595,0.13081909948959947,1.0,1.0982765997759998,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
29,0,29,0,,,,,,,,,,,,,,,,,,453.126114399638,0.00044950004667043686,0.09751319978386164,459.14269179990515,6.014128499664366,459.2595134996809,0.029685699846595526,0.13075829995796084,465.2595352996141,6.030753999948502,465.3592633996159,0.03350699972361326,0.13056949945166707,2.0,2.7649127999320626,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
30,0,30,0,,,,,,,,,,,,,,,,,,468.1595510998741,0.0005441000685095787,0.09731140034273267,474.15933799976483,6.030631800182164,474.3091368996538,0.04425580007955432,0.14716710010543466,480.3092451998964,6.013877300079912,480.3758081998676,0.016802099999040365,0.11384270014241338,2.0,2.2645418997853994,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
31,0,31,0,,,,,,,,,,,,,,,,,,482.6763086998835,0.00027639977633953094,0.0986754996702075,488.67574139963835,6.0153766996227205,488.7760910997167,0.010458499658852816,0.09850099962204695,494.7758398996666,6.031782899517566,494.89241389976814,0.01763629959896207,0.11509429942816496,4.0,1.3318658997304738,6.098384100012481,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
32,0,32,0,,,,,,,,,,,,,,,,,,496.25924379983917,0.0006136000156402588,0.09949299972504377,502.2758628996089,6.015835300087929,502.392578299623,0.03085249988362193,0.13277639960870147,508.39250369975343,5.999104699585587,508.4591037998907,0.0023579997941851616,0.0990802994929254,4.0,1.3644075999036431,,6.099109499715269,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
33,0,33,0,,,,,,,,,,,,,,,,,,509.85920639988035,0.0005985000170767307,0.09717509988695383,515.8757168999873,6.013750100042671,515.9926036000252,0.026549299713224173,0.1308231996372342,521.9924561996013,6.030405099969357,522.0922611998394,0.0331082995980978,0.1302970997057855,1.0,1.2648526998236775,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
34,0,34,0,,,,,,,,,,,,,,,,,,523.392471099738,0.0005924999713897705,0.09757440024986863,529.392433299683,6.030728499870747,529.5423610997386,0.04325689980760217,0.14754580007866025,535.5424209996127,6.013900599908084,535.6089817998,0.016446399968117476,0.11389479972422123,0.0,1.0985092003829777,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
35,0,35,0,,,,,,,,,,,,,,,,,,536.7423308999278,0.0005429000593721867,0.09725910006090999,542.7423466998152,6.03044299967587,542.8925608997233,0.0435905996710062,0.1470580999739468,548.8923379997723,6.013793199788779,548.9589905999601,0.01664919964969158,0.11367869982495904,1.0,2.2646731003187597,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
36,0,36,0,,,,,,,,,,,,,,,,,,551.2591321999207,0.0006389999762177467,0.09698859974741936,557.2589380997233,6.030327499844134,557.4089635997079,0.045329599641263485,0.14688769960775971,563.409124400001,6.013537799473852,563.4756591999903,0.01595279946923256,0.11373819969594479,3.0,1.0651428001001477,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
37,0,37,0,,,,,,,,,,,,,,,,,,564.5755989998579,0.00038529979065060616,0.09829049976542592,570.592219399754,6.014994399622083,570.6921316999942,0.024612499866634607,0.11505999974906445,576.6921401997097,6.014855899848044,576.7922032000497,0.017135899513959885,0.11482919938862324,0.0,1.765339500270784,,,9560,Visual,2025-02-10_14h12.01.365,Visual_Condition_v2,2022.2.5,29.99811312876224,
