loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_10.stopped,p_port_6.stopped,p_port_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.7054202016443,168.7054202016443,0.00884380005300045,0.09730839915573597,6.0,2.5892862007021904,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.33891610056162,171.33891610056162,0.006669200956821442,0.09916320070624352,6.0,4.293609200045466,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.67199330031872,175.67199330031872,0.007546098902821541,0.09762169979512691,6.0,2.4578424990177155,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.1721181999892,178.1721181999892,0.006537400186061859,0.09944609925150871,6.0,3.9939564000815153,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.20547570101917,182.20547570101917,0.0069994013756513596,0.09925810061395168,1.0,4.259801698848605,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.50534130074084,186.50534130074084,0.007284300401806831,0.0979051012545824,2.0,6.558474399149418,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.10551950149238,193.10551950149238,0.0019995998591184616,0.09702759981155396,1.0,9.162846898660064,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,202.30564410053194,0.00027109868824481964,0.09755340032279491,208.32205220125616,6.0142103005200624,208.4887204002589,208.4887204002589,0.0756681002676487,0.18094589933753014,6.014246299862862,214.57197380065918,214.57197380065918,214.57197380065918,0.06852460093796253,0.1642781998962164,220.2720321007073,220.50533900037408,6.030896199867129,6.130883300676942,226.5053925011307,12.030970200896263,226.62205250002444,226.62205250002444,0.014166900888085365,0.11414650082588196,up,1.312085099518299,227.98865990154445,4.91999089717865e-05,0.09768120013177395,,234.02205160073936,234.02205160073936,0.026366299018263817,0.13109489902853966,1.0,2.3057601004838943,,,,,,,226.5719530005008,226.5719530005008,214.4887002017349,214.4887002017349,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.3554393015802,236.3554393015802,0.006918700411915779,0.09906559996306896,1.0,2.5265638008713722,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.92214480042458,238.92214480042458,0.006618000566959381,0.09932379983365536,1.0,2.1269483994692564,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
