loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,p_port_6.stopped,Instructions_Affinity_Score.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.927847961895168,0.0008530998602509499,0.10506050009280443,21.257295600138605,21.524100810056552,22.1071761099156,22.423960799816996,22.707243510289118,23.040474799927324,23.040474799927324,0.004858799744397402,0.10508489981293678,38.05732210027054,15.021767599973828,38.14060499984771,0.005096099805086851,0.10503899957984686,38.60729780001566,space,1.564391900319606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7394,Moral,2025-02-20_11h45.22.099,MoralCondition_v2,2022.2.5,29.944252802788412,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,40.20756300026551,0.0023285001516342163,0.09792080009356141,46.20732979988679,6.031341999769211,46.54059730004519,46.54059730004519,0.16231509996578097,0.33165489975363016,6.031242799945176,52.523936700075865,52.523936700075865,52.523936700075865,0.09122809953987598,0.21455519972369075,58.22396970028058,58.39067650027573,6.014683899935335,6.114594699814916,64.39070519991219,12.01475889980793,64.5239030001685,64.5239030001685,0.014819999691098928,0.11440999945625663,up,1.8535253000445664,66.42392829991877,9.450037032365799e-05,0.09589850017800927,72.47398900007829,72.47398900007829,0.031419200357049704,0.14604709995910525,2.0,7.548848500009626,,,,,,,,,,,,,,,7394,Moral,2025-02-20_11h45.22.099,MoralCondition_v2,2022.2.5,29.944252802788412,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.05739769991487,80.05739769991487,0.011740499641746283,0.11582769965752959,5.0,5.505227399989963,,,,,,,,,,,,,,,7394,Moral,2025-02-20_11h45.22.099,MoralCondition_v2,2022.2.5,29.944252802788412,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.60738549986854,85.60738549986854,0.015928900334984064,0.11591930035501719,1.0,3.1673858002759516,,,,,,,,,,,,,,,7394,Moral,2025-02-20_11h45.22.099,MoralCondition_v2,2022.2.5,29.944252802788412,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.80726299993694,88.80726299993694,0.010058800224214792,0.09769289987161756,1.0,3.4883890002965927,,,,,,,,,,,,,,,7394,Moral,2025-02-20_11h45.22.099,MoralCondition_v2,2022.2.5,29.944252802788412,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.3575301002711,92.3575301002711,0.010780999902635813,0.11438560020178556,4.0,3.5710392999462783,,,,,,,,,,,,,,,7394,Moral,2025-02-20_11h45.22.099,MoralCondition_v2,2022.2.5,29.944252802788412,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.97424399992451,95.97424399992451,0.009235499892383814,0.11513689998537302,3.0,3.1735351998358965,,,,,,,,,,,,,,,7394,Moral,2025-02-20_11h45.22.099,MoralCondition_v2,2022.2.5,29.944252802788412,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.19061530008912,99.19061530008912,0.013595300260931253,0.11467789998278022,1.0,6.43523189984262,,,,,,,,,,,,,,,7394,Moral,2025-02-20_11h45.22.099,MoralCondition_v2,2022.2.5,29.944252802788412,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.65718400012702,105.65718400012702,0.000803499948233366,0.09909539995715022,6.0,6.732819200027734,,,,,,,,,7394,Moral,2025-02-20_11h45.22.099,MoralCondition_v2,2022.2.5,29.944252802788412,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,112.4240792999044,0.0003526001237332821,0.09716260014101863,118.44076539995149,6.013838300015777,118.67402830021456,118.67402830021456,0.14299200009554625,0.2471321001648903,6.013867499772459,124.70732389995828,124.70732389995828,124.70732389995828,0.07377989962697029,0.1805837000720203,130.40728810010478,130.6073145000264,6.013870100025088,6.113830399699509,136.60733739985153,12.0138989998959,136.7407304001972,136.7407304001972,0.01401259982958436,0.11385839991271496,down,0.7723872000351548,137.5739231002517,1.400010660290718e-05,0.09953480027616024,143.60730220004916,143.60730220004916,0.027007299941033125,0.13275060011073947,6.0,4.673502199817449,,,,,,,136.70731490012258,136.70731490012258,,,,,,,7394,Moral,2025-02-20_11h45.22.099,MoralCondition_v2,2022.2.5,29.944252802788412,
