loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,14.088686480745672,0.0005578994750976562,0.09882829897105694,14.487763699144125,14.804611090384423,15.237860400229692,0.03013649955391884,0.13160459883511066,30.237916899845004,15.03149819932878,30.33789709955454,30.33789709955454,0.0315678995102644,0.13140900060534477,space,4.439778700470924,,,,,,,,,,,,,,,,,,6664,Visual,2024-07-08_10h35.09.430,Visual_Condition_v2,2022.2.5,29.942352076933915,
0,0,0,0,,,,,,,,,,,,,,,,,34.837897600606084,0.0021986011415719986,0.09831630066037178,40.85458040051162,6.0149498004466295,41.00449850037694,0.06079000048339367,0.1649508010596037,6.031222801655531,46.98776759952307,47.05433250032365,0.015251701697707176,0.11471160128712654,2.0,5.467000799253583,,,6664,Visual,2024-07-08_10h35.09.430,Visual_Condition_v2,2022.2.5,29.942352076933915,
1,0,1,0,,,,,,,,,,,,,,,,,52.554783299565315,0.0004821997135877609,0.09698159992694855,58.571130799129605,6.0136263985186815,58.67097410000861,0.024449199438095093,0.11367850005626678,6.013647200539708,64.67112249881029,64.77104139886796,0.01607000082731247,0.11371869966387749,0.0,1.3984907995909452,,,6664,Visual,2024-07-08_10h35.09.430,Visual_Condition_v2,2022.2.5,29.942352076933915,
2,0,2,0,,,,,,,,,,,,,,,,,66.2047434002161,0.00022790022194385529,0.09917609952390194,72.20432389900088,6.01561369933188,72.32103089988232,0.02017810009419918,0.1155936997383833,6.015534799546003,78.32109710015357,78.42147400043905,0.01881830021739006,0.11574700102210045,2.0,4.097760900855064,6.098762499168515,,6664,Visual,2024-07-08_10h35.09.430,Visual_Condition_v2,2022.2.5,29.942352076933915,
3,0,3,0,,,,,,,,,,,,,,,,,82.55470260046422,0.000819401815533638,0.09728880040347576,88.57113379985094,6.013697801157832,88.68766110017896,0.02729860134422779,0.13033700175583363,6.030400400981307,94.68775849975646,94.78759519942105,0.03173470124602318,0.13027380220592022,0.0,1.1679241992533207,,,6664,Visual,2024-07-08_10h35.09.430,Visual_Condition_v2,2022.2.5,29.942352076933915,
4,0,4,0,,,,,,,,,,,,,,,,,95.98783019930124,0.00015269964933395386,0.09922569990158081,102.00436639972031,6.015748700127006,102.12128829956055,0.03703949972987175,0.13247179985046387,5.999067800119519,108.12102309986949,108.18750509992242,0.0024329014122486115,0.098870400339365,3.0,1.6643639989197254,,6.099050000309944,6664,Visual,2024-07-08_10h35.09.430,Visual_Condition_v2,2022.2.5,29.942352076933915,
5,0,5,0,,,,,,,,,,,,,,,,,109.88790689967573,0.00023660063743591309,0.09913589991629124,115.90430649928749,6.015633799135685,116.02121650055051,0.040732499212026596,0.132311400026083,6.032300500199199,122.02105749957263,122.10421960055828,0.01618790067732334,0.11562230065464973,0.0,1.6670818012207747,,,6664,Visual,2024-07-08_10h35.09.430,Visual_Condition_v2,2022.2.5,29.942352076933915,
6,0,6,0,,,,,,,,,,,,,,,,,123.80467579886317,0.000581100583076477,0.09723269939422607,129.82093459926546,6.013936400413513,129.9375212006271,0.03564839996397495,0.13058670051395893,6.0305236000567675,135.93762050010264,136.0375171005726,0.03308530151844025,0.13057520054280758,0.0,1.8650631997734308,,,6664,Visual,2024-07-08_10h35.09.430,Visual_Condition_v2,2022.2.5,29.942352076933915,
7,0,7,0,,,,,,,,,,,,,,,,,137.93784949928522,0.0004993006587028503,0.09723450057208538,143.9543965999037,6.01389480009675,144.07133369892836,0.03545420058071613,0.13076330162584782,6.0305406004190445,150.07086679898202,150.1708244998008,0.033639201894402504,0.13047480210661888,0.0,1.8979092985391617,,,6664,Visual,2024-07-08_10h35.09.430,Visual_Condition_v2,2022.2.5,29.942352076933915,
8,0,8,0,,,,,,,,,,,,,,,,,152.10420529916883,0.0006297994405031204,0.09673690050840378,158.10414359904826,6.030031299218535,158.25407689996064,0.04504300095140934,0.14683430083096027,6.013349499553442,164.23735550045967,164.32071170024574,0.01522120088338852,0.11346090026199818,3.0,1.8990895003080368,,,6664,Visual,2024-07-08_10h35.09.430,Visual_Condition_v2,2022.2.5,29.942352076933915,
