loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,p_port_7.stopped,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,p_port_9.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,19.384961360367015,0.0005935998633503914,0.11706099985167384,19.800525799859315,20.084147880086675,20.500605400186032,20.500605400186032,0.016875499859452248,0.11708709970116615,35.51746409991756,15.000423799734563,35.61746980017051,35.61746980017051,0.0005220994353294373,0.10037429956719279,space,8.648126699961722,,,,,,,,,,,,,,,,,,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
0,0,0,0,,,,,,,,,,,,,,,,,,44.31766440020874,0.007087099831551313,0.09842599974945188,50.300637600012124,6.014886799734086,6.098313499707729,50.434101100079715,0.015756799839437008,0.11499759973958135,56.417326000053436,6.014913399703801,6.098215599544346,56.51738610025495,0.0007051997818052769,0.09853839967399836,2.0,7.8817509999498725,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
1,0,1,0,,,,,,,,,,,,,,,,,,64.4343977002427,0.00015609990805387497,0.09930260013788939,70.41741449991241,6.0157465999946,6.099109400063753,70.5506214001216,0.023577400017529726,0.11596579989418387,76.5507971001789,6.015769499819726,,76.65074960002676,0.018680899869650602,0.11574989976361394,0.0,1.9314194000326097,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
2,0,2,0,,,,,,,,,,,,,,,,,,78.61795290000737,0.0008360999636352062,0.09714969992637634,84.63414879981428,6.013638699892908,,84.75070360023528,0.0381413996219635,0.1303693000227213,90.75081480015069,6.030356899835169,,90.83407159987837,0.016236999537795782,0.11367839993909001,2.0,4.56510809995234,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
3,0,3,0,,,,,,,,,,,,,,,,,,95.43442380009219,0.00024089962244033813,0.09920799965038896,101.45076679997146,6.015832900069654,,101.567378600128,0.02952029975131154,0.1328011997975409,107.56760019995272,5.999035599641502,6.099144599866122,107.63410900020972,0.002556399442255497,0.09915059944614768,0.0,1.3308784998953342,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
4,0,4,0,,,,,,,,,,,,,,,,,,109.00089460005984,0.0009180000051856041,0.09670259989798069,115.01750330021605,6.013371900189668,,115.13402569992468,0.029220299795269966,0.1300607998855412,121.13421780010685,6.0300273997709155,,121.21740620024502,0.015932699665427208,0.11335269967094064,2.0,9.165183000266552,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
5,0,5,0,,,,,,,,,,,,,,,,,,130.41749519994482,0.0006412002258002758,0.09694330021739006,136.40078159980476,6.013495000079274,,136.55069760000333,0.028901100158691406,0.13026579981669784,142.5508393999189,6.030183699913323,,142.65084919985384,0.032914099749177694,0.13017249992117286,0.0,1.5982833998277783,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
6,0,6,0,,,,,,,,,,,,,,,,,,144.2845411999151,0.000674000009894371,0.0973939998075366,150.2842141999863,6.03074389975518,,150.41741889994591,0.03277479950338602,0.13059259951114655,156.41762810014188,6.0306948996149,,156.517425800208,0.03319079941138625,0.13057899940758944,0.0,3.2316681002266705,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
7,0,7,0,,,,,,,,,,,,,,,,,,159.7842632001266,0.0007545002736151218,0.09755020029842854,165.80090110003948,6.013923600316048,,165.91750039998442,0.0284386002458632,0.13050880003720522,171.91757379984483,6.030522600281984,,172.01748439995572,0.03333200002089143,0.13044039998203516,0.0,1.7649811999872327,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
8,0,8,0,,,,,,,,,,,,,,,,,,173.81782589992508,0.00022280029952526093,0.09921840019524097,179.81760249985382,5.999092000070959,6.099037500098348,179.9511223998852,0.027321099769324064,0.13265680009499192,185.95095779979602,5.999068399891257,6.099145399872214,186.01752489991486,0.002404799684882164,0.09897670010104775,3.0,4.79745819978416,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
9,0,9,0,,,,,,,,,,,,,,,,,,190.85119239985943,0.0006412002258002758,0.0968979001045227,196.86756529984996,6.013706299941987,,197.00094070006162,0.04443329991772771,0.14729750016704202,203.0009372998029,6.01376280002296,,203.06770509993657,0.015943999867886305,0.11387529969215393,0.0,1.4655197001993656,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
10,0,10,0,,,,,,,,,,,,,,,,,,204.56795330019668,0.00021590013056993484,0.09917900012806058,210.5507844001986,5.999079199973494,6.082560599781573,210.66753420000896,0.0005362997762858868,0.09924450004473329,216.66765120020136,5.9995062998496,6.099295099731535,216.76751139992848,0.0025474997237324715,0.09929929999634624,0.0,0.997533000074327,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
11,0,11,0,,,,,,,,,,,,,,,,,,217.80085569992661,0.0005211001262068748,0.09738200018182397,223.8176225000061,6.014065199997276,,224.00136680016294,0.0694245002232492,0.19749419996514916,230.0009869998321,6.030693700071424,,230.034358299803,0.03326359996572137,0.13063629996031523,2.0,2.431728099938482,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
12,0,12,0,,,,,,,,,,,,,,,,,,232.50104869995266,0.00023900019004940987,0.11587800038978457,238.48412560019642,5.999060800299048,6.099153400398791,238.61767499987036,0.014900300186127424,0.11577660031616688,244.61765940021724,6.015787200070918,,244.71778290020302,0.018744099885225296,0.11598990019410849,0.0,3.331323499791324,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
13,0,13,0,,,,,,,,,,,,,,,,,,248.08462869981304,0.0005609998479485512,0.09711720002815127,254.10099840024486,6.013782000169158,,254.2177816000767,0.025294499937444925,0.1304492000490427,260.21765880007297,6.0304668000899255,,260.3177188998088,0.033184099942445755,0.1307346997782588,1.0,8.131512599997222,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
14,0,14,0,,,,,,,,,,,,,,,,,,268.4845958999358,0.00022119982168078423,0.09891359973698854,274.50097989989445,6.015649999957532,,274.6342485002242,0.04902369994670153,0.14893259992823005,280.61757110012695,6.015795699786395,,280.70106879994273,0.01797089958563447,0.11607869947329164,1.0,9.531974200159311,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
15,0,15,0,,,,,,,,,,,,,,,,,,290.26815070025623,0.0006395000964403152,0.09691599989309907,296.2844441002235,6.013637899886817,,296.400984399952,0.030231299810111523,0.13032659981399775,302.40117210010067,6.030305999796838,,302.5009066998027,0.03315659984946251,0.1301773996092379,2.0,5.431524000130594,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
16,0,16,0,,,,,,,,,,,,,,,,,,307.96791010024026,0.0006212000735104084,0.09704549983143806,313.9843684001826,6.013634100090712,,314.1176399998367,0.054665499832481146,0.1468682000413537,320.1177819999866,6.013635599985719,,320.1842956999317,0.01605719979852438,0.11376009974628687,1.0,1.7986357999034226,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
17,0,17,0,,,,,,,,,,,,,,,,,,322.01786890020594,0.000623099971562624,0.0973522998392582,328.01769259991124,6.03069100016728,,328.16764259990305,0.052511099725961685,0.14732419978827238,334.16772100003436,6.01403299998492,,334.234319599811,0.016809699591249228,0.11390199977904558,0.0,1.5648505999706686,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
18,0,18,0,,,,,,,,,,,,,,,,,,335.834587899968,0.0005320003256201744,0.09745449991896749,341.8510270998813,6.014047000091523,,341.9677506000735,0.04056310001760721,0.13069440005347133,347.96769020007923,6.030730200000107,,348.0676335999742,0.03264989983290434,0.13074610009789467,0.0,1.3322870996780694,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
19,0,19,0,,,,,,,,,,,,,,,,,,349.4343897001818,0.0005532000213861465,0.09696879982948303,355.4343460998498,6.013615899719298,6.09685799991712,355.550879499875,0.015572299715131521,0.11366569995880127,361.5510205999017,6.013657999690622,,361.650981400162,0.015585899818688631,0.11366899963468313,2.0,2.2323372000828385,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
