loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,p_port_6.stopped,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.13494189991616,126.13494189991616,0.008617699961178005,0.09733839996624738,2.0,2.989918199949898,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.16819300001953,129.16819300001953,0.0067279000068083405,0.09912319993600249,4.0,3.493358999956399,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.70156469999347,132.70156469999347,0.0071078999899327755,0.09865579998586327,5.0,3.7258616000181064,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.4682610000018,136.4682610000018,0.008326000068336725,0.09803720004856586,5.0,4.090513700037263,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.60170569992624,140.60170569992624,0.0067900000140070915,0.09917289996519685,2.0,3.3601451999275014,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.01844369992614,144.01844369992614,0.007799300015904009,0.11443610000424087,2.0,2.1077794999582693,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.15177829994354,146.15177829994354,0.0006876999977976084,0.09912590007297695,2.0,4.999401399982162,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,151.18517579999752,0.0003445000620558858,0.09728260000701994,157.18484559992794,6.030574200092815,157.46846429992002,157.46846429992002,0.1724645000649616,0.280722500057891,6.0138542000204325,163.46849090000615,163.46849090000615,163.46849090000615,0.07156660011969507,0.1805168001446873,169.16820970003027,169.36817779997364,6.0138904000632465,6.113892300054431,175.36816690000705,12.01394760014955,175.5015362999402,175.5015362999402,0.014034400111995637,0.1139013001229614,down,1.8716369000030681,177.4348071999848,5.949998740106821e-05,0.09776340005919337,183.43498349993024,183.43498349993024,183.43498349993024,0.009174300008453429,0.09779410006012768,2.0,2.5231410999549553,,,,,,,,,,175.46816719998606,175.46816719998606,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.00152279995382,186.00152279995382,0.007177100051194429,0.09760690003167838,1.0,1.2583234999328852,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.3015246000141,187.3015246000141,0.006780700059607625,0.09842300007585436,2.0,1.9260905999690294,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
