loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,p_port_7.started,cross.stopped,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,14.375331100681798,0.0005399999208748341,0.11721419985406101,15.067597050056794,15.500942799961194,15.500942799961194,0.0007789998780936003,0.13391599990427494,30.517589299939573,15.017249399796128,30.617562899831682,30.617562899831682,0.017465799814090133,0.15057009970769286,space,1.981447200058028,,,,,,,,,,,,,,,,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
0,0,0,0,,,,,,,,,,,,,,,,,32.65098869986832,0.020583600038662553,0.14853019989095628,6.014946199953556,38.68421830004081,38.78415329987183,0.032438499853014946,0.1816397998481989,6.01480279979296,44.81756359990686,44.85084900003858,0.01761829969473183,0.14843319985084236,1.0,3.215174000011757,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
1,0,1,0,,,,,,,,,,,,,,,,,48.101203799946234,0.00026730005629360676,0.13236159994266927,5.999054699903354,54.134280500002205,54.25077209994197,0.05995609983801842,0.1824284999165684,6.015737099805847,60.2842565998435,60.31756679993123,0.018573399865999818,0.1492043996695429,3.0,4.1646634000353515,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
2,0,2,0,,,,,,,,,,,,,,,,,64.51785900001414,0.0005922999698668718,0.13053099997341633,6.0304391998797655,70.55090839997865,70.65079750004224,0.028995799832046032,0.16378989978693426,6.030520799802616,76.66741989995353,76.73411819990724,0.01554699963890016,0.147066299803555,0.0,1.632481100037694,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
3,0,3,0,,,,,,,,,,,,,,,,,78.401224500034,0.0002356001641601324,0.1323461001738906,6.015705600148067,84.41757939988747,84.53420759993605,0.030711099971085787,0.16572969988919795,5.999089400051162,90.56756899994798,90.63422319991514,0.03511799988336861,0.16568779991939664,0.0,1.6981370002031326,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
4,0,4,0,,,,,,,,,,,,,,,,,92.36788120004348,0.0004303001333028078,0.1309384999331087,6.030920000048354,98.40094719990157,98.65096620004624,0.15636030002497137,0.314235599944368,6.01425619982183,,104.58440619986504,0.016851799795404077,0.14778599981218576,1.0,4.6983620000537485,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
5,0,5,0,,,,,,,,,,,,,,,,,109.31759949983098,0.000430600019171834,0.13104060012847185,6.014309100108221,115.33423619996756,115.45090279984288,0.029453599825501442,0.1644617998972535,6.031013299943879,121.4675459000282,121.53417859994806,0.017034299904480577,0.14763529994525015,4.0,2.231659999815747,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
6,0,6,0,,,,,,,,,,,,,,,,,123.8012224000413,0.0006154999136924744,0.13090540003031492,6.014209399931133,129.81761399982497,129.9508553999476,0.046136099845170975,0.18085809983313084,6.014354299986735,135.9842916999478,136.01758880005218,0.017089699860662222,0.14744469989091158,3.0,2.398148899897933,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
7,0,7,0,,,,,,,,,,,,,,,,,138.45092720002867,0.0006177001632750034,0.13071090006269515,6.013988800114021,144.4676030999981,144.58423879998736,0.029175000032410026,0.16395869990810752,6.030628500040621,150.6176352999173,150.68425019993447,0.033393099904060364,0.16395059996284544,0.0,9.53318230016157,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
8,0,8,0,,,,,,,,,,,,,,,,,160.25108129996806,0.0005495001096278429,0.13037290005013347,6.013795300154015,166.26758969994262,166.41754249995574,0.06173099996522069,0.19701600004918873,6.030380100011826,172.45095949992537,172.4842071000021,0.03294319985434413,0.16364039992913604,0.0,2.4314174000173807,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
9,0,9,0,,,,,,,,,,,,,,,,,174.9509766998235,0.000372299924492836,0.13195459987036884,6.015371499815956,180.95100619993173,181.11769959982485,0.07108389982022345,0.19865739974193275,6.031987599795684,187.15111600002274,187.18455519992858,0.034610599745064974,0.1654381996486336,0.0,2.3649114998988807,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
10,0,10,0,,,,,,,,,,,,,,,,,189.58456939994358,0.0005296999588608742,0.13042239984497428,6.030480199959129,195.61768159992062,195.7675971998833,0.07835669978521764,0.21381649980321527,6.013786499854177,,201.8009377999697,0.016713799675926566,0.14706719969399273,0.0,1.3644056001212448,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
11,0,11,0,,,,,,,,,,,,,,,,,203.20125659997575,0.0005810000002384186,0.13063840009272099,6.030628500040621,209.23431259999052,209.33421569992788,0.033539499854668975,0.16395960003137589,6.030675299931318,215.36776679987088,215.43430049996823,0.03323689987882972,0.16383139975368977,0.0,1.7316879001446068,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
12,0,12,0,,,,,,,,,,,,,,,,,217.2012654999271,0.000328300055116415,0.13161449995823205,6.031609500059858,223.23432119982317,223.3842760999687,0.07855909992940724,0.2150759999640286,6.014919199980795,,229.4177262999583,0.017697699833661318,0.14810919994488358,1.0,2.098295300034806,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
