Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,Roll_liquid_taste.started,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,taste_sound_3.stopped,Roll_liquid_taste.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_14.stopped,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,20.114560340764,0.000501600094139576,0.09497489989735186,20.380462400149554,20.63081326999236,20.896799799986184,21.132076370180584,21.413645700085908,0.029760000063106418,0.1281822999008,15.011589499888942,36.43043060018681,36.496873000171036,0.026100899791345,0.11170849995687604,42.496981700183824,6.011720599839464,42.59698270005174,42.59698270005174,0.011770899873226881,0.11164559982717037,space,6.110657699871808,48.76366870012134,48.76366870012134,4.2999861761927605e-05,0.09781189984641969,num_9,4.13755639991723,52.963664870127104,0.0022903000935912132,0.09789490001276135,53.2803380000405,53.76368536998052,54.0803470001556,54.54687137005385,54.96369790006429,62.98041760013439,62.980531670036726,0.01778049999848008,0.11448760004714131,63.98035530000925,64.98042599996552,65.13018950005062,65.6303646999877,10.031158199999481,73.08019230002537,0.016933599952608347,73.08019230002537,0.11469299998134375,3.0,5.7152212001383305,78.83048400003463,0.003051100065931678,0.0970898000523448,84.84700050018728,85.01353637001012,6.21355039998889,6.297180900117382,86.03033740003593,105.01365777000319,105.01349920011126,26.213528299937025,26.31383140012622,106.0304040000774,108.01366690010764,108.01366690010764,0.013840200146660209,0.11384710017591715,138.01367000001483,30.013785000192,,,,,,,,,,,6569,Gustatory,2024-08-10_09h20.25.688,Gustatory_Condition_v2,2022.2.5,29.971158768075846,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,138.1471736000385,0.014440299943089485,0.11377829988487065,144.14711900008842,6.013705200050026,144.24699620017782,144.24699620017782,0.013916099909693003,0.11373539990745485,space,3.9669822996947914,148.24699060013518,148.24699060013518,6.510014645755291e-05,0.09742790018208325,num_9,3.240018399665132,151.5472709700698,0.0024286999832838774,0.09796090004965663,151.84694720013067,152.33021317014936,,153.1469802701613,153.5303339001257,161.54703940008767,161.54702147014905,0.0013014001306146383,0.0980756999924779,162.5638409999665,163.56369179999456,163.73033350007609,164.24714040011168,10.014543400146067,171.64696220005862,0.0014090999029576778,171.64696220005862,0.09778820001520216,4.0,5.564125699922442,177.24723229999654,0.0021935999393463135,0.09848929988220334,183.26365109998733,183.43035497015808,6.214952799957246,6.314882799983025,184.43042650003918,203.43050046998542,203.43060780013911,26.215231499867514,26.31489529996179,204.43029609997757,206.43043210008182,206.43043210008182,0.015040599973872304,0.11495449999347329,236.43033380014822,30.014938700012863,153.46369050000794,161.54703940008767,10.097908900119364,,,,,,,,6569,Gustatory,2024-08-10_09h20.25.688,Gustatory_Condition_v2,2022.2.5,29.971158768075846,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,236.56367469998077,0.015581099782139063,0.11490699974820018,242.58039080002345,6.031686299946159,242.68036460014991,242.68036460014991,0.03165279980748892,0.1317010996863246,space,2.7092883998993784,245.4469936999958,245.4469936999958,4.900014027953148e-05,0.09807910001836717,num_9,3.1829432998783886,248.68035207001958,0.0026898998767137527,0.09794629993848503,248.98039910010993,249.46358727000188,249.78027160000056,250.2635193701135,250.6803641000297,258.68036840017885,258.68023876997177,0.00043160002678632736,0.09789129998534918,,260.68038720008917,260.88033189997077,261.38040910009295,10.014507399871945,268.79704020009376,0.01721859979443252,268.79704020009376,0.11467799986712635,5.0,2.9648494999855757,271.7974155000411,0.002535599982365966,0.0981220998801291,277.79702519997954,277.9804937700974,6.214939299970865,6.314897299977019,278.98025769996457,297.98025267000776,297.98040610016324,26.21506670000963,26.314931500004604,,300.99698080006056,300.99698080006056,0.0010061999782919884,0.09821259998716414,330.99701809999533,30.031654899939895,250.58034660015255,258.68036840017885,,,,,,,,,6569,Gustatory,2024-08-10_09h20.25.688,Gustatory_Condition_v2,2022.2.5,29.971158768075846,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,331.1303711000364,0.03222429985180497,0.13155679986812174,337.1469459000509,6.0148724999744445,337.21382090006955,337.21382090006955,0.015057899756357074,0.11486379988491535,space,3.991336799925193,341.2469715999905,341.2469715999905,3.869994543492794e-05,0.09797559981234372,num_9,2.4546176998410374,343.7637068700278,0.0027123000472784042,0.09816420008428395,344.0802639001049,344.54696667019743,344.8468446000479,345.3640063701896,345.74691410013475,353.74703620001674,353.74692867009435,0.014948799973353744,0.11478259996511042,354.76359730004333,355.76358660007827,355.96371900010854,356.4635750001762,10.031379400053993,363.8969579001423,0.034351899987086654,363.8969579001423,0.1313100999686867,6.0,2.814144999952987,366.7467893001158,0.002598399994894862,0.09608020004816353,372.7301731000189,372.9302161700325,6.213137299986556,6.3131134998984635,373.9303240000736,392.930214470136,392.93038020003587,26.21319599985145,26.31299089989625,393.9303170000203,395.9303388001863,395.9303388001863,0.0133243000600487,0.11325010005384684,425.94682640000246,30.029641200089827,345.68029280006886,353.74703620001674,,,,,,,,,6569,Gustatory,2024-08-10_09h20.25.688,Gustatory_Condition_v2,2022.2.5,29.971158768075846,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,426.08019080013037,0.029924699803814292,0.12957869982346892,432.09688200009987,6.012920100009069,432.16346990014426,432.16346990014426,0.01329219969920814,0.11299449973739684,space,3.9540126998908818,436.18013079999946,436.18013079999946,4.930002614855766e-05,0.0981289001647383,num_9,2.3620734999421984,438.5809418699937,0.0015217999462038279,0.0978264999575913,438.88004330010153,439.36337277002167,439.6803129001055,440.180255269981,440.5634800000116,448.5801413001027,448.5801289699739,0.001076800050213933,0.09796519996598363,449.5801705000922,450.5801570001058,450.76346840010956,451.28011670010164,10.0311373998411,458.6967291000765,0.01692069973796606,458.6967291000765,0.11432499974034727,3.0,3.298558000009507,462.0301024999935,0.0026936000213027,0.09773809998296201,468.0300444001332,468.23006367019843,6.2309802998788655,6.331000099889934,,488.21332767012063,488.2133910001721,26.21425569988787,26.314170900033787,489.2299628001638,491.23005500016734,491.23005500016734,-0.0003891999367624521,0.09728710004128516,521.2465796000324,30.014089700067416,440.48005930008367,448.5801413001027,,,,,,,,,6569,Gustatory,2024-08-10_09h20.25.688,Gustatory_Condition_v2,2022.2.5,29.971158768075846,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.3465997001622,0.014466000022366643,0.1138917999342084,551.3632185000461,30.0306954998523,,,6569,Gustatory,2024-08-10_09h20.25.688,Gustatory_Condition_v2,2022.2.5,29.971158768075846,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,551.4464683001861,0.015510999830439687,0.11409029993228614,557.4632302999962,6.030659299809486,557.5632078000344,557.5632078000344,0.030770599842071533,0.13064369978383183,space,3.354441100033,560.9633008001838,560.9633008001838,3.3800024539232254e-05,0.09779960010200739,num_9,2.1545683997683227,563.1631979701342,0.0020456998609006405,0.09783749980852008,563.4631998999976,563.9464995701564,564.2631840000395,564.7465354701271,565.1631813000422,573.1631609001197,573.1632815700723,0.0013019999023526907,0.09783359989523888,574.179798200028,575.1632823999971,575.3633095000405,575.8462884000037,10.014397599967197,583.2797173999716,0.01696999976411462,583.2797173999716,0.11433379980735481,3.0,3.831776099978015,587.1467383001,0.001598200062289834,0.09988160012289882,593.1630777001847,593.3297711700434,6.216215700143948,6.315990200033411,,613.3297314700903,613.3296841001138,26.2160026000347,26.31591000012122,614.329734900035,616.3463342001196,616.3463342001196,0.0006020001601427794,0.09924890007823706,646.3629309001844,30.015850800089538,565.0631809001788,573.1631609001197,,,,,,,,,6569,Gustatory,2024-08-10_09h20.25.688,Gustatory_Condition_v2,2022.2.5,29.971158768075846,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,646.4631674999837,0.016464099986478686,0.11585050006397069,652.4630516001489,6.01593320001848,652.5463095000014,652.5463095000014,0.015580300008878112,0.09932129993103445,space,3.619058599928394,656.2131885001436,656.2131885001436,4.770001396536827e-05,0.09784840000793338,num_9,2.265136099886149,658.5131105700275,0.002357299905270338,0.11442340002395213,658.8295692000538,659.2962514701067,659.6131976000033,660.0963434701553,660.4794858000241,668.496253499994,668.4961527701234,0.014489399967715144,0.11417029984295368,669.5129146000836,670.5130134001374,670.6963206999935,671.2129178000614,10.01448729983531,678.6295127000194,0.017287099733948708,678.6295127000194,0.11448719981126487,6.0,2.6326095999684185,681.2969058000017,0.002186099998652935,0.09847760014235973,687.3128702000249,687.4796202700818,6.215169900096953,6.315262200077996,688.4794795999769,707.479264270165,707.4625960001722,26.214846700197086,26.29820750001818,708.4794272000436,710.463091700105,710.4963824001607,0.032076100120320916,0.1319317000452429,740.4960789000615,30.031714300159365,660.4129791001324,668.496253499994,,,,,,,,,6569,Gustatory,2024-08-10_09h20.25.688,Gustatory_Condition_v2,2022.2.5,29.971158768075846,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,740.629395800177,0.032425699988380075,0.13157050008885562,746.6295924000442,6.031856999965385,746.7293561999686,746.7293561999686,0.03172009997069836,0.13158929999917746,space,2.820381100056693,749.6127194000874,749.6127194000874,4.37998678535223e-05,0.09773919987492263,num_9,2.4172755999024957,752.0793868700275,0.0022800001315772533,0.09793920000083745,752.3793333000503,752.86264657008,753.1626472000498,753.6625518699875,754.062690100167,762.0625257000793,762.0625186701072,0.014425900066271424,0.11462950007990003,763.0626384001225,764.0627866999712,764.2795775001869,764.7793759000488,10.01084900018759,772.1793198999949,0.03129569999873638,772.1793198999949,0.1311991000548005,2.0,3.120031400118023,775.3292141000275,0.0012066001072525978,0.09934010007418692,781.3123453001026,781.4957339701941,6.199167400132865,6.279015500098467,782.5087101000827,801.5086460701423,801.4920671000145,26.21204400015995,26.299019100144506,802.5086614000611,804.4956784001552,804.4956784001552,-0.000901899766176939,0.07882960024289787,834.492031400092,30.011996500194073,753.9792294001672,762.0625257000793,10.094170400174335,,,,,,30.098914500093088,,6569,Gustatory,2024-08-10_09h20.25.688,Gustatory_Condition_v2,2022.2.5,29.971158768075846,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,834.6121777000371,-0.0006254999898374081,0.08229860011488199,840.5958803000394,5.9992879999335855,840.6955844999757,840.6955844999757,-0.0007077001500874758,0.08220100007019937,space,3.3024083997588605,844.0252712001093,844.0252712001093,1.5300000086426735e-05,0.08637170004658401,num_9,2.060325799975544,846.1252168699866,0.0009828999172896147,0.08262269990518689,846.425214700168,846.895561070065,847.2121701000724,847.6954597701551,848.0787957001012,856.0788038000464,856.09187276999,0.0029541999101638794,0.0863304000813514,857.1122352001257,858.062137800036,858.275258500129,858.7584844001103,10.002965100109577,866.212345100008,0.019856999861076474,866.212345100008,0.1196550999302417,5.0,2.099972999887541,868.3455136001576,0.0029053001198917627,0.0983426000457257,874.3288321001455,874.5251770700561,6.211276900023222,6.298279300099239,875.5287852999754,894.5249702701112,894.5083939000033,26.21129840007052,26.298222000012174,895.5286569001619,897.4953360001091,897.5287391999736,0.015008400194346905,0.11492360010743141,927.5285507000517,30.01484309998341,848.0122452999931,856.0788038000464,10.086201899917796,,,,,,30.098065600031987,6.082297699991614,6569,Gustatory,2024-08-10_09h20.25.688,Gustatory_Condition_v2,2022.2.5,29.971158768075846,
