loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,p_port_10.stopped,p_port_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.137133608758447,0.0008448995649814606,0.11588210053741932,17.438367798924446,17.721383499726652,18.038188599050045,18.338230198994278,18.654810899868608,18.938299699500202,19.2548222001642,19.2548222001642,0.0325568001717329,0.1326655000448227,34.25487719848752,14.999330399557948,15.099300000816584,34.354900598526,0.00012650154531002045,0.09921720065176487,34.82157249934971,space,1.389529600739479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,36.27158339880407,0.0020921994000673294,0.10091109946370125,42.271524999290705,6.0009049996733665,42.4882474001497,42.4882474001497,0.0824194997549057,0.21762320026755333,6.0177263002842665,48.58830769918859,48.58830769918859,48.58830769918859,0.0885597001761198,0.21792560070753098,54.28820429928601,54.454882100224495,6.017571400851011,6.117543799802661,60.454886799678206,12.017597399652004,60.58820549957454,60.58820549957454,0.017830900847911835,0.11768200062215328,up,1.8068230021744967,62.45487709902227,3.390014171600342e-05,0.09677979908883572,68.47152069956064,68.47152069956064,68.47152069956064,0.007972098886966705,0.11331930011510849,4.0,6.672920100390911,,,,,,,,,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.18824579939246,75.18824579939246,0.027592500671744347,0.11575530096888542,2.0,8.355612000450492,,,,,,,,,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.60489979945123,83.60489979945123,0.011845100671052933,0.11395610123872757,2.0,4.336624199524522,,,,,,,,,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.98834949918091,87.98834949918091,0.011591700837016106,0.11407610028982162,3.0,3.236905498430133,,,,,,,,,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.27178269997239,91.27178269997239,0.011640001088380814,0.11429640091955662,2.0,6.036959299817681,,,,,,,,,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.35521369986236,97.35521369986236,0.011273600161075592,0.11458560079336166,5.0,5.570888798683882,,,,,,,,,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.97152609936893,102.97152609936893,0.009853299707174301,0.11459719948470592,2.0,3.8057774007320404,,,,,,,,,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.80488289892673,106.80488289892673,0.0011954009532928467,0.09790549986064434,3.0,13.698010200634599,,,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,120.53853330016136,0.0001558009535074234,0.09880640171468258,126.53835649974644,6.032184401527047,126.7715245001018,126.7715245001018,0.12885120138525963,0.23232930153608322,6.0322549007833,132.8381410986185,132.8381410986185,132.8381410986185,0.09359780140221119,0.19889170117676258,138.53819029964507,138.73822509869933,6.0320467017591,6.132071200758219,144.73845879919827,12.03229890204966,144.87159360013902,144.87159360013902,0.032185301184654236,0.13199500180780888,down,1.7550194021314383,146.68839239887893,3.1599774956703186e-05,0.09845679998397827,,152.72187579981983,152.72187579981983,0.02639859914779663,0.13187209889292717,6.0,4.573255300521851,,,,,,,144.83820149861276,144.83820149861276,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.3216204997152,157.3216204997152,0.0074080005288124084,0.09745660051703453,3.0,4.925223499536514,,,,,,,,,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.28814609907568,162.28814609907568,0.0074052996933460236,0.09778619930148125,5.0,2.7915634997189045,,,,,,,,,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.12159349955618,165.12159349955618,0.007678700610995293,0.09768840111792088,2.0,2.891204100102186,,,,,,,,,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.05487059988081,168.05487059988081,0.006737999618053436,0.09913370013237,5.0,2.6770264990627766,,,,,,,,,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.77166489884257,170.77166489884257,0.006713900715112686,0.0990557000041008,5.0,3.426759699359536,,,,,,,,,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.25485019944608,174.25485019944608,0.010738801211118698,0.11559309996664524,5.0,1.5725562013685703,,,,,,,,,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
