loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,player_image_intro.stopped,player_name_intro.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.904859999427572,0.0008294000290334225,0.1113884998485446,20.20453119999729,20.504571599978952,20.804552299901843,21.104635999863966,21.404541899915785,21.70454449984245,22.0211294000037,22.0211294000037,0.028001499827951193,0.12829749984666705,37.02125909994356,15.028153599938378,37.137948599876836,0.011654899688437581,0.11147109977900982,37.60463069984689,space,1.0256134001538157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6569,Moral,2024-08-10_10h06.00.863,MoralCondition_v2,2022.2.5,30.018527443419686,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,38.671434599906206,0.001205099979415536,0.09853039984591305,44.67137989983894,6.032055899966508,44.954575799871236,44.954575799871236,0.14183559990487993,0.28179329982958734,6.015138499904424,50.9713012999855,50.9713012999855,50.9713012999855,0.07430909969843924,0.19866669969633222,56.67127769999206,56.87110419990495,6.031731499591842,6.1318646997679025,62.871229300042614,12.031907899770886,62.971216100035235,62.971216100035235,63.00441599986516,63.00441599986516,0.032115499721840024,0.13188599958084524,down,0.8340754001401365,63.887861399911344,4.429998807609081e-05,0.09766710014082491,69.92130499985069,69.92130499985069,69.92130499985069,0.01918089995160699,0.13115070015192032,5.0,7.579618299845606,,,,,,,,,,,,6569,Moral,2024-08-10_10h06.00.863,MoralCondition_v2,2022.2.5,30.018527443419686,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.53802209999412,77.53802209999412,0.009084800025448203,0.1150766999926418,2.0,11.906756600132212,,,,,,,,,,,,6569,Moral,2024-08-10_10h06.00.863,MoralCondition_v2,2022.2.5,30.018527443419686,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.48805789998733,89.48805789998733,0.009437700035050511,0.11463379999622703,5.0,2.1393875000067055,,,,,,,,,,,,6569,Moral,2024-08-10_10h06.00.863,MoralCondition_v2,2022.2.5,30.018527443419686,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67134419991635,91.67134419991635,0.011963099939748645,0.1140696001239121,2.0,3.6700297999195755,,,,,,,,,,,,6569,Moral,2024-08-10_10h06.00.863,MoralCondition_v2,2022.2.5,30.018527443419686,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.38800260005519,95.38800260005519,0.011062700068578124,0.11385009996592999,6.0,2.6040366000961512,,,,,,,,,,,,6569,Moral,2024-08-10_10h06.00.863,MoralCondition_v2,2022.2.5,30.018527443419686,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.02108079986647,98.02108079986647,0.00769580015912652,0.09879470011219382,2.0,3.1587162998039275,,,,,,,,,,,,6569,Moral,2024-08-10_10h06.00.863,MoralCondition_v2,2022.2.5,30.018527443419686,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.22107680002227,101.22107680002227,0.009374500019475818,0.09785369993187487,3.0,4.322784899966791,,,,,,,,,,,,6569,Moral,2024-08-10_10h06.00.863,MoralCondition_v2,2022.2.5,30.018527443419686,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.58792579988949,105.58792579988949,0.002091499976813793,0.09717369987629354,3.0,8.129744899924845,,,,,,6569,Moral,2024-08-10_10h06.00.863,MoralCondition_v2,2022.2.5,30.018527443419686,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,113.75468389992602,0.0001556000206619501,0.09907860006205738,119.75445079989731,5.999023000011221,120.0212951998692,120.0212951998692,0.14728299994021654,0.265975299756974,5.999070799909532,126.05428329994902,126.05428329994902,126.05428329994902,0.09203029982745647,0.19924339978024364,131.75443729991093,131.92133259982802,5.99931009975262,6.098847999703139,137.92110079992563,11.999065299751237,138.05425619985908,138.05425619985908,138.05425619985908,138.05425619985908,0.00011569960042834282,0.09889919962733984,up,0.7519849000964314,138.8712102000136,4.349998198449612e-05,0.09795189998112619,,144.88732219999656,144.88732219999656,0.025644700042903423,0.11425400013104081,2.0,2.3900486000347883,,,,,,,6.098990299971774,6.099027799908072,12.099139899713919,,,6569,Moral,2024-08-10_10h06.00.863,MoralCondition_v2,2022.2.5,30.018527443419686,
