loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,p_port_6.stopped,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,p_port_10.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,Instructions_Affinity_Score.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.491736079007385,0.0008120997808873653,0.10970330005511642,20.09067146978341,20.390732700005174,20.70750426999293,21.29065326959826,21.60733149992302,21.60733149992302,0.02656749961897731,0.12634539976716042,41.60732849966735,20.026559599675238,41.74066059989855,0.026840599719434977,0.12653409969061613,42.20733989961445,space,1.6876517999917269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.30718649970368,145.30718649970368,0.00744710024446249,0.09779960010200739,6.0,3.2580373999662697,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.6242580995895,148.6242580995895,0.0076731001026928425,0.11411010008305311,1.0,1.4409429002553225,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.09057480003685,150.09057480003685,0.008186900056898594,0.09862579964101315,1.0,1.3247965998016298,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.45718989986926,151.45718989986926,0.007143599912524223,0.09811640018597245,1.0,1.0586160002276301,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.55717539973557,152.55717539973557,0.007106500212103128,0.09946370031684637,4.0,3.5267981998622417,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.1238315999508,156.1238315999508,0.006745699793100357,0.09910789970308542,4.0,1.9268558002077043,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.09072639979422,158.09072639979422,0.0007331003434956074,0.09918900020420551,6.0,2.4330603000707924,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,160.55736919958144,0.00015489989891648293,0.09920200007036328,166.5738478996791,6.015807100106031,,166.7573388000019,166.7573388000019,0.0848522000014782,0.19932790007442236,6.032454299740493,172.85707119992003,172.85707119992003,172.85707119992003,0.08762939972802997,0.19915129989385605,178.5571959996596,178.75719549972564,5.999101299792528,6.099316599778831,184.7572015998885,11.9990902999416,12.099116999655962,184.8571774996817,184.8571774996817,1.2999866157770157e-05,0.09911079984158278,up,1.092375099658966,185.99062709975988,4.0499959141016006e-05,0.09753859974443913,191.99071699986234,191.99071699986234,0.009406500030308962,0.09758129995316267,3.0,3.622770099900663,,,,,,,184.8571774996817,184.8571774996817,191.99071699986234,172.75717399967834,172.75717399967834,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.65710049960762,195.65710049960762,0.006683800369501114,0.09914940036833286,1.0,1.3602686999365687,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.0571202998981,197.0571202998981,0.006754699628800154,0.09920759964734316,5.0,2.0268640997819602,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
