loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,p_port_7.started,cross.stopped,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,16.272450799994566,0.0005821999993713689,0.1276330999999118,16.68888799999968,16.97221429999963,17.38516299999992,17.38516299999992,0.00655939999887778,0.10727809999934834,32.3887952999994,15.010855499999707,32.48880149999968,32.48880149999968,0.01090339999882417,0.11103159999856871,space,4.29759230000036,,,,,,,,,,,,,,,,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
0,0,0,0,,,,,,,,,,,,,,,,,,36.82213479999973,0.0006607000004805741,0.1161843999998382,6.012550700000247,42.8350862999996,42.95543479999924,0.03858059999947727,0.16624119999960385,5.999506999999539,48.97206329999972,49.03892909999922,0.01726929999949789,0.1495493999991595,2.0,6.216805000000022,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
1,0,1,0,,,,,,,,,,,,,,,,,,55.28875329999937,0.0002559000004112022,0.11517550000007759,6.011527700000443,61.30166199999985,61.43872829999964,0.04785699999956705,0.18186569999943458,6.015196299999843,67.45529709999937,67.50536719999945,0.016181599999072205,0.14857169999959297,3.0,3.7334295999999085,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
2,0,2,0,,,,,,,,,,,,,,,,,,71.27200099999936,0.00016239999968092889,0.11581630000000587,6.012107100000321,77.28497549999975,77.38862879999942,0.024000699999305652,0.14907969999967463,6.015725899999779,83.40523679999933,83.48860709999917,0.016486699999404664,0.1491065999989587,2.0,2.867183300000761,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
3,0,3,0,,,,,,,,,,,,,,,,,,86.38862599999993,0.0002844000000550295,0.11541370000031748,6.011808700000074,92.40158789999987,92.93856349999987,0.3033690000002025,0.5821721000002071,6.032076999999845,,98.58492789999946,0.012393799999699695,0.1154856999992262,0.0,3.0707118999998784,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
4,0,4,0,,,,,,,,,,,,,,,,,,101.7051621999999,0.0001570999993418809,0.11557009999978618,6.011880799999744,107.71815829999923,107.83847449999939,0.035393799998928444,0.16559829999914655,6.032233599999017,113.85511169999972,113.92180649999955,0.01626519999899756,0.14889899999889167,0.0,2.5004049999997733,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
5,0,5,0,,,,,,,,,,,,,,,,,,116.45513619999929,0.00016660000073898118,0.11569850000068982,6.012060700000802,122.46813349999957,122.57183309999982,0.024669899999935296,0.14907430000039312,6.0158056000000215,128.58836569999949,128.67184999999972,0.01668329999938578,0.14908319999995,2.0,3.5667066000005434,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
6,0,6,0,,,,,,,,,,,,,,,,,,132.27171929999986,0.00015550000080111204,0.11578040000040346,5.999144900000829,138.27161129999968,138.4050029,0.031186799999886716,0.16577409999990778,5.999190200000157,144.4217147999998,144.48835039999994,0.01650439999957598,0.14923449999969307,4.0,2.6334170000000086,6.099065800000062,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
7,0,7,0,,,,,,,,,,,,,,,,,,147.15502109999943,0.00015590000020893058,0.11563529999966704,6.015624200000275,153.15489389999948,153.3716887999999,0.11792280000008759,0.24907170000005863,6.01560149999932,,159.37166959999922,0.01666149999891786,0.14904309999928955,4.0,5.199787800000195,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
8,0,8,0,,,,,,,,,,,,,,,,,,164.60490739999932,0.00015970000004017493,0.11565860000064276,5.999006800000643,170.6011595,170.71789309999986,0.025841200000286335,0.12867350000033184,6.0156151999999565,176.7382146,176.82153010000002,0.01656479999928706,0.14897149999978865,2.0,3.4334924999993746,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
