Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_5.stopped,spit_sound.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_14.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,17.559217220009305,0.0005942999850958586,0.09641700005158782,17.825471100048162,18.042232560086994,18.30895740003325,18.55889306005556,18.842215400072746,0.029917599982582033,0.12945710006169975,33.84222069999669,15.029847900033928,33.94213600002695,0.03227830003015697,0.14639450004324317,6.01315750007052,39.958935700007714,40.02552840008866,40.02552840008866,0.013165500131435692,0.11318290012422949,space,2.6812283999752253,42.758912899997085,42.758912899997085,4.299997817724943e-05,0.0975851999828592,num_9,2.516281899996102,45.308725160057655,0.0006307000294327736,0.08297720004338771,45.60884180001449,46.092206360050476,46.408853900036775,46.89218376004137,47.209017600049265,47.27553440001793,55.275583400041796,55.275583400041796,55.275510059995575,-0.0002148000057786703,0.09950790007133037,57.25877160008531,57.47567670000717,57.95872610004153,9.999799899989739,10.099683600012213,65.40907819999848,0.003133299993351102,65.40907819999848,0.09972930001094937,5.0,2.664260599995032,68.10880590009037,0.003639400005340576,0.09694099996704608,74.10889740008861,74.29203266007826,6.213535099988803,6.313618099899031,75.30880940007046,94.30881436003838,94.30887840001378,26.230406099930406,26.33044879999943,95.30875930003822,97.30878269998357,97.30878269998357,-0.0004993999609723687,0.09705049998592585,127.30871440004557,30.01363629999105,,,,,,,,,,2993,Gustatory,2024-07-25_10h31.42.757,Gustatory_Condition_v2,2022.2.5,29.94311407097426,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,127.4254752000561,0.014452800038270652,0.1135323999915272,6.013527399976738,133.40863970003556,133.5088236000156,133.5088236000156,0.030962200020439923,0.13018930004909635,space,3.101885699899867,136.67546320008114,136.67546320008114,4.409998655319214e-05,0.09787080006208271,num_9,2.246829599956982,138.97545255997684,0.0026581999845802784,0.09807190007995814,139.27538490004372,139.77541855999735,140.0752397000324,140.55868385997601,140.85870770004112,140.95869050000329,148.97539660008624,148.97539660008624,148.97541696005501,0.0012594000436365604,0.0978714000666514,150.9585898000514,151.17539260000922,151.69239550002385,10.014496200019494,10.09784880001098,159.07530200004112,0.0007596000796183944,159.07530200004112,0.0979881000239402,5.0,2.2648436999879777,161.3757648000028,0.0015266999835148454,0.09925219998694956,167.39206340000965,167.54198036002927,6.199206899967976,6.299462900031358,168.55869049998,187.55865896001924,187.55868160002865,26.2158634000225,26.315805800026283,188.55866660003085,190.57535360008478,190.57535360008478,0.0016506001120433211,0.09916220000013709,220.59213050000835,30.015918600023724,6.097088000038639,149.97544830001425,,,,,,,,2993,Gustatory,2024-07-25_10h31.42.757,Gustatory_Condition_v2,2022.2.5,29.94311407097426,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,220.6751730000833,0.015977300121448934,0.09907770005520433,5.9990907000610605,226.67539650003891,226.7753368000267,226.7753368000267,-0.0005045998841524124,0.09907000011298805,space,1.8752286999952048,228.69195690006018,228.69195690006018,3.77000542357564e-05,0.09755380009301007,num_9,3.1102871000766754,231.84213595998008,0.002061599981971085,0.09778820001520216,232.15862750005908,232.62525215998758,,233.4252483600052,233.7251552999951,233.82533660007175,241.84214690001681,241.84214690001681,241.842077159998,0.0009925999911502004,0.0977520999731496,243.84196370001882,244.02526460005902,244.52528410009108,10.014190300018527,10.097539599984884,251.9417584000621,2.420006785541773e-05,251.9417584000621,0.09761210007127374,3.0,2.515507399919443,254.49238790001255,0.0025682999985292554,0.09814459993503988,260.5085631000111,260.6918737600557,6.231066699954681,6.331098799942993,261.7085456000641,280.6751652600709,280.6752273000311,26.214432499953546,26.314369299914688,281.6750366000924,283.69187229999807,283.69187229999807,8.050003089010715e-05,0.09765150002203882,313.6917444000719,30.03095259994734,6.09899380011484,242.85845290008,,,,,,,,2993,Gustatory,2024-07-25_10h31.42.757,Gustatory_Condition_v2,2022.2.5,29.94311407097426,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,313.82508920005057,0.031709900009445846,0.13089889998082072,6.014311600010842,319.84185369999614,319.90842970006634,319.90842970006634,0.014400600106455386,0.11410570004954934,space,2.9096881999867037,322.85840979998466,322.85840979998466,4.9400026910007e-05,0.0978324000025168,num_9,2.607808000058867,325.50843776003455,0.0020575999515131116,0.098035299917683,325.80839000002015,326.30854196005964,326.60848930000793,327.10837576000483,327.4084125000518,327.50841310003307,,335.525030800025,335.5250458600698,0.01774039992596954,0.11507479997817427,337.52504850004334,337.674876300036,338.17504170001484,10.0148179999087,,345.62488600006327,0.017814200022257864,345.62488600006327,0.11458870000205934,4.0,2.231156799942255,347.89204399997834,0.001081199967302382,0.09915279992856085,353.90831480000634,354.05863995999096,6.1994145000353456,6.2822996999602765,355.0582637999905,374.0749119600281,374.0750868000323,26.21584660001099,26.315674099954776,,377.0748922000639,377.0748922000639,0.01571090007200837,0.11570449999999255,407.05800630000886,30.01541290001478,,,,,,,,,,2993,Gustatory,2024-07-25_10h31.42.757,Gustatory_Condition_v2,2022.2.5,29.94311407097426,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,407.2081937000621,0.01634530001319945,0.11558380001224577,6.032389000058174,413.22479550004937,413.32480280008167,413.32480280008167,0.032359100063331425,0.1322120000841096,space,1.9261567000066862,415.2914862000616,415.2914862000616,3.130000550299883e-05,0.09796400007326156,num_9,3.8874265999766067,419.22502176007254,0.002066000015474856,0.09787930001039058,419.52475199999753,420.0080405600369,420.3247001999989,420.8248130600899,421.12472930003423,421.19133340008557,429.1914203000488,429.2247978000669,429.2247432600474,0.031252200016751885,0.13116260000970215,431.22474460001104,431.42479950003326,431.9247891000705,10.01441059994977,10.097774800029583,439.3245973000303,0.0007311999797821045,439.3245973000303,0.09775289997924119,3.0,2.1314227000111714,441.49139380001,0.003105000010691583,0.09757800004445016,447.5080829000799,447.6747301600175,6.214229200035334,6.314215900027193,448.67463810008485,467.67459336002355,467.6578374999808,26.214141500066034,26.314154500025325,468.67456489999313,470.6746079000877,470.6746079000877,0.014168000081554055,0.1141111000906676,500.67460859997664,30.014126100111753,,,,,,,,,,2993,Gustatory,2024-07-25_10h31.42.757,Gustatory_Condition_v2,2022.2.5,29.94311407097426,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.8080227000173,0.014412300079129636,0.11393030011095107,530.8245012999978,30.030637800111435,,,2993,Gustatory,2024-07-25_10h31.42.757,Gustatory_Condition_v2,2022.2.5,29.94311407097426,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,530.924483000068,0.03245030005928129,0.13069770007859915,6.013965500169434,536.941076499992,537.0078832000727,537.0078832000727,0.014018000103533268,0.11397410009521991,space,2.314825000008568,539.3745219000848,539.3745219000848,4.1899969801306725e-05,0.09783450001850724,num_9,4.131608899915591,543.5578000599984,0.0022869000677019358,0.09803490003105253,543.8577200000873,544.3410412600264,544.6577118000714,545.1579860599944,545.4744170000777,545.5411730000051,553.5411020000465,553.5411020000465,553.5411007600836,0.014557300019077957,0.11452549998648465,555.541078899987,555.7242546000052,556.2076503999997,10.014488400076516,,563.6743396000238,0.017072100075893104,563.6743396000238,0.11435020004864782,5.0,1.9317415000405163,565.6414266000502,0.0024986000498756766,0.09802919998764992,571.6409585999791,571.8242912600748,6.214232699945569,6.297508900053799,572.824282900081,591.8242809599964,591.8243270000676,26.21444530005101,26.314525800058618,,594.8243690000381,594.8243690000381,0.014485000050626695,0.1144507999997586,624.8074443000369,30.014263699995354,,554.5578184000915,,,,,,,,2993,Gustatory,2024-07-25_10h31.42.757,Gustatory_Condition_v2,2022.2.5,29.94311407097426,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,624.9574223000091,0.014666900038719177,0.1144272000528872,6.014109200099483,630.9407261000015,631.0412672000239,631.0412672000239,0.032175500062294304,0.1310139000415802,space,2.1692587001016364,633.2743254000088,633.2743254000088,4.39999857917428e-05,0.09788779995869845,num_9,2.7278588000917807,636.040853560064,0.002488299971446395,0.09788799996022135,636.3575067999773,636.8241158600198,637.1240218000021,637.6241521599935,637.9239968000911,638.0241831000894,646.0407960000448,646.0407960000448,646.0407611600589,0.000659200013615191,0.0978216000366956,648.0239734000061,648.2242322000675,648.7241273000836,10.031113800010644,,656.1741541000083,0.03462910000234842,656.1741541000083,0.13120279996655881,5.0,2.2639852999709547,658.4744224000024,0.0024991000536829233,0.09787720011081547,664.4741662000306,664.6740626600571,6.231153800035827,6.331200700020418,665.6909323000582,684.6740081599913,684.6740797000239,26.23115480004344,26.331105400109664,685.674136799993,687.6740630000131,687.6740630000131,0.00019020005129277706,0.09766490012407303,717.6908000999829,30.014344700146466,6.097494700108655,647.0574834999861,,,,,,,,2993,Gustatory,2024-07-25_10h31.42.757,Gustatory_Condition_v2,2022.2.5,29.94311407097426,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,717.8072038000682,0.0316500001354143,0.1308988000964746,6.014228400075808,723.8239209000021,723.8905399000505,723.8905399000505,0.014388700132258236,0.11419950018171221,space,1.6557215000502765,725.5905752000399,725.5905752000399,3.900006413459778e-05,0.09803110000211746,num_9,3.6600968999555334,729.2905109600164,0.0018669000128284097,0.09799129993189126,729.6071600000141,730.0737877600826,730.3906440000283,730.890485360031,731.1905244999798,731.257013500086,739.2738679000176,739.2738679000176,739.2737904600566,0.014686099952086806,0.11458399996627122,741.2736702000257,741.4737878000597,741.9570404000115,10.014407599926926,,749.4032935000723,0.017326700035482645,749.4032935000723,0.11065559997223318,3.0,2.131624500034377,751.573747800081,0.004359800019301474,0.11414970003534108,757.5903874000069,757.7569217600161,6.213921800022945,6.313949199975468,758.7570206000237,777.7568934600334,777.7569991999771,26.213972700061277,26.31385819998104,778.7569075999781,780.7571210000897,780.7571210000897,0.014053200022317469,0.11384930007625371,810.7735617000144,30.030474100029096,,740.2906288000522,,,,,,,,2993,Gustatory,2024-07-25_10h31.42.757,Gustatory_Condition_v2,2022.2.5,29.94311407097426,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,810.9068696000613,0.03115230007097125,0.13040680007543415,6.013749400153756,816.9235183000565,817.006842700066,817.006842700066,0.03084280015900731,0.13037320016883314,space,1.708145699929446,818.7568481999915,818.7568481999915,4.099996294826269e-05,0.09756779996678233,num_9,3.525363099994138,822.3236460600514,0.0020738999592140317,0.09793579997494817,822.6401524000103,823.1066713600652,,823.9236688600853,824.2401638000738,824.3237105000298,832.3235830999911,832.3235830999911,832.3235513600288,0.0007686999160796404,0.09783739992417395,834.3234286999796,834.5236915000714,835.0234824999934,10.031160500016995,,842.4566751000239,0.03392740001436323,842.4566751000239,0.13133540004491806,4.0,1.1649323999881744,843.6570224000607,0.0025794999673962593,0.09783600002992898,849.6566749000922,849.8399956599809,6.214269199990667,6.297745199990459,850.8566549000097,869.8399112600367,869.8232582000783,26.23121869994793,26.33100819995161,870.8566213999875,872.8399925000267,872.8399925000267,0.014420200022868812,0.11450460006017238,902.8565520000411,30.03094520000741,,833.3399727999931,,,,,,,,2993,Gustatory,2024-07-25_10h31.42.757,Gustatory_Condition_v2,2022.2.5,29.94311407097426,
