Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,spit_sound.stopped,instructions.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,19.789672000566497,0.0005532000213861465,0.1105159999569878,20.055811999947764,20.27261965996586,20.522337300004438,20.772487560007722,21.055571699980646,0.012551799998618662,0.12702939996961504,36.05579959996976,15.010319599998184,36.15572609996889,0.021799499983899295,0.11032940004952252,42.15623249998316,6.01054839999415,42.255821399972774,42.255821399972774,0.010282800067216158,0.11023260001093149,space,4.730755000025965,47.02243360003922,47.02243360003922,6.739993114024401e-05,0.08670979994349182,num_9,4.970388300018385,52.03926056001801,0.0018002999713644385,0.09785010002087802,52.35588759998791,52.82247675997205,53.122542200027965,53.63913535997271,53.95564169995487,54.02247950003948,62.02247930003796,62.02247930003796,62.02263495996594,0.014679200015962124,0.11451629991643131,64.02268569997977,64.22248899994884,64.7224497999996,10.014515199931338,72.17243949999101,0.017302799969911575,72.17243949999101,0.13141729997005314,5.0,3.8151955000357702,76.0057947000023,0.0020586999598890543,0.09841079998295754,82.00574379996397,82.18899005996063,6.2146992000052705,6.2982620999682695,83.20577919995412,102.18915785995777,102.18917769996915,26.21497139998246,26.314781100023538,103.20576509996317,105.20583729993086,105.20583729993086,0.0005645999917760491,0.09819980000611395,135.2223268999951,30.01485550007783,,,2993,Gustatory,2024-07-25_10h18.47.903,Gustatory_Condition_v2,2022.2.5,30.00457570469265,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,135.322473899927,0.015326800057664514,0.11492700001690537,141.30568699992727,6.01466490002349,141.42248680000193,141.42248680000193,0.015016300021670759,0.11486430012155324,space,3.3230270000640303,144.78911819995847,144.78911819995847,3.829994238913059e-05,0.09807069995440543,num_9,3.587605800013989,148.43913886004594,0.001950400066561997,0.09803230001125485,148.75610160001088,149.2391885600053,149.55579749995377,150.02250075999183,150.32239670003764,150.43929999996908,,158.45576989999972,158.4558050599415,0.01754980010446161,0.11469240009319037,160.45590409997385,160.60571379994508,161.1059452999616,10.014685800066218,168.55573709995952,0.017679000040516257,168.55573709995952,0.11467230005655438,5.0,2.6980003999779,171.28943280002568,0.002143200021237135,0.09831409994512796,177.30580450000707,177.47249366000761,6.214821900008246,6.314803599962033,,197.47250775999856,197.47249569999985,26.21487939998042,26.31485910003539,198.4723327999236,200.48914239997976,200.48914239997976,-0.00037399993743747473,0.09805550007149577,230.50587190000806,30.01484309998341,159.45563069998752,,2993,Gustatory,2024-07-25_10h18.47.903,Gustatory_Condition_v2,2022.2.5,30.00457570469265,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,230.60600359993987,0.015778700006194413,0.1148547000484541,236.62249959993642,6.031516100047156,236.72251969994977,236.72251969994977,0.03164150007069111,0.13149570010136813,space,2.0782212000340223,238.85593069996685,238.85593069996685,4.449998959898949e-05,0.09777820005547255,num_9,5.561297099920921,244.4725335599622,0.0021436000242829323,0.09804240008816123,244.77241999993566,245.25574475999457,245.55599989998154,246.0559417600278,246.35575969994534,246.45606150000822,254.45583580003586,254.45583580003586,254.45583575994243,0.014805000042542815,0.13164510007482022,256.47263199998997,256.6559087999631,257.15584419993684,10.031389700016007,264.60580130002927,0.03324890008661896,264.60580130002927,0.13154480000957847,3.0,2.5988711999962106,267.23947199992836,0.0031922999769449234,0.09779979998711497,273.2392033999786,273.4392017599428,6.230953200021759,6.3309442000463605,274.45587459998205,293.4224784599617,293.4225050000241,26.21437950001564,26.314258600003086,,296.4392003000248,296.4392003000248,8.840009104460478e-05,0.09761070006061345,326.45584149996284,30.014389000018127,255.45570479996968,,2993,Gustatory,2024-07-25_10h18.47.903,Gustatory_Condition_v2,2022.2.5,30.00457570469265,
,,,,,,,,,,,,,,,,,,,,326.5558168999851,0.014971000025980175,0.11428280011750758,332.5724482999649,6.0309064000612125,332.65585199999623,332.65585199999623,0.014193300041370094,0.11425650003366172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.67238410003483,,,,,,,
