Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,connecting_message.started,sync_beep_1.started,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,baseline.started,cross.started,instructions.started,spacebar_hit.started,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,key_resp.keys,key_resp.rt,taste_sound_1.started,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,Rinse_text.started,Rinse_text.stopped,Begin_Rinse.started,Finish_rinse.started,Rinse_Spit.started,Rinse_Spit.stopped,rest_text.started,rest_text.stopped,cross.stopped,taste_sound_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,35.86035460000858,39.97240388048813,40.467394390283154,40.97348829000257,41.25553000019863,41.25553000019863,65.23480660002679,71.24986550025642,71.24986550025642,space,9.272020999342203,80.54992110002786,80.54992110002786,9,15.912285100203007,96.48336449000053,96.78992550028488,97.27187639023177,97.5792356999591,98.07792309033684,98.4839619002305,106.48413500003517,106.48413500003517,106.48432949013076,107.48871470009908,108.4873584001325,108.67064899997786,120.46837799996138,126.46736610028893,132.46735629998147,132.66733668991364,157.4565640898887,157.45660530030727,160.46342599997297,160.46342599997297,190.46629770006984,,,1000,Gustatory,2023-08-18_14h38.29.043,Gustatory_Condition,2022.2.4,59.86679635349194,
,,,,,,,,,,,,,,190.46629770006984,196.46621900005266,196.46621900005266,space,8.571225499734282,205.06618890026584,205.06618890026584,9,6.114422999788076,211.19968529012985,211.50973610021174,211.99644968998618,212.30789850000292,212.79122049002908,213.19763449998572,,,,,,,,,,,,,,,,196.46621900005266,213.09905770001933,,,,,,,
