loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,p_port_7.stopped,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
23,0,23,0,,,,,,,,,,,,,,,,,397.54847779963166,0.0006809001788496971,0.09693320002406836,403.5650894995779,6.013546200003475,,403.71517959982157,0.06888179993256927,0.16362679982557893,6.030209899879992,409.71509959967807,409.7817507996224,0.03301450004801154,0.1300353999249637,1.0,2.364811699837446,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
24,0,24,0,,,,,,,,,,,,,,,,,412.1818958995864,0.0004561999812722206,0.09719190001487732,418.19837379967794,6.014141499996185,,418.3150016996078,0.03052010014653206,0.13077929988503456,6.030480899848044,424.31504049990326,424.4149772999808,0.03323219995945692,0.130434799939394,3.0,4.0981117002666,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
25,0,25,0,,,,,,,,,,,,,,,,,428.5485972999595,0.0004854998551309109,0.09713790006935596,434.5483863996342,6.030531900003552,,434.6814639996737,0.03676909999921918,0.1304526999592781,6.0304178996011615,440.68164739990607,440.78156419983134,0.033148299902677536,0.13034029956907034,4.0,2.298398899845779,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
26,0,26,0,,,,,,,,,,,,,,,,,443.1151181999594,0.0004646000452339649,0.09727990021929145,449.11488289991394,6.030539900064468,,449.26487519964576,0.05688410019502044,0.14719050005078316,6.013874500058591,455.2648941995576,455.3314283997752,0.0157345999032259,0.11386020015925169,4.0,4.332314600236714,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
27,0,27,0,,,,,,,,,,,,,,,,,459.6982673997991,0.00023619970306754112,0.09907589992508292,465.7148680998944,6.015960699878633,,465.8146584997885,0.02710369974374771,0.1158798998221755,6.015957699622959,471.81487689958885,471.9148279996589,0.01873119967058301,0.1157133998349309,4.0,1.6982233999297023,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
28,0,28,0,,,,,,,,,,,,,,,,,473.6481941998936,0.00022150017321109772,0.09917959989979863,479.63134279986843,6.015657700132579,6.099122200161219,479.78201639978215,0.028907400090247393,0.13242830010131001,5.999099399894476,485.7815375998616,485.84806859958917,0.0023556998930871487,0.09911239985376596,0.0,2.4642894002608955,6.099164799787104,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
29,0,29,0,,,,,,,,,,,,,,,,,488.34838299965486,0.00022060004994273186,0.09921150002628565,494.3647550996393,6.015776900108904,,494.46457179961726,0.027322900015860796,0.11576570011675358,6.015713000204414,500.46474599977955,500.5647523999214,0.017829400021582842,0.11568350018933415,0.0,1.46558600012213,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
30,0,30,0,,,,,,,,,,,,,,,,,502.06500279996544,0.0006220000796020031,0.09726550010964274,508.0648126997985,6.030635999981314,,508.23136239964515,0.062162399757653475,0.16402539983391762,6.030470999889076,514.231423499994,514.2979360995814,0.03361649997532368,0.13047660002484918,0.0,1.7976716998964548,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
31,0,31,0,,,,,,,,,,,,,,,,,516.1316897999495,0.00024690013378858566,0.09908080007880926,522.1313336999156,5.999053600244224,6.0989657999016345,522.2480628998019,0.011076000053435564,0.11569020012393594,6.015660199802369,528.2479520998895,528.3478153999895,0.01810960005968809,0.11564769968390465,2.0,3.0984001997858286,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
32,0,32,0,,,,,,,,,,,,,,,,,531.4815308996476,0.000542299821972847,0.09711339976638556,537.4644773998298,6.013615099713206,,537.6813034997322,0.09299959987401962,0.19725449988618493,6.030359299853444,543.681261499878,543.7145444997586,0.03334729978814721,0.1303708995692432,1.0,3.5646779001690447,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
33,0,33,0,,,,,,,,,,,,,,,,,547.3148154998198,0.0005139000713825226,0.09720399975776672,553.3312932997942,6.0138567998073995,,553.8479040996172,0.28728779964149,0.5307467998936772,6.030686699785292,,559.5107958996668,0.012706399895250797,0.09706419985741377,0.0,2.485343999695033,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
34,0,34,0,,,,,,,,,,,,,,,,,562.0481375996023,0.00048629986122250557,0.09711800003424287,568.0478095998988,6.030416700057685,,568.2143926997669,0.06467749970033765,0.1639365996234119,6.030410399660468,574.2144527998753,574.2810958996415,0.03184639988467097,0.1304145995527506,3.0,2.266045999713242,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
35,0,35,0,,,,,,,,,,,,,,,,,576.58135699993,0.00023990031331777573,0.09924079990014434,582.5809606998228,6.0157162002287805,6.099084200337529,582.8648137999699,0.15026139980182052,0.2825302998535335,6.015858499798924,,588.7976483996026,0.018447899725288153,0.11580220004543662,0.0,3.298049199860543,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
36,0,36,0,,,,,,,,,,,,,,,,,592.1312830997631,0.0005351998843252659,0.09701209980994463,598.1310783997178,6.030247599817812,,598.3144849999808,0.07185229985043406,0.18021179968491197,6.01349509973079,604.3143630996346,604.3476167996414,0.0161354998126626,0.11359429964795709,0.0,2.9982996000908315,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
37,0,37,0,,,,,,,,,,,,,,,,,607.3812955999747,0.00044929981231689453,0.09748259978368878,613.3810923998244,6.03086239984259,,613.5143091999926,0.031824799720197916,0.1307533998042345,6.030773699749261,619.5142986997962,619.5975724998862,0.016621999442577362,0.11415719985961914,0.0,1.4982447996735573,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
38,0,38,0,,,,,,,,,,,,,,,,,621.1312588998117,0.0002200002782046795,0.09916590014472604,627.1476149996743,6.015848300419748,,627.2809099997394,0.058075500186532736,0.14910229993984103,6.015772100072354,633.2809454998933,633.3475821996108,0.01820190018042922,0.11567420000210404,0.0,1.7987957000732422,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
39,0,39,0,,,,,,,,,,,,,,,,,635.1812022998929,0.0004376000724732876,0.09742749994620681,641.1975359995849,6.014043899718672,,641.3309730999172,0.04692089976742864,0.14749739971011877,6.013971599750221,647.3140643998049,647.3974246997386,0.016492499504238367,0.11383269960060716,1.0,2.198266100138426,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
40,0,40,0,,,,,,,,,,,,,,,,,649.6310884999111,0.00047220010310411453,0.09701969986781478,655.6474834997207,6.013872799929231,,655.7639930997975,0.039590099826455116,0.13050680002197623,6.030487099662423,661.763980999589,661.8474408998154,0.015668499749153852,0.11388649977743626,0.0,2.0656737997196615,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
41,0,41,0,,,,,,,,,,,,,,,,,663.9477420998737,0.0005847001448273659,0.09767819987609982,669.9641108997166,6.014036399777979,,670.1638428997248,0.12126979976892471,0.213960699737072,6.014059899840504,,676.1639217999764,0.016885599587112665,0.11441019969061017,0.0,1.964653099887073,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
42,0,42,0,,,,,,,,,,,,,,,,,678.1643850998953,0.0004270002245903015,0.09752999991178513,684.1640170998871,6.030838599894196,,684.3137896996923,0.045582099817693233,0.1474453997798264,6.030836199875921,690.3308807997964,690.3972914996557,0.03335499996319413,0.13067799992859364,2.0,3.4317189999856055,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
43,0,43,0,,,,,,,,,,,,,,,,,693.8643235997297,0.000611600000411272,0.0971560999751091,699.8639928000048,6.030420100316405,,700.0307100997306,0.06465469999238849,0.16369469976052642,6.030363800004125,706.030704099685,706.0972123998217,0.033034299965947866,0.13022510008886456,2.0,1.8651995002292097,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
44,0,44,0,,,,,,,,,,,,,,,,,707.9975284999236,0.00024960003793239594,0.09903489984571934,714.0139526999556,6.0156566998921335,,714.1639159996994,0.06479750014841557,0.16567969974130392,6.032253199722618,720.1470931996591,720.2138437000103,0.018168899696320295,0.11570409964770079,3.0,3.9316478995606303,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
45,0,45,0,,,,,,,,,,,,,,,,,724.1806024997495,0.00023589981719851494,0.09923910023644567,730.1975514995866,6.01579979993403,,730.3639489999041,0.08277099998667836,0.1827071001753211,6.0157670001499355,736.3470346997492,736.3971162997186,0.017263699788600206,0.11571719963103533,0.0,3.5327209001407027,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
46,0,46,0,,,,,,,,,,,,,,,,,739.9639008999802,0.0007905000820755959,0.09668820025399327,745.9805292999372,6.013302400242537,,746.0970359998755,0.038935800082981586,0.13017600029706955,6.029983700253069,752.0971665997058,752.1970960996114,0.0326359998434782,0.12985859997570515,1.0,2.3316055997274816,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
47,0,47,0,,,,,,,,,,,,,,,,,754.5640087998472,0.0002414998598396778,0.09908969979733229,760.5470071998425,6.0155334998853505,,760.7470320998691,0.0779904997907579,0.18230560002848506,6.015750699676573,766.7470811000094,766.7803282998502,0.018608899787068367,0.11567059997469187,2.0,3.098204900044948,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
48,0,48,0,,,,,,,,,,,,,,,,,769.9140429999679,0.00048580020666122437,0.0975129003636539,775.9137655999511,6.03072000015527,,776.0803120997734,0.059571499936282635,0.16400770004838705,6.030649499967694,782.0803586998954,782.146946199704,0.03346790000796318,0.13052939996123314,0.0,2.9981134003028274,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
49,0,49,0,,,,,,,,,,,,,,,,,785.1805425998755,0.00037509994581341743,0.09824350010603666,791.1803320995532,6.031535200309008,,791.4803853998892,0.14725279994308949,0.2980271000415087,6.031619499903172,,797.4135072999634,0.03359219990670681,0.1315430998802185,1.0,3.132034400012344,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
50,0,50,0,,,,,,,,,,,,,,,,,800.5805406998843,0.0006706002168357372,0.09709700010716915,806.5970083996654,6.013783600181341,,806.7302773999982,0.048281900119036436,0.14730549976229668,6.013744699768722,812.7302955999039,812.7968730996363,0.016332800034433603,0.1138511998578906,3.0,3.098364499863237,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
51,0,51,0,,,,,,,,,,,,,,,,,815.9304581996985,0.00024079997092485428,0.09934839978814125,821.9303743997589,5.99904470006004,6.099053199868649,822.5135667999275,0.3251954996958375,0.5825410997495055,6.015653199981898,,828.1433044997975,0.014760099817067385,0.11184109980240464,0.0,2.785060599911958,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
52,0,52,0,,,,,,,,,,,,,,,,,830.9638219997287,0.0005510002374649048,0.09729399997740984,836.9635128998198,6.030666599981487,,837.1135402997024,0.04634340014308691,0.14704070007428527,6.0139092998579144,843.1135053997859,843.1800555000082,0.016939599998295307,0.11407139990478754,0.0,1.5314741996116936,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
53,0,53,0,,,,,,,,,,,,,,,,,844.7469169995748,0.0002204999327659607,0.09919370012357831,850.763469599653,6.015858199913055,,850.8969479999505,0.048311599995940924,0.14949489990249276,6.01581329992041,856.8967688996345,856.9633551998995,0.018571999855339527,0.11577959964051843,1.0,1.9316039001569152,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
54,0,54,0,,,,,,,,,,,,,,,,,858.9302934999578,0.00022070016711950302,0.09911529999226332,864.9300726996735,5.99905059998855,6.099088500253856,865.0467111999169,0.016950899735093117,0.11568679986521602,6.015702500008047,871.0467417999171,871.1465534996241,0.018194600008428097,0.11567839980125427,0.0,3.4985242001712322,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
55,0,55,0,,,,,,,,,,,,,,,,,874.6802755999379,0.0005748001858592033,0.09738870011642575,880.6800039997324,6.030747400131077,,880.8298820997588,0.04599789995700121,0.147384500131011,6.014037500135601,886.8300247997977,886.8964803996496,0.016961699817329645,0.11393240001052618,0.0,2.497949999757111,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
56,0,56,0,,,,,,,,,,,,,,,,,889.4300916995853,0.0005509001202881336,0.09745759982615709,895.4301726999693,6.030975100118667,,895.580009599682,0.04071069974452257,0.14763619983568788,6.014067499898374,901.5798915997148,901.6465701996349,0.016669899690896273,0.113928799983114,2.0,4.131678500212729,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
57,0,57,0,,,,,,,,,,,,,,,,,905.8134619998746,0.0006237002089619637,0.09708769991993904,911.813137399964,6.013712800107896,,911.9464865997434,0.03257449995726347,0.1306301997974515,6.030311899725348,917.9465238996781,918.0464444998652,0.03281979961320758,0.13013509986922145,0.0,1.7982494998723269,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
58,0,58,0,,,,,,,,,,,,,,,,,919.8801971999928,0.0006389999762177467,0.09728749981150031,925.8798634000123,6.030597699806094,,926.0129441996105,0.03157789958640933,0.13053919980302453,6.0305238999426365,931.996300699655,932.0965096997097,0.01666439976543188,0.11401609983295202,0.0,1.2980944998562336,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
59,0,59,0,,,,,,,,,,,,,,,,,933.4301229999401,0.0002441997639834881,0.09918139968067408,939.4298341996036,5.999185000080615,6.099053999874741,939.5795875997283,0.060215899720788,0.14913659961894155,6.015678699593991,945.5798025997356,945.646367199719,0.01836139988154173,0.11569339968264103,0.0,3.2982711000368,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
60,0,60,0,,,,,,,,,,,,,,,,,948.9797349995933,0.0007875999435782433,0.09698519995436072,954.9963932000101,6.013670700136572,,955.1463174996898,0.0645435000769794,0.16387620009481907,6.030191199854016,961.1464009997435,961.2130326000042,0.033245000056922436,0.13006799994036555,2.0,4.998138600029051,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
61,0,61,0,,,,,,,,,,,,,,,,,966.2465314995497,0.00021160021424293518,0.09916740003973246,972.2463413998485,5.999079999979585,6.098906200379133,972.4464712999761,0.083667800296098,0.1991667002439499,6.0323052001185715,978.4463142999448,978.4796962998807,0.0349201001226902,0.13220380013808608,2.0,2.6984373000450432,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
62,0,62,0,,,,,,,,,,,,,,,,,981.2133146999404,0.00024030031636357307,0.09953870018944144,987.2130817999132,5.99939570017159,6.099226500373334,987.3462367998436,0.029512600041925907,0.13256110018119216,5.999030200298876,993.3465539999306,993.413035699632,0.0022825999185442924,0.09913050010800362,0.0,2.697677300311625,6.099304799921811,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
