Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Finish_rinse.stopped,p_port_14.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,1846.8645291998982,-7.029809057712555e-05,0.09893760085105896,1852.8477068003267,6.015507102012634,1852.9644748996943,1852.9644748996943,-0.0004005972295999527,0.09894350171089172,space,3.109009001404047,1856.1312847994268,1856.1312847994268,2.2700056433677673e-05,0.09926020167768002,num_9,3.085561001673341,1859.2812122695148,0.002189500257372856,0.09809740073978901,1859.5978170000017,1860.0645178698003,,1860.864487669617,1861.1811449993402,1861.281118799001,1869.2811041995883,1869.2811041995883,1869.2811557698994,0.0011890009045600891,0.09815270081162453,1870.2809910997748,1871.2810583002865,1871.4811115991324,1871.9811559990048,10.014568699523807,,1879.397565400228,0.016545100137591362,1879.397565400228,0.11446239985525608,6.0,4.032509600743651,1883.464656099677,0.002477100118994713,0.09815729968249798,1889.480964500457,1889.647682069987,6.214365500956774,6.297769101336598,1890.6476434990764,1909.6475829698145,1909.6475993990898,26.214485300704837,26.31444450095296,1912.6476028002799,1912.6476028002799,0.01450740173459053,0.11447730101644993,1942.6474773995578,30.014418501406908,,,6.098827602341771,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,1942.780660700053,0.015144500881433487,0.1309537012130022,1948.7640239987522,6.014214601367712,1948.864219199866,1948.864219199866,0.031721701845526695,0.1309256013482809,space,3.384765401482582,1952.3143103998154,1952.3143103998154,4.2300671339035034e-05,0.09788650088012218,num_9,2.262235699221492,1954.6142472691834,0.001177700236439705,0.0984835010021925,1954.9307515993714,1955.414161869511,1955.730770200491,1956.2140985701233,1956.530835499987,1956.5973736997694,1964.5973600000143,1964.5973600000143,1964.597425970435,0.015245800837874413,0.11513599939644337,1965.597437100485,1966.5973652992398,1966.797380199656,1967.2807790003717,10.031775100156665,,1974.747344000265,0.03433760069310665,1974.747344000265,0.13200199976563454,6.0,5.615396000444889,1980.397526498884,0.002391798421740532,0.09747789986431599,1986.4140757992864,1986.5806637696921,6.214174998924136,6.31409339979291,1987.58061609976,2006.5972792703658,2006.597225299105,26.230683898553252,26.330944599583745,,2009.613818898797,0.015159599483013153,0.11400879919528961,2039.6303994990885,30.03060520067811,2007.5970919001848,,6.097554402425885,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,2039.7304196003824,0.03135340102016926,0.13055210001766682,2045.7470343001187,6.0140074994415045,2045.8137269001454,2045.8137269001454,0.013971200212836266,0.11387179978191853,space,2.787057001143694,2048.663706900552,2048.663706900552,3.2899901270866394e-05,0.09841709956526756,num_9,3.185501901432872,2051.897120270133,0.002746500074863434,0.098030099645257,2052.1969437003136,2052.6803206700833,2052.9803800005466,2053.4805167701097,2053.780362699181,2053.8804027996957,2061.897099599242,2061.897099599242,2061.897146268934,0.0013501010835170746,0.09798240102827549,,2063.897003499791,2064.0969593990594,2064.597007598728,10.014516299590468,10.09801210090518,2071.996884400025,0.001574300229549408,2071.996884400025,0.0979153010994196,2.0,3.6307430006563663,2075.663827199489,0.0027983002364635468,0.09807159937918186,2081.6467383001,2081.8636170692744,6.2311348002403975,6.347798500210047,2082.88020350039,2101.8468936692925,2101.8470201995224,26.214597199112177,26.331072399392724,2104.8468057997525,2104.8468057997525,0.014613600447773933,0.11442570015788078,2134.8467151988298,30.014328200370073,2102.846745800227,,,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2134.980094799772,0.01460140012204647,0.11429610103368759,2164.9965665005147,30.031014000996947,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,2165.096584798768,0.03270310163497925,0.1308181006461382,2171.113097799942,6.014128701761365,2171.180145898834,2171.180145898834,0.01411530189216137,0.1144528016448021,space,3.3410787004977465,2174.5633675996214,2174.5633675996214,4.0300190448760986e-05,0.09711549989879131,num_9,2.572937101125717,2177.1967331703754,0.0020033996552228928,0.0977535992860794,2177.513210499659,2177.996575669572,2178.29652739875,2178.7797385688873,2179.079716099426,2179.196558199823,2187.1964861005545,2187.1964861005545,2187.196563069895,0.000871799886226654,0.09767740033566952,2188.1964136995375,2189.213135899976,2189.3798415996134,2189.8798356987536,10.031041199341416,,2197.3297918997705,0.0339030995965004,2197.3297918997705,0.13078510016202927,5.0,4.731468100100756,2202.096598699689,0.0015185996890068054,0.099210100248456,2208.0964720994234,2208.2631251692774,6.199147799983621,6.299108998849988,2209.2797419000417,2228.26305516921,2228.262977398932,26.199061499908566,26.299165599048138,2231.279684498906,2231.279684498906,0.015790700912475586,0.11580120027065277,2261.296203300357,29.999043500050902,2229.279582200572,30.098764300346375,,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,2261.3964508995414,-0.00046079978346824646,0.09899290092289448,2267.412950700149,6.015519000589848,2267.5295269005,2267.5295269005,0.032615600153803825,0.13218150101602077,space,4.502863001078367,2272.079628098756,2272.079628098756,4.00003045797348e-05,0.09810670092701912,num_9,1.3207641001790762,2273.462862269208,0.002337900921702385,0.11483979970216751,2273.779344100505,2274.2462127704175,2274.5460726004094,2275.06285696961,2275.3795602992177,2275.446114299819,2283.462752500549,2283.462752500549,2283.4628097705545,0.0018972009420394897,0.09791270084679127,2284.47953119874,2285.479435099289,2285.646074999124,2286.162736799568,10.014601299539208,10.097952099516988,2293.5626055989414,0.000563301146030426,2293.5626055989414,0.09806780144572258,3.0,3.798522099852562,2297.396431699395,0.0037877000868320465,0.09813900105655193,2303.4126514997333,2303.5793240696194,6.214694099500775,6.314412700012326,2304.5960476994514,2323.579320970178,2323.5792612992227,26.2145182993263,26.314526099711657,2326.5792954992503,2326.5792954992503,0.014583300799131393,0.11445660144090652,2356.595802700147,30.031062100082636,2324.579244799912,,,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,2356.7291388995945,0.03188660182058811,0.13120190054178238,2362.7457750998437,6.01447750069201,2362.812425699085,2362.812425699085,0.014444701373577118,0.1143651008605957,space,4.348131900653243,2367.1957651991397,2367.1957651991397,3.8098543882369995e-05,0.09782009944319725,num_9,1.557064602151513,2368.8124910697343,0.002022799104452133,0.0979009997099638,2369.1290811989456,2369.6126082699748,2369.9290594998747,2370.3957677699627,2370.695727000013,2370.7790472004563,2378.7957306988537,2378.7957306988537,2378.7957696702333,0.014549199491739273,0.1147508006542921,2379.7956149987876,2380.7957077994943,2380.978913700208,2381.495835600421,10.01443599909544,,2388.92884089984,0.016927501186728477,2388.92884089984,0.11429670080542564,5.0,4.398422200232744,2393.362718598917,0.0023090001195669174,0.09790080040693283,2399.362286100164,2399.5455862704666,6.2144403997808695,6.297844400629401,,2419.545499270037,2419.5455834995955,26.214597200974822,26.3144004996866,2422.5622207988054,2422.5622207988054,0.00019660219550132751,0.09783030115067959,2452.5621245987713,30.031203500926495,2420.5455958992243,,,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,2452.6954159997404,0.0318302009254694,0.1310656014829874,2458.7120762988925,6.014413300901651,2458.7787372991443,2458.7787372991443,0.014622101560235023,0.11452370136976242,space,4.6056502014398575,2463.428686099127,2463.428686099127,5.510076880455017e-05,0.09807570092380047,num_9,2.8606253005564213,2466.32878437005,0.0020035002380609512,0.09796920046210289,2466.628726899624,2467.1120666705074,2467.4286292996258,2467.912034669146,2468.228682799265,2468.3287000991404,2476.328659499064,2476.328659499064,2476.3288166701795,0.0013373997062444687,0.09805249981582165,2477.32858469896,2478.3286643996835,2478.5286387987435,2479.028660899028,10.014505799859762,,2486.4451898988336,0.01724099926650524,2486.4451898988336,0.11474069952964783,2.0,2.531579799950123,2489.012246899307,0.0027649998664855957,0.09801140055060387,2495.011949399486,2495.1954599704595,6.214636201038957,6.314504601061344,2496.19514339976,2515.1952191695573,2515.1951743997633,26.21461700089276,26.3145659994334,2518.2117729000747,2518.2117729000747,0.00031540170311927795,0.09791160002350807,2548.228332499042,30.01452180184424,2516.1950543988496,,,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,2548.328467000276,0.015113402158021927,0.11441330052912235,2554.3450910001993,6.0310665015131235,2554.445116698742,2554.445116698742,0.03139610216021538,0.13107910193502903,space,4.323300499469042,2558.811673199758,2558.811673199758,4.1000545024871826e-05,0.0978568997234106,num_9,1.4375404994934797,2560.3117166694256,0.0023155007511377335,0.09806389920413494,2560.6282813996077,2561.0951584700497,2561.394913200289,2561.8949490703644,2562.194894598797,2562.2950336001813,2570.311616100371,2570.311616100371,2570.311676669121,0.0011886004358530045,0.09800720028579235,2571.328268200159,2572.3116254992783,2572.511586898938,2573.011651299894,10.031275700777769,,2580.4448015987873,0.034407900646328926,2580.4448015987873,0.1313524004071951,5.0,4.931307699531317,2585.4117079004645,0.0017103999853134155,0.09900709986686707,2591.4115548990667,2591.594794969261,6.215375199913979,6.298855299130082,,2611.5949630692603,2611.5949333999306,26.215726798400283,26.31590659916401,2614.5947885997593,2614.5947885997593,0.015602599829435349,0.11554360017180443,2644.6112930998206,30.03214420005679,2612.6114387996495,,,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2644.727965598926,0.015657801181077957,0.11553180031478405,2674.7278192993253,30.01524950005114,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
