loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,p_port_7.stopped,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,14.664222600171342,0.0005338999908417463,0.11321450001560152,15.078078399877995,15.344857949996367,15.778406099881977,15.778406099881977,0.012221099808812141,0.11290469975210726,30.778155399952084,15.013034499716014,30.878178299870342,30.878178299870342,0.013171799713745713,0.1129992997739464,space,3.842006399994716,,,,,,,,,,,,,,,,,,9966,Visual,2025-03-09_14h54.38.022,Visual_Condition_v2,2022.2.5,29.944207938285032,
0,0,0,0,,,,,,,,,,,,,,,,,,34.76149159995839,0.0014921000692993402,0.0980082000605762,40.744667100021616,6.014562400057912,6.098024100065231,40.87814059993252,0.016515800030902028,0.11489309999160469,46.8781707000453,6.014654399827123,46.97819609986618,0.017513299826532602,0.11458699987269938,2.0,3.398209699895233,,9966,Visual,2025-03-09_14h54.38.022,Visual_Condition_v2,2022.2.5,29.944207938285032,
1,0,1,0,,,,,,,,,,,,,,,,,,50.41166979982518,0.000273499870672822,0.09914999990724027,56.42806499986909,6.015674599912018,,56.57798139983788,0.06784829986281693,0.165808699792251,62.57809620001353,5.999116599792615,62.611336099915206,0.002184199634939432,0.09898399980738759,0.0,2.031252299901098,6.099049899727106,9966,Visual,2025-03-09_14h54.38.022,Visual_Condition_v2,2022.2.5,29.944207938285032,
2,0,2,0,,,,,,,,,,,,,,,,,,64.67847769986838,0.00023150001652538776,0.09904960007406771,70.69466579984874,6.015707599930465,,70.81157359993085,0.030255499994382262,0.13272439991123974,76.81150679988787,5.999228999949992,76.8780588998925,0.002461999887600541,0.09903129981830716,2.0,5.364256599918008,6.099150699796155,9966,Visual,2025-03-09_14h54.38.022,Visual_Condition_v2,2022.2.5,29.944207938285032,
3,0,3,0,,,,,,,,,,,,,,,,,,82.27836630004458,0.0005904999561607838,0.11400899989530444,88.2946792000439,6.0140682000201195,,88.41125310002826,0.026007199892774224,0.13068099995143712,94.41124389995821,6.03059809980914,94.51144049991854,0.03338159970007837,0.13049489981494844,2.0,4.7978437000419945,,9966,Visual,2025-03-09_14h54.38.022,Visual_Condition_v2,2022.2.5,29.944207938285032,
4,0,4,0,,,,,,,,,,,,,,,,,,99.34436409990303,0.0001563001424074173,0.11580450017936528,105.34460989991203,5.9993664000649005,6.099322700174525,105.46121859992854,0.015317599987611175,0.11608460010029376,111.46125179994851,6.015942400088534,111.56137549993582,0.018757999874651432,0.11578789982013404,1.0,2.8984285001643,,9966,Visual,2025-03-09_14h54.38.022,Visual_Condition_v2,2022.2.5,29.944207938285032,
5,0,5,0,,,,,,,,,,,,,,,,,,114.49464179994538,0.0007492001168429852,0.09718889999203384,120.51132479985245,6.0137974000535905,,120.6777583998628,0.08929920010268688,0.18041160004213452,126.67780709988438,6.013731699902564,126.71120269992389,0.015432499814778566,0.11370469979010522,1.0,2.399331099819392,,9966,Visual,2025-03-09_14h54.38.022,Visual_Condition_v2,2022.2.5,29.944207938285032,
6,0,6,0,,,,,,,,,,,,,,,,,,129.14461519988254,0.00048310006968677044,0.09712930000387132,135.1444671000354,6.030427000019699,,135.4281476000324,0.1348206999246031,0.2807168001309037,,6.01392209995538,141.36113259987906,0.01675209985114634,0.11372559983283281,0.0,2.4313674999866635,,9966,Visual,2025-03-09_14h54.38.022,Visual_Condition_v2,2022.2.5,29.944207938285032,
7,0,7,0,,,,,,,,,,,,,,,,,,143.82821329985745,0.0002383999526500702,0.09934359998442233,149.82786750001833,5.999261899851263,6.099271399900317,150.29462729999796,0.21753739984706044,0.46617889986373484,,6.015929999761283,156.0240517000202,0.01478429976850748,0.09552669967524707,1.0,1.4355407000984997,,9966,Visual,2025-03-09_14h54.38.022,Visual_Condition_v2,2022.2.5,29.944207938285032,
8,0,8,0,,,,,,,,,,,,,,,,,,157.51143369986676,0.00041259988211095333,0.09889569994993508,163.52800359996036,6.015589299844578,,163.6443477999419,0.03035169979557395,0.13252049987204373,169.6276249999646,6.032176899723709,169.72772369999439,0.018172999611124396,0.11545419972389936,1.0,3.5318422000855207,,9966,Visual,2025-03-09_14h54.38.022,Visual_Condition_v2,2022.2.5,29.944207938285032,
