Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,Palatability_Score.started,p_port_17.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_5.stopped,Begin_Rinse.stopped,break_text.started,p_port_15.started,p_port_15.stopped,p_port_16.started,break_text.stopped,p_port_16.stopped,p_port_14.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,22.238819079915995,0.0005092000355944037,0.09302090003620833,22.734654219960795,23.00133559992537,23.2345357199898,23.501132800010964,23.501132800010964,0.015089099993929267,0.1265207000542432,43.5013957999181,20.009682000032626,43.60132449993398,0.011219800100661814,0.10954270011279732,49.61796119995415,6.026244800072163,49.717914899927564,49.717914899927564,0.026382300071418285,0.12619160010945052,space,26.647026899969205,76.41777639999054,76.41777639999054,0.00010439998004585505,0.08696560002863407,num_9,3.826485100085847,80.28466811999678,0.002065700013190508,0.09759249992202967,80.60120039992034,81.0848470200086,81.4012051000027,81.86787321991287,82.16774489998352,82.2678820999572,90.26808149996214,90.26808149996214,90.26812441998626,0.014554399996995926,0.11427409993484616,91.26777289994061,92.28451729996596,92.48462289990857,93.00115499994718,12.014097800012678,12.097447499982081,102.38450559997,0.0015808999305590987,0.0975646999431774,108.40116239991039,108.56788311994168,6.214171799947508,6.314200900029391,138.5677387200063,138.5677317000227,36.21423839998897,36.31416089995764,139.56765669991728,141.58456739992835,141.58456739992835,0.0011159999994561076,0.09771980007644743,3.0,8.080642100074328,149.70137349993456,0.0008524999720975757,0.09808889997657388,179.7176327999914,30.014739300007932,,,,,,,,,,668,Gustatory,2024-02-15_16h45.52.049,Gustatory_Condition_v2,2022.2.5,29.96618315946862,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,179.8176643999759,0.015354900038801134,0.11466600000858307,185.80076149990782,6.014420700026676,185.90099639992695,185.90099639992695,0.03188000002410263,0.13126080005895346,space,3.1038118000142276,189.0676691000117,189.0676691000117,3.0199997127056122e-05,0.09847620001528412,num_9,4.016689999960363,193.1178240200039,0.0020352000137791038,0.09745890006888658,193.41755149990786,193.917680320004,,194.7177267199382,,195.1009642999852,203.10094299993943,203.10094299993943,203.10088331999722,0.01423970004543662,0.11412990000098944,204.10085779998917,205.11770109995268,205.3176102999132,205.81739569990896,12.013847899972461,12.09734340000432,215.2175556999864,0.0006068000802770257,0.09746540000196546,221.23423169995658,221.40105421994812,6.214082300080918,6.314095800044015,251.40078401998616,251.4008085000096,36.214080800069496,36.31402819999494,252.4007126999786,254.40089869999792,254.40089869999792,0.014161200146190822,0.11384380015078932,5.0,4.698928799945861,259.134078699979,0.0009642000077292323,0.0979813999729231,289.13402220001444,30.031240599928424,6.097752499976195,222.4008893999271,,,,,,,,668,Gustatory,2024-02-15_16h45.52.049,Gustatory_Condition_v2,2022.2.5,29.96618315946862,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,289.2673533000052,0.03194959997199476,0.13122660003136843,295.2673425999237,6.031220200005919,295.3673543999903,295.3673543999903,0.03130899998359382,0.1311808000318706,space,18.428970300010405,313.8506366999354,313.8506366999354,5.100003909319639e-05,0.09799160005059093,num_9,4.306060300092213,318.2173366199946,0.002354099997319281,0.09774229989852756,318.51718680001795,319.00065791993404,319.31720529997256,319.800611319975,320.1005171999568,320.18374809995294,328.184008799959,328.21741719997954,328.2174083199585,0.03138669999316335,0.13128669990692288,,330.20042349991854,330.40066159993876,330.9172590000089,12.014292199979536,12.097811299958266,340.31728740001563,0.0031088999239727855,0.09787599998526275,346.30049469997175,346.5006984200096,6.214465599972755,6.314257899997756,376.50038781997284,376.50056129996665,36.21455249993596,36.314340699929744,377.51710349996574,379.5170702999458,379.5170702999458,0.031128200003877282,0.13092460006009787,1.0,3.780610700021498,383.31736450002063,0.0013164000120013952,0.09734950005076826,413.33359769999515,30.014041000045836,,347.51712420000695,,,,,,,,668,Gustatory,2024-02-15_16h45.52.049,Gustatory_Condition_v2,2022.2.5,29.96618315946862,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,413.43360009999014,0.014311000006273389,0.11394650011789054,419.4504135999596,6.030574000091292,419.533941200003,419.533941200003,0.014191400026902556,0.11389350006356835,space,16.438193199923262,436.0335026999237,436.0335026999237,4.279997665435076e-05,0.09799269994255155,num_9,10.3466810999671,446.41692401994953,0.0021029000636190176,0.09804900002200156,446.7166574000148,447.2168498200132,447.5334591999417,448.00026071993636,448.30002690001857,448.4002592000179,456.400266099954,456.400266099954,456.400449219998,0.014873199979774654,0.1146174999885261,457.3999776999699,458.4168142999988,458.6167841999559,459.13338080001995,12.014828599989414,,468.53342599992175,0.01950120006222278,0.11474830005317926,474.53347199992277,474.7001448199386,6.214587100083008,6.314621400088072,504.71663951992525,504.71665159997065,36.231217900058255,36.3311943000881,505.749930699938,507.7164048999548,507.7164048999548,0.0014158000703901052,0.09788090013898909,4.0,3.6972685999935493,511.4502590999473,0.0009811000199988484,0.097802700009197,541.4498061999911,30.031038700020872,,475.7001325999154,,,,,,,,668,Gustatory,2024-02-15_16h45.52.049,Gustatory_Condition_v2,2022.2.5,29.96618315946862,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,541.5831209999742,0.03138780011795461,0.1309812000254169,547.5998410999309,6.014284300035797,547.6666275999742,547.6666275999742,0.01462080015335232,0.11427780007943511,space,2.234408199903555,549.9664532999741,549.9664532999741,4.39999857917428e-05,0.09822719998192042,num_9,2.0776470999699086,552.1001430199482,0.0014877000357955694,0.09812390001025051,552.3998044999316,552.8831184199313,553.1996579999104,553.682975719939,553.9998204999138,554.0997980999527,562.0997214999516,562.0997214999516,562.0998112199828,0.0017947000451385975,0.09813850000500679,563.0996597999474,564.0997204999439,564.2662664999953,564.7830444999272,12.014659200096503,,574.2162839999655,0.019843000103719532,0.11470340006053448,580.2329611999448,580.3996584199136,6.231376900104806,6.331367800012231,610.3830520200078,610.3828151000198,36.21456600003876,36.31462110008579,611.3994428999722,613.3827246999135,613.3827246999135,0.014474900090135634,0.11471080011688173,7.0,17.46431259997189,630.8830529999686,0.000785200041718781,0.0980543999467045,660.8826755000046,30.031337899970822,,,,,,,,,,668,Gustatory,2024-02-15_16h45.52.049,Gustatory_Condition_v2,2022.2.5,29.96618315946862,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661.0159893999808,0.03149459999985993,0.13120930001605302,30.01439260004554,690.9990122999297,30.097627200069837,,668,Gustatory,2024-02-15_16h45.52.049,Gustatory_Condition_v2,2022.2.5,29.96618315946862,
1,0,1,0,0,0,0,0,,,,,,,,691.0824936999707,0.00011640007141977549,0.09774440003093332,711.0825200999388,20.031185600091703,711.1990794999292,0.01591430010739714,0.1143536000745371,717.1990749000106,6.014380800072104,717.2990628000116,717.2990628000116,0.014523700112476945,0.1144581000553444,space,4.9532257000682876,722.3157380999764,722.3157380999764,4.67000063508749e-05,0.09800019999966025,num_9,6.016108599957079,728.3658894199413,0.0017336000455543399,0.09744889999274164,728.6823164999951,729.1489150199574,,729.9491795199225,730.2488953999709,730.3489690999268,738.3656317999121,738.3656317999121,738.365749419923,0.0008538999827578664,0.09741829999256879,739.3822864999529,740.3823936999543,740.5489324999508,741.0655988999642,12.013991700019687,,750.4822346000001,0.019137499970383942,0.11427510005887598,756.4821663999464,756.6656021200121,6.230686499970034,6.330643799970858,786.6488276199904,786.6487549999729,36.21396790002473,36.31385370006319,787.648903699941,789.6487509999424,789.6487509999424,0.013869200018234551,0.11380810011178255,1.0,6.5661053999792784,796.2491154000163,0.0005056000081822276,0.09911439998541027,826.2485829999205,29.999012399930507,,757.6822271000128,,,,,,,30.09901050000917,668,Gustatory,2024-02-15_16h45.52.049,Gustatory_Condition_v2,2022.2.5,29.96618315946862,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,826.3486159999156,0.0003890999360010028,0.11568229994736612,832.3652572999708,6.015668299980462,832.4652341000037,832.4652341000037,0.016038900008425117,0.11569190002046525,space,2.626712800003588,835.1319037999492,835.1319037999492,3.96000687032938e-05,0.09760700003243983,num_9,5.671843299991451,840.8486446199473,0.0020143999718129635,0.09810199995990843,841.1484250000212,841.6318656199379,841.9318170999177,842.4319505199325,842.7318607999478,842.8150505999802,850.8318329999456,850.8318329999456,850.8318859199295,0.014822099939920008,0.1148174999980256,851.8318143999204,852.8151002000086,853.0318542999448,853.5320635999087,12.014837099937722,12.097911600023508,862.9484746999806,0.001541399979032576,0.0980439999839291,868.9650555999251,869.1318035199307,6.2147649000398815,6.314697799971327,899.131663719914,899.1317105999915,36.21470619994216,36.29787849995773,900.1482746999245,902.1314405999146,902.1314405999146,0.014371900004334748,0.11453910009004176,4.0,3.2639273001113907,905.4318451000145,0.0009491000091657043,0.0978651000186801,935.4481259000022,30.01442570006475,,870.1317027999321,,,,,,,,668,Gustatory,2024-02-15_16h45.52.049,Gustatory_Condition_v2,2022.2.5,29.96618315946862,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,935.5481567999814,0.015199400018900633,0.11437100009061396,941.5481098999735,6.01455430011265,941.6481168000028,941.6481168000028,0.014479400124400854,0.11427200003527105,space,2.123718500020914,943.8147800000152,943.8147800000152,2.719997428357601e-05,0.09853730001486838,num_9,4.420933999936096,948.281512119947,0.0026042000390589237,0.09797769994474947,948.581371099921,949.0646440199577,949.3813566999743,949.8814740199829,950.1814201999223,950.2815284999087,958.2813468999229,958.2813468999229,958.2814639199293,0.001631299965083599,0.0980200000340119,959.2813281000126,960.281409899937,960.4646771999542,960.9646124999272,12.031276499968953,,970.3979652000125,0.01840890001039952,0.11449120007455349,976.4146006000228,976.5813435199904,6.231245300034061,6.347838900052011,1006.5645280200057,1006.564518500003,36.21452829998452,36.31431470008101,1007.5811819999944,1009.5810358999297,1009.5810358999297,0.001104300026781857,0.0975382000906393,3.0,7.564137800014578,1017.181534399977,0.000980400014668703,0.09784609999042004,1047.1976480999729,30.01408029999584,,977.581405099947,,,,,,,,668,Gustatory,2024-02-15_16h45.52.049,Gustatory_Condition_v2,2022.2.5,29.96618315946862,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,1047.2976162999403,0.014776399941183627,0.11409189994446933,1053.297681499971,6.014123699977063,1053.397446500021,1053.397446500021,0.01428270002361387,0.11403289996087551,space,3.8391837999224663,1057.2978038999718,1057.2978038999718,3.920006565749645e-05,0.0982694000704214,num_9,2.4742188999662176,1059.8144773199688,0.002042400068603456,0.09784810000564903,1060.1309105999535,1060.5976377199636,1060.8974914000137,1061.397641419922,1061.697434599977,1061.7975669999141,1069.7974861999974,1069.7974861999974,1069.7976067199138,0.014382400084286928,0.1145255999872461,1070.7977712999564,1071.7975329000037,1071.9975704000099,1072.4976948999101,12.03111560002435,,1081.930816099979,0.015544200083240867,0.11439540004357696,1087.947412099922,1088.0975279199424,6.214433200075291,6.314376400085166,1118.0973865199135,1118.0974656000035,36.21444960008375,36.3141869000392,1119.09718469996,1121.0971737999935,1121.0971737999935,0.01409940014127642,0.11414890014566481,7.0,7.09737520001363,1128.2311314999824,0.0004911000141873956,0.09942189999856055,1158.2471570000052,30.015727299964055,,,,,,,,,,668,Gustatory,2024-02-15_16h45.52.049,Gustatory_Condition_v2,2022.2.5,29.96618315946862,
