Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_5.stopped,Roll_liquid_taste.stopped,Begin_Rinse.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_14.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,31.303838194347918,0.0005159005522727966,0.10597440041601658,31.586668100208044,31.80336630064994,32.0532897002995,32.303304799832404,32.58670660108328,0.007848599925637245,0.10577329993247986,47.58674200065434,15.00581399910152,47.68667669966817,0.008119899779558182,0.10576830059289932,53.686695801094174,6.005869999527931,53.78677039965987,53.78677039965987,0.005885500460863113,0.10593970119953156,space,12.36256080120802,66.18659709952772,66.18659709952772,4.149973392486572e-05,0.09872179850935936,num_9,5.155076202005148,71.38668620120734,0.0018718000501394272,0.09786800108850002,71.68655779957771,72.1698926994577,72.486577199772,72.97002340015024,73.28666689991951,73.38660900108516,81.40329070016742,81.4032542007044,0.017693599686026573,0.11465349979698658,82.4199832007289,83.40331980027258,83.56998280063272,84.08662160113454,10.031367199495435,91.51991750113666,0.034071801230311394,91.51991750113666,0.13118750043213367,3.0,12.248033098876476,103.80354230105877,0.0015487000346183777,0.09947719983756542,109.81991619989276,109.98654930014163,6.216085899621248,6.315958200022578,129.98651089984924,129.986533600837,26.21608450077474,26.31587770022452,130.98649669997394,133.00347110070288,133.00347110070288,0.001790100708603859,0.09929050132632256,163.01979640126228,30.015849800780416,,,,,,,,,,,4417,Gustatory,2024-07-15_12h11.16.246,Gustatory_Condition_v2,2022.2.5,29.995116939357484,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,163.1367266997695,0.03344010189175606,0.13249880075454712,169.11967620067298,5.999206300824881,169.20337220095098,169.20337220095098,6.250105798244476e-05,0.09935920126736164,space,4.858013899996877,174.1197820007801,174.1197820007801,4.060007631778717e-05,0.09774450026452541,num_9,5.741475999355316,179.9031189000234,0.0021267998963594437,0.0979332011193037,180.21973350085318,180.68640709947795,180.98640150018036,181.4865223998204,181.7864699009806,181.88645350001752,189.90317030064762,189.9032044010237,0.001401599496603012,0.09810980036854744,190.9196774996817,191.88656060025096,192.08638560026884,192.5864017996937,10.014788700267673,200.01960520073771,0.017601700499653816,200.01960520073771,0.11463470011949539,4.0,8.231627499684691,208.28632559999824,0.003508700057864189,0.09774520061910152,214.2863124012947,214.46960220020264,6.214453099295497,6.3143636006861925,234.46954050008208,234.45279880054295,26.214104698970914,26.314296199008822,235.46956700086594,237.45294000022113,237.48632800020278,0.03105960041284561,0.13091460056602955,267.48620969988406,30.030896700918674,6.099319601431489,189.90317030064762,215.4696254003793,,,,,,,,4417,Gustatory,2024-07-15_12h11.16.246,Gustatory_Condition_v2,2022.2.5,29.995116939357484,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,267.6195388995111,0.03168870136141777,0.13108020089566708,273.61940659955144,6.014253500849009,273.70284140110016,273.70284140110016,0.014344701543450356,0.11414050124585629,space,4.614752300083637,278.36952619999647,278.36952619999647,3.699958324432373e-05,0.09830429963767529,num_9,4.931630300357938,283.33614119980484,0.0014383010566234589,0.09853300079703331,283.6363919004798,284.1194338006899,284.41946940124035,284.9361331006512,285.2360434010625,285.302693201229,293.31946269981563,293.3194094998762,0.015272600576281548,0.11517620086669922,294.3194562010467,295.3361087013036,295.5361376013607,296.03616600111127,10.014990100637078,303.43593300133944,0.0026116017252206802,303.43593300133944,0.09845780022442341,5.0,5.29672889970243,308.7694175001234,0.0021180007606744766,0.09839910082519054,314.7861799001694,314.9526938004419,6.214984400197864,6.298234101384878,334.96934810001403,334.9693342000246,26.231702400371432,26.331523099914193,335.9859335999936,,337.9861716013402,0.016796700656414032,0.11501390114426613,367.9859197009355,30.01486960053444,,293.31946269981563,315.9693574011326,10.098577100783587,,,,,,,4417,Gustatory,2024-07-15_12h11.16.246,Gustatory_Condition_v2,2022.2.5,29.995116939357484,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,368.0858685001731,0.015592802315950394,0.11485240235924721,374.1025408003479,6.031513201072812,374.2025304995477,374.2025304995477,0.031611401587724686,0.13145770132541656,space,4.323123099282384,378.56935209967196,378.56935209967196,3.819912672042847e-05,0.09795680083334446,num_9,4.307949099689722,382.91922509949654,0.0017539002001285553,0.0981810986995697,383.2357459999621,383.71918930020183,384.0191930998117,384.5025001997128,384.81917560100555,384.91917159967124,392.93597839958966,392.9358200011775,0.01740099862217903,0.11474829912185669,,394.9357759002596,395.11917139962316,395.6191130001098,10.014670798555017,403.03567740134895,0.017200998961925507,403.03567740134895,0.1146974004805088,3.0,7.198440900072455,410.26899660006166,0.0023618992418050766,0.09785510040819645,416.28579000011086,416.452389000915,6.214454600587487,6.314475798979402,436.4523021010682,436.45230120047927,26.214456100016832,26.314189599826932,437.46892400085926,439.46931350044906,439.46931350044906,0.00022190064191818237,0.09775940142571926,469.46881950087845,30.030988300219178,,,417.46925700083375,,,,,,,,4417,Gustatory,2024-07-15_12h11.16.246,Gustatory_Condition_v2,2022.2.5,29.995116939357484,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,469.60217490047216,0.031616900116205215,0.13101480156183243,475.618809601292,6.01434520073235,475.6854532007128,475.6854532007128,0.014352601021528244,0.11424580216407776,space,20.224284201860428,495.96873180009425,495.96873180009425,3.850087523460388e-05,0.09791550040245056,num_9,3.4287399016320705,499.4354886999354,0.0024569984525442123,0.09774350002408028,499.7352988012135,500.2186267999932,500.51871659979224,501.01871240045875,501.3186857998371,501.4186816010624,509.4187509007752,509.4184727994725,0.01442519947886467,0.11420859955251217,510.4354822002351,511.43530970066786,511.63534700125456,512.1353514995426,10.014018500223756,519.5351653005928,0.0009869001805782318,519.5351653005928,0.09745959937572479,5.0,3.8974075987935066,523.4689029995352,0.0015349984169006348,0.09923529997467995,529.4852347001433,529.6520219994709,6.216014398261905,6.3159352988004684,549.6518345000222,549.6518446002156,26.215836999937892,26.315565899014473,550.6684320010245,552.6518550012261,552.6518550012261,0.015927599743008614,0.11603539995849133,582.651621799916,30.01567279919982,,509.4187509007752,530.6685680001974,10.097547098994255,,,,,,,4417,Gustatory,2024-07-15_12h11.16.246,Gustatory_Condition_v2,2022.2.5,29.995116939357484,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.7850694004446,0.015899399295449257,0.11569710075855255,612.8015828002244,30.032346500083804,,4417,Gustatory,2024-07-15_12h11.16.246,Gustatory_Condition_v2,2022.2.5,29.995116939357484,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,612.9016852006316,0.03422130085527897,0.13219450041651726,618.9015251006931,6.032142501324415,619.0015609003603,619.0015609003603,0.03247700072824955,0.1321233008056879,space,3.54796040058136,622.6015355009586,622.6015355009586,4.580058157444e-05,0.0973374005407095,num_9,3.379728101193905,626.0182212004438,0.0022001992911100388,0.09790189936757088,626.3181424997747,626.801372599788,627.1181464996189,627.601451699622,627.9181594010442,628.018157299608,636.0181681010872,636.0181528003886,0.001236800104379654,0.09769449941813946,637.034746401012,638.0347988009453,638.2015953008085,638.7180914003402,10.014103898778558,646.1347522009164,0.017127400264143944,646.1347522009164,0.11419619992375374,5.0,2.8316201996058226,649.0017728004605,0.0016339011490345001,0.09958470053970814,655.018039399758,655.1679736999795,6.199143201112747,6.299469601362944,675.1845073001459,675.167953601107,26.199121300131083,26.299190800637007,676.1845292001963,678.184643600136,678.184643600136,0.015840601176023483,0.11592280119657516,708.2009267006069,30.03201660141349,,636.0181681010872,656.1845901999623,,,,,,,,4417,Gustatory,2024-07-15_12h11.16.246,Gustatory_Condition_v2,2022.2.5,29.995116939357484,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,708.3344608005136,0.03298270143568516,0.1322577018290758,714.3511117007583,6.015361601486802,714.4179146010429,714.4179146010429,0.01567840203642845,0.11562840268015862,space,2.7714790999889374,717.2345864009112,717.2345864009112,3.6500394344329834e-05,0.09857730008661747,num_9,5.482706600800157,722.7677549002692,0.0024276003241539,0.09790189936757088,723.0676844995469,723.5509160002694,723.8844397012144,724.3509553996846,724.6677512004972,724.7677354998887,732.7678917013109,732.7677345005795,0.0010967999696731567,0.0978046003729105,733.7675903011113,734.7676752004772,734.9510217998177,735.4676671996713,10.014297500252724,742.8471358008683,0.01058110035955906,742.8471358008683,0.09758839942514896,2.0,4.236519999802113,747.1346006002277,0.002153400331735611,0.09924959950149059,753.1509496998042,753.3342712009326,6.199025999754667,6.299059700220823,773.3176497006789,773.3175409007818,26.215687999501824,26.31564659997821,774.3340966999531,776.3341428004205,776.3341428004205,0.001399001106619835,0.09894410148262978,806.3345018997788,30.032679900527,,732.7678917013109,754.3341894000769,10.09399339929223,,,,,,,4417,Gustatory,2024-07-15_12h11.16.246,Gustatory_Condition_v2,2022.2.5,29.995116939357484,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,806.451040700078,0.016278201714158058,0.11567640118300915,812.4674971010536,6.0321283005177975,812.5338652003556,812.5338652003556,0.015202401205897331,0.09875180199742317,space,2.2955549005419016,814.8673494011164,814.8673494011164,3.9599835872650146e-05,0.09798489883542061,num_9,3.2029836010187864,818.1339943995699,0.0021934006363153458,0.09808770008385181,818.4341826997697,818.9171631010249,819.2173174005002,819.7173250997439,820.0172470007092,820.1173212006688,828.1171438004822,828.1172703998163,0.014552799984812737,0.09816719964146614,829.1172078009695,830.1172436997294,830.3172776997089,830.8005242999643,10.031302601099014,838.2675541006029,0.03409770131111145,838.2675541006029,0.13127010129392147,4.0,13.198061399161816,851.5007886998355,0.001623399555683136,0.09915330074727535,857.5007100012153,857.7004776997492,6.232280999422073,6.3324429001659155,877.6837029000744,877.6839044000953,26.21572870016098,26.31553960032761,,880.6838330999017,880.6838330999017,0.01570340059697628,0.1154910009354353,910.6837936006486,30.015717901289463,,828.1171438004822,858.7171819005162,,,,,,,,4417,Gustatory,2024-07-15_12h11.16.246,Gustatory_Condition_v2,2022.2.5,29.995116939357484,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,910.8169363997877,0.016123801469802856,0.11547580175101757,916.8170370999724,6.015360800549388,916.9169915001839,916.9169915001839,0.015501901507377625,0.11532110162079334,space,2.488688001409173,919.4501933008432,919.4501933008432,3.819912672042847e-05,0.09810779988765717,num_9,2.803191300481558,922.3169400012121,0.0028734002262353897,0.0980732012540102,922.6336137000471,923.1002764003351,923.4168429002166,923.9001505998895,924.2168551012874,924.3168494012207,932.316803900525,932.3168355012313,0.001534201204776764,0.09798070043325424,933.3168521001935,934.3169780001044,934.5001513008028,935.000257300213,10.031342400237918,942.4499533008784,0.03429890051484108,942.4499533008784,0.131062600761652,5.0,2.597884399816394,945.0836329013109,0.0033157989382743835,0.097775898873806,951.0666185002774,951.2665469003841,6.214281199499965,6.2976686004549265,971.2666255002841,971.2667204011232,26.214556200429797,26.314441598951817,972.2668693996966,974.2666581012309,974.2666581012309,0.014459699392318726,0.11449100077152252,1004.2664829008281,30.01422510109842,,932.316803900525,,,,,,,,,4417,Gustatory,2024-07-15_12h11.16.246,Gustatory_Condition_v2,2022.2.5,29.995116939357484,
