loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,p_port_7.stopped,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,16.097405100124888,0.0005960999988019466,0.10344020000775345,16.795471010002075,17.212496500025736,17.212496500025736,0.02027109998743981,0.12010820000432432,32.195496000000276,15.003234000003431,32.32888830002048,32.32888830002048,0.003591999993659556,0.10345299998880364,space,7.03009109996492,,,,,,,,,,,,,,,,,,4206,Visual,2025-02-27_12h17.47.598,Visual_Condition_v2,2022.2.5,29.998536071642572,
0,0,0,0,,,,,,,,,,,,,,,,,39.39558490001946,0.0009370000043418258,0.09932100001606159,45.39566230002674,5.99921720000566,6.099163900013082,45.52895270002773,0.023638500017113984,0.13254130000132136,51.51210930000525,6.0323120999964885,51.612269100005506,0.016471999988425523,0.11595649999799207,2.0,3.450468600000022,,4206,Visual,2025-02-27_12h17.47.598,Visual_Condition_v2,2022.2.5,29.998536071642572,
1,0,1,0,,,,,,,,,,,,,,,,,55.09569860002375,0.0002350000140722841,0.09927619999507442,61.09568670002045,5.999108299991349,6.099118200014345,61.2455675000092,0.05507149998447858,0.14917530000093393,67.24567440000828,6.0157221000117715,67.31223670000327,0.017595899989828467,0.11572599998908117,2.0,2.7325049999926705,,4206,Visual,2025-02-27_12h17.47.598,Visual_Condition_v2,2022.2.5,29.998536071642572,
2,0,2,0,,,,,,,,,,,,,,,,,70.0793317000207,0.00046859998838044703,0.09764590000850148,76.09566720001749,6.014008600002853,,76.22897610001382,0.05038979998789728,0.14729839999927208,82.22898770001484,6.01394760000403,82.29566490001162,0.016671899997163564,0.11377219998394139,1.0,7.664950000005774,,4206,Visual,2025-02-27_12h17.47.598,Visual_Condition_v2,2022.2.5,29.998536071642572,
3,0,3,0,,,,,,,,,,,,,,,,,89.99615650001215,0.0009413000079803169,0.09688009999808855,96.01229990000138,6.013541799999075,,96.16253010000219,0.059340599982533604,0.16360549998353235,102.1624364000163,6.030177000007825,102.22889840000425,0.03274639998562634,0.13036409998312593,0.0,1.7651124999974854,,4206,Visual,2025-02-27_12h17.47.598,Visual_Condition_v2,2022.2.5,29.998536071642572,
4,0,4,0,,,,,,,,,,,,,,,,,104.02906710002571,0.000544899987289682,0.09736399998655543,110.04554330001702,6.013828800001647,,110.16217530000722,0.04036509999423288,0.13068579998798668,116.16234940002323,6.0304672999773175,116.24555940000573,0.016194899973925203,0.11372719999053515,0.0,2.565286199998809,,4206,Visual,2025-02-27_12h17.47.598,Visual_Condition_v2,2022.2.5,29.998536071642572,
5,0,5,0,,,,,,,,,,,,,,,,,118.8457021000213,0.00023060000967234373,0.09904800000367686,124.86233350000111,6.015639999997802,,124.97896850001416,0.0365305999876,0.1322548000025563,130.97902780000004,6.032221500005107,131.07888390001608,0.03509619997930713,0.13223059999290854,0.0,1.9650018999818712,,4206,Visual,2025-02-27_12h17.47.598,Visual_Condition_v2,2022.2.5,29.998536071642572,
6,0,6,0,,,,,,,,,,,,,,,,,133.07899600002565,0.0005256000149529427,0.09730009999475442,139.0622793000075,6.013828900002409,6.09709880000446,139.212546499999,0.019357600016519427,0.13077710001380183,145.1955288000172,6.030385899997782,145.2958750000107,0.0168134999985341,0.11418209999101236,1.0,2.5647470999974757,,4206,Visual,2025-02-27_12h17.47.598,Visual_Condition_v2,2022.2.5,29.998536071642572,
7,0,7,0,,,,,,,,,,,,,,,,,147.89587390000816,0.00022250000620260835,0.09928920000675134,153.87887920002686,6.015597000019625,6.098993899999186,154.0289243000152,0.031535200017970055,0.13237229999504052,160.0290076000092,5.999045200005639,160.0957233000081,0.002516400010790676,0.09898199999588542,1.0,1.7309535999957006,6.099034600018058,4206,Visual,2025-02-27_12h17.47.598,Visual_Condition_v2,2022.2.5,29.998536071642572,
8,0,8,0,,,,,,,,,,,,,,,,,161.86240820001694,0.0006810000049881637,0.09715039998991415,167.86235470001702,6.0304161999956705,,167.9955861000053,0.026849199988646433,0.1303974000038579,173.9956627000065,6.030424199998379,174.07892230001744,0.016014899971196428,0.1138047999702394,1.0,1.6652120999933686,,4206,Visual,2025-02-27_12h17.47.598,Visual_Condition_v2,2022.2.5,29.998536071642572,
9,0,9,0,,,,,,,,,,,,,,,,,175.7792987000139,0.00023770000552758574,0.09911290000309236,181.7957009000238,6.015719200018793,,181.92909100002726,0.041091599996434525,0.14907040001708083,187.929240700003,6.015707400016254,187.99578500000644,0.016502999991644174,0.11571559999720193,0.0,1.4006115000229329,,4206,Visual,2025-02-27_12h17.47.598,Visual_Condition_v2,2022.2.5,29.998536071642572,
10,0,10,0,,,,,,,,,,,,,,,,,189.42919990001246,0.00016269998741336167,0.09900849999394268,195.4290479000192,6.0323207000037655,,195.56245090000448,0.034197800006950274,0.13228629998047836,201.54562810002244,6.032225600007223,201.6456515000027,0.018313199980184436,0.11556199999176897,1.0,1.9649569999892265,,4206,Visual,2025-02-27_12h17.47.598,Visual_Condition_v2,2022.2.5,29.998536071642572,
11,0,11,0,,,,,,,,,,,,,,,,,203.6459240000113,0.00044319999869912863,0.09728099999483675,209.6457069000171,6.03061479999451,,209.79562129999977,0.044312499987427145,0.14719779998995364,215.79571870001382,6.013997299975017,215.86230620002607,0.01653309998800978,0.11380509997252375,0.0,1.4656553999811877,,4206,Visual,2025-02-27_12h17.47.598,Visual_Condition_v2,2022.2.5,29.998536071642572,
12,0,12,0,,,,,,,,,,,,,,,,,217.36264510001638,0.0002690000110305846,0.09927210002206266,223.3623374000017,5.99911250002333,6.099109600007068,223.47904090001248,0.014422300009755418,0.11567570001352578,229.47901880001882,6.015826899994863,229.57895950000966,0.01743100001476705,0.11573960000532679,2.0,8.232717700011563,,4206,Visual,2025-02-27_12h17.47.598,Visual_Condition_v2,2022.2.5,29.998536071642572,
13,0,13,0,,,,,,,,,,,,,,,,,237.84594460000517,0.00022139999782666564,0.098995999986073,243.84572160002426,6.032300699996995,,243.99562870000955,0.05220999999437481,0.14891949997399934,249.9957041000016,6.015625799976988,250.06246700001066,0.017997899965848774,0.1155801999848336,0.0,1.8985314999881666,,4206,Visual,2025-02-27_12h17.47.598,Visual_Condition_v2,2022.2.5,29.998536071642572,
14,0,14,0,,,,,,,,,,,,,,,,,251.99598160001915,0.0004675000091083348,0.09726149999187328,257.9956945000158,6.030628600012278,,258.12889450002695,0.03693969998857938,0.13065519998781383,264.12901140001486,6.030569700000342,264.2122519000259,0.016117899998789653,0.1138024999818299,0.0,2.1321230999892578,,4206,Visual,2025-02-27_12h17.47.598,Visual_Condition_v2,2022.2.5,29.998536071642572,
15,0,15,0,,,,,,,,,,,,,,,,,266.379265399999,0.00021979998564347625,0.09894679998978972,272.37914410000667,6.032428299979074,,272.5290180000011,0.0508055999816861,0.14894590000039898,278.52900910002063,6.015556699974695,278.6122572000022,0.03494949996820651,0.13241419999394566,2.0,1.9983112000045367,,4206,Visual,2025-02-27_12h17.47.598,Visual_Condition_v2,2022.2.5,29.998536071642572,
16,0,16,0,,,,,,,,,,,,,,,,,280.645928700018,0.0004413000133354217,0.09745650002150796,286.66231840002,6.014079800021136,,286.7788946000219,0.03682639999897219,0.1307645000051707,292.77913220002665,6.031014500011224,292.86226720002014,0.01605450001079589,0.11405289999675006,0.0,1.5989750000007916,,4206,Visual,2025-02-27_12h17.47.598,Visual_Condition_v2,2022.2.5,29.998536071642572,
17,0,17,0,,,,,,,,,,,,,,,,,294.49592570000095,0.0005551000067498535,0.09702220000326633,300.49567630002275,6.030338300013682,,300.64593730002525,0.05636330001289025,0.146979300014209,306.64567779999925,6.01366140000755,306.7122146000038,0.01582480000797659,0.11360390001209453,2.0,1.7989556000102311,,4206,Visual,2025-02-27_12h17.47.598,Visual_Condition_v2,2022.2.5,29.998536071642572,
