Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_5.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,10.37848297066521,0.0004849000833928585,0.09563270001672208,10.643802299862728,10.86080293005798,11.127168599981815,11.36052682993468,11.62720560003072,11.62720560003072,0.007817600155249238,0.09595960006117821,26.627246299991384,15.029068100033328,26.743949699914083,0.014204799896106124,0.11241329996846616,32.76053719990887,6.029034100007266,32.86065479996614,32.86065479996614,0.029204699909314513,0.12906489986926317,space,9.708122099982575,42.610575299942866,42.610575299942866,4.1899969801306725e-05,0.09797549992799759,num_9,1.398403299972415,44.04394683006685,0.0020153000950813293,0.09791340003721416,44.3438434000127,44.827177729899994,45.12720680003986,45.62715542989317,45.94382599997334,46.04386350000277,54.04386249999516,54.04386249999516,54.04386553002987,0.0014581000432372093,0.09789930004626513,55.04380930005573,56.04385709995404,56.24384259991348,56.74388119997457,10.014333200175315,64.1605169000104,0.01729759993031621,64.1605169000104,0.1144796998705715,3.0,2.5981288999319077,66.7940426999703,0.0024623998906463385,0.09762959997169673,72.81046189996414,72.97718102994841,6.2143085999414325,6.314252099953592,73.97714710002765,92.97702862995212,92.97716760006733,26.21432269993238,26.3142512999475,93.9938657998573,95.97728149988689,95.97728149988689,0.0144726000726223,0.11423259996809065,125.97703369986266,30.014175800140947,30.097444500075653,,,,,,,,,666,Gustatory,2024-09-19_16h50.40.160,Gustatory_Condition_v2,2022.2.5,30.022411736747223,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,126.09376319986768,0.03107629995793104,0.13081640005111694,132.11042509996332,6.01420439989306,132.21038649999537,132.21038649999537,0.014327499782666564,0.11430939985439181,space,4.80627919989638,137.07711190008558,137.07711190008558,5.220016464591026e-05,0.09785270015709102,num_9,1.7799516001250595,138.9105412300909,0.0023824998643249273,0.09785949997603893,139.22708430001512,139.69367512988393,139.99365000007674,140.51038973007817,140.82709049992263,140.89372999989428,148.8937367000617,148.8937367000617,148.8937459299108,0.014714699937030673,0.11448739981278777,149.89370630006306,150.89368560002185,151.09369649994187,151.59366989997216,10.014380199834704,159.01035150000826,3.7999823689460754e-05,159.01035150000826,0.09786159987561405,3.0,1.9824135000817478,161.02722360007465,0.002731099957600236,0.09765119990333915,167.04371630004607,167.2270105299307,6.231176899978891,6.330961399944499,168.2435902999714,187.21029183010106,187.2103329000529,26.214336299803108,26.31426509981975,188.22698329994455,190.22698329994455,190.22698329994455,1.95999164134264e-05,0.09762110002338886,220.22691480000503,30.030930999899283,,10.097676299978048,,,,,,,,666,Gustatory,2024-09-19_16h50.40.160,Gustatory_Condition_v2,2022.2.5,30.022411736747223,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,220.36037230002694,0.03158589988015592,0.13090049987658858,226.36024240008555,6.030864699743688,226.4602339998819,226.4602339998819,0.030968599719926715,0.13084789970889688,space,1.276553399860859,227.79359390004538,227.79359390004538,4.079984501004219e-05,0.09824849991127849,num_9,1.6081216000020504,229.44341942991596,0.0010973999742418528,0.09927899995818734,229.74365389999002,230.21014533003327,230.52688649995252,231.02694303004537,231.3436050999444,231.4103256999515,239.41025499999523,239.41025499999523,239.4102165300632,-0.0006673000752925873,0.09920529997907579,240.42689860006794,241.41022600000724,241.59345160005614,242.09373329998925,10.015896299853921,249.54335869988427,0.0027170998509973288,249.54335869988427,0.09935209969989955,3.0,6.630878900177777,256.21044809999876,0.003230300033465028,0.09826950007118285,262.1933945999481,262.4101429299684,6.23154959990643,6.331588299944997,263.4267939000856,282.3933951300336,282.39347040001303,26.214974300004542,26.314853499876335,283.3933468000032,285.4101457998622,285.4101457998622,0.0005785999819636345,0.09817990008741617,315.3932370999828,30.014643700094894,30.098090100102127,10.099223899887875,,,,,,,,666,Gustatory,2024-09-19_16h50.40.160,Gustatory_Condition_v2,2022.2.5,30.022411736747223,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,315.51006169989705,-0.0003836001269519329,0.09824069985188544,321.5099807998631,6.031429499853402,321.62668700003996,321.62668700003996,0.014832499902695417,0.11476269992999732,space,4.558356000110507,326.2434551999904,326.2434551999904,5.020014941692352e-05,0.09785230015404522,num_9,0.8860087001230568,327.1767056300072,0.0023333001881837845,0.09773350018076599,327.4764966000803,327.9598675300134,328.2766759998631,328.75992533003443,329.0768403999973,329.1601331999991,337.1600180999376,337.1600180999376,337.1599801298929,0.014477499993517995,0.11456770007498562,338.17664499999955,339.176861200016,339.3767905998975,339.87661510007456,10.03102060011588,347.29314269986935,0.016714500030502677,347.29314269986935,0.11429639998823404,3.0,6.8985619999002665,354.2268860999029,0.0026153000071644783,0.098035299917683,360.22659439989366,360.40986803008707,6.214476499939337,6.314452399965376,361.42662009992637,380.42653542987534,380.4266188000329,26.231214999919757,26.33103509992361,381.42645430006087,,383.4431626999285,0.01601739996112883,0.11436040000990033,413.4262526000384,30.014045000076294,30.09757410013117,,,,,,,,,666,Gustatory,2024-09-19_16h50.40.160,Gustatory_Condition_v2,2022.2.5,30.022411736747223,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,413.5264260999393,0.03111850004643202,0.13093069987371564,419.52639329992235,6.030969899846241,419.6430690998677,419.6430690998677,0.014241299824789166,0.11426109983585775,space,3.3894281999673694,423.0930810999125,423.0930810999125,4.509999416768551e-05,0.09808070003055036,num_9,1.0439844999928027,424.1930516299093,0.002244599862024188,0.09784179995767772,424.4930120999925,424.97629622996317,425.2763326000422,425.7762807300081,426.09303530002944,426.17636709986255,434.176365399966,434.176365399966,434.1763891300419,0.014762199949473143,0.11465179990045726,435.17629810003564,436.1930048998911,436.37639379990287,436.87660319986753,10.031285899924114,444.32632260001265,0.0341196998488158,444.32632260001265,0.13116589980199933,3.0,2.5647523999214172,446.9263831998687,0.0010517998598515987,0.09908650000579655,452.92628249991685,453.10956052991094,6.2157143000513315,6.315912900026888,454.1263240999542,473.1263739298796,473.12622239999473,26.199121800018474,26.29901219997555,474.1261831000447,476.12619520002045,476.12619520002045,0.0014661001041531563,0.09897900000214577,506.1261753998697,30.03231819998473,,,,,,,,,,666,Gustatory,2024-09-19_16h50.40.160,Gustatory_Condition_v2,2022.2.5,30.022411736747223,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.2429376998916,0.015788899967446923,0.11553049995563924,536.2594109000638,30.032167499884963,,,666,Gustatory,2024-09-19_16h50.40.160,Gustatory_Condition_v2,2022.2.5,30.022411736747223,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,536.3594032998662,0.03394629969261587,0.1321099998895079,542.3760440000333,6.015415599802509,542.4427054000553,542.4427054000553,0.015578899765387177,0.11555869970470667,space,9.37383980001323,551.8592489999719,551.8592489999719,4.419987089931965e-05,0.09806949994526803,num_9,0.598148199962452,552.4926758298883,0.0019576000049710274,0.09758160007186234,552.7925424999557,553.2759238299681,553.5925799999386,554.0758670300478,554.3759059000295,554.4760562998708,562.4759684000164,562.4759684000164,562.4759429299505,0.014157400000840425,0.11407630005851388,563.4925909999292,564.4926404999569,564.6759392998647,565.1759730998892,10.01038150000386,572.5758207000326,0.013918399810791016,572.5758207000326,0.11389729985967278,6.0,9.452338899951428,582.0761208999902,0.0038989000022411346,0.11444919998757541,588.0759167000651,588.2591722300043,6.214326099958271,6.314409099984914,589.2758430000395,608.258990430017,608.2591055000667,26.214307599933818,26.314307400025427,609.2758424999192,611.2758116000332,611.2758116000332,4.7900015488266945e-05,0.09758830000646412,641.2923347000033,30.014167200075462,,10.093662299914286,,,,,,,,666,Gustatory,2024-09-19_16h50.40.160,Gustatory_Condition_v2,2022.2.5,30.022411736747223,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,641.3923529000022,0.014956899918615818,0.11414889991283417,647.3925350999925,6.014209399931133,647.4923052000813,647.4923052000813,0.014416399877518415,0.11412189970724285,space,2.2766166999936104,649.8256481999997,649.8256481999997,3.069988451898098e-05,0.09856750001199543,num_9,0.5671099000610411,650.4258628298761,0.0019815999548882246,0.09752249997109175,650.7422950000037,651.2088645300595,651.5256022999529,652.0256529298844,652.3258857999463,652.408965999959,660.4089218999725,660.4089218999725,660.4089740300318,0.014276999980211258,0.11414750013500452,661.4256428000517,662.3921200998593,662.608913899865,663.1256085999776,10.01045579998754,670.5255227999296,0.0007507998961955309,670.5255227999296,0.09744989988394082,4.0,2.897740700049326,673.4591693000402,0.0015596000012010336,0.09944429993629456,679.4755742000416,679.6256448300322,6.2156843999400735,6.315746400039643,680.6254823000636,699.6589488300727,699.6593049999792,26.1991004999727,26.299307799898088,700.6755500000436,,702.6755679999478,0.017399000003933907,0.11575690004974604,732.6753376000561,30.015631699934602,,10.097390400012955,,,,,,,,666,Gustatory,2024-09-19_16h50.40.160,Gustatory_Condition_v2,2022.2.5,30.022411736747223,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,732.7753940999974,0.01628149999305606,0.11574099981226027,738.7753476998769,6.015564299887046,738.8753400000278,738.8753400000278,0.015609199879691005,0.11560839973390102,space,0.5737578000407666,739.5086743999273,739.5086743999273,3.9999838918447495e-05,0.09792279987595975,num_9,0.6605075001716614,740.2087535299128,0.0020269998349249363,0.09789129998534918,740.5255028000101,741.0087580298772,741.3254859999288,741.792031229916,,742.1920004999265,750.2086507999338,750.2086507999338,750.2086497300537,0.001119700027629733,0.09788369992747903,751.225310199894,752.2253731999081,752.4086376000196,752.9252178000752,10.014379600062966,760.3084819999058,9.699980728328228e-05,760.3084819999058,0.0976829999126494,4.0,1.6652762000449002,762.0089016999118,0.0024591998662799597,0.09791180002503097,767.9917629999109,768.1918998299865,6.21461210004054,6.314515999983996,769.191821299959,788.1917123300722,788.1918321999256,26.21443219995126,26.31461209990084,,791.2085422999226,791.2085422999226,9.769992902874947e-05,0.09785409993492067,821.2084087999538,30.031010099919513,,10.097809599945322,,,,,,,,666,Gustatory,2024-09-19_16h50.40.160,Gustatory_Condition_v2,2022.2.5,30.022411736747223,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,821.3417239999399,0.031656499952077866,0.13094830000773072,827.3584829000756,6.01429419987835,827.4250372999813,827.4250372999813,0.01437259977683425,0.11438099970109761,space,2.600479200016707,830.0917044999078,830.0917044999078,4.1400082409381866e-05,0.09800070011988282,num_9,0.5411378999706358,830.6917125300737,0.0024139999877661467,0.09803580003790557,830.9916511999909,831.4749512299662,831.7915749999229,832.2749548300402,832.5916482999455,832.6917308000848,840.6916789000388,840.6916789000388,840.6916797300568,0.0010367000941187143,0.09791949996724725,841.6915702999104,842.6919257999398,842.8915460999124,843.4083463000134,10.01472910004668,850.824893400073,0.033782599959522486,850.824893400073,0.13140029995702207,2.0,2.731803699862212,853.5918191999663,0.0015513000544160604,0.09942250000312924,859.5916399999987,859.7582647299627,6.1995397000573575,6.299414299894124,860.7749228999019,879.7581925298786,879.7581569000613,26.199351700022817,26.299424499971792,880.7750452999026,882.7750079000834,882.7750079000834,0.016220400109887123,0.11596049997024238,912.7914563999511,29.99919870006852,30.09929580008611,,,,,,,,,666,Gustatory,2024-09-19_16h50.40.160,Gustatory_Condition_v2,2022.2.5,30.022411736747223,
