loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,p_port_3.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,25.929938299534843,0.0005084001459181309,0.1095746997743845,26.34486379986629,26.628259499976412,27.044823999982327,27.044823999982327,0.026320399716496468,0.12688309978693724,42.02824789984152,15.00975409988314,15.093099699821323,42.14499879954383,42.14499879954383,0.027347199618816376,0.12644829973578453,space,3.7012145002372563,,,,,,,,,,,,,,,,,,9412,Visual,2024-08-20_18h34.31.971,Visual_Condition_v2,2022.2.5,30.020374840259986,
0,0,0,0,,,,,,,,,,,,,,,,,,,45.894986799918115,0.0013962001539766788,0.09838790027424693,51.91167709976435,6.014910500030965,52.06192209990695,0.05687890015542507,0.16517450008541346,6.031601500231773,58.061662199907005,58.12842189986259,0.03416359983384609,0.13167090015485883,1.0,7.565066199749708,,,9412,Visual,2024-08-20_18h34.31.971,Visual_Condition_v2,2022.2.5,30.020374840259986,
1,0,1,0,,,,,,,,,,,,,,,,,,,65.72841859981418,0.000559699721634388,0.09743319964036345,71.72828029980883,6.030681999865919,71.9783419999294,0.1104080998338759,0.24752619955688715,6.013942799530923,,77.94482379965484,0.016477099619805813,0.11389229958876967,1.0,3.7984333001077175,,,9412,Visual,2024-08-20_18h34.31.971,Visual_Condition_v2,2022.2.5,30.020374840259986,
2,0,2,0,,,,,,,,,,,,,,,,,,,81.77846849989146,0.0005413000471889973,0.097218899987638,87.77824229979888,6.030483799986541,87.92816469958052,0.04302809992805123,0.14714060025289655,6.013580500148237,93.91141239972785,93.99474429991096,0.014603400137275457,0.11360949976369739,0.0,1.333490100223571,,,9412,Visual,2024-08-20_18h34.31.971,Visual_Condition_v2,2022.2.5,30.020374840259986,
3,0,3,0,,,,,,,,,,,,,,,,,,,95.36162649979815,0.00024659978225827217,0.09922569990158081,101.36158789973706,5.999207799788564,101.47831009980291,0.014261699747294188,0.11608099984005094,6.015874399803579,107.47821339964867,107.57828569971025,0.018272699788212776,0.11601869948208332,0.0,3.632044699974358,6.099213399924338,,9412,Visual,2024-08-20_18h34.31.971,Visual_Condition_v2,2022.2.5,30.020374840259986,
4,0,4,0,,,,,,,,,,,,,,,,,,,111.24518109997734,0.00039769988507032394,0.0978569001890719,117.24501769989729,6.031217799987644,117.41139119956642,0.06581889977678657,0.16437589982524514,6.031002199742943,123.41155039984733,123.47814469970763,0.033772099763154984,0.13099229987710714,2.0,1.7982296999543905,,,9412,Visual,2024-08-20_18h34.31.971,Visual_Condition_v2,2022.2.5,30.020374840259986,
5,0,5,0,,,,,,,,,,,,,,,,,,,125.31169639993459,0.0003781002014875412,0.09815050009638071,131.3282169997692,6.014820400159806,131.47813119972125,0.06472120014950633,0.16493300022557378,6.0314202001318336,137.47827879991382,137.54486559983343,0.03440430015325546,0.13156680017709732,2.0,5.064578699879348,,,9412,Visual,2024-08-20_18h34.31.971,Visual_Condition_v2,2022.2.5,30.020374840259986,
6,0,6,0,,,,,,,,,,,,,,,,,,,142.64516159985214,0.0005139000713825226,0.09752719989046454,148.64481759956107,6.030879700090736,148.79471709998325,0.045889100059866905,0.14764849981293082,6.014037400018424,154.7947900998406,154.86135829985142,0.016950099729001522,0.11413519969210029,2.0,2.1648009000346065,,,9412,Visual,2024-08-20_18h34.31.971,Visual_Condition_v2,2022.2.5,30.020374840259986,
7,0,7,0,,,,,,,,,,,,,,,,,,,157.06161829968914,0.0004296000115573406,0.09750710008665919,163.0780834998004,6.014277200214565,163.1946714995429,0.032696499954909086,0.13085109973326325,6.030842300038785,169.19479759968817,169.2948081996292,0.033569099847227335,0.13082529976963997,1.0,1.0650312001816928,,,9412,Visual,2024-08-20_18h34.31.971,Visual_Condition_v2,2022.2.5,30.020374840259986,
8,0,8,0,,,,,,,,,,,,,,,,,,,170.39476489974186,0.0006768000312149525,0.09695359971374273,176.39482569973916,6.030367400031537,176.56138979969546,0.0666431998834014,0.1635812995955348,6.0302010998129845,182.561567499768,182.6279852995649,0.03284349991008639,0.13043589983135462,2.0,3.4650205997750163,,,9412,Visual,2024-08-20_18h34.31.971,Visual_Condition_v2,2022.2.5,30.020374840259986,
