loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,p_port_3.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,24.075501880189403,0.000614499906077981,0.1233776998706162,24.507083700038493,24.77385957997758,25.190708100097254,25.190708100097254,0.02332279970869422,0.12312899972312152,40.17376279993914,15.006374399876222,15.089638499775901,40.290555600076914,40.290555600076914,0.023744599660858512,0.12323609972372651,space,2.6646390999667346,,,,,,,,,,,,,,,,,,9565,Visual,2024-08-14_18h25.02.105,Visual_Condition_v2,2022.2.5,29.950602454365892,
0,0,0,0,,,,,,,,,,,,,,,,,,,42.990568600129336,0.0014310998376458883,0.09820619993843138,49.00742690009065,6.015066799940541,49.19057080009952,0.09599759988486767,0.1984724998474121,6.03150639985688,55.19050760008395,55.223659000126645,0.03427039971575141,0.13187789963558316,0.0,2.1982170999981463,,,9565,Visual,2024-08-14_18h25.02.105,Visual_Condition_v2,2022.2.5,29.950602454365892,
1,0,1,0,,,,,,,,,,,,,,,,,,,57.457362700020894,0.00046929996460676193,0.09726599999703467,63.47385230008513,6.013714799890295,63.65705900010653,0.093716099858284,0.1970535998698324,6.030377199873328,69.64031750010327,69.6737433001399,0.01531649986281991,0.11364279966801405,2.0,2.766101400135085,,,9565,Visual,2024-08-14_18h25.02.105,Visual_Condition_v2,2022.2.5,29.950602454365892,
2,0,2,0,,,,,,,,,,,,,,,,,,,72.47408770001493,0.00022829999215900898,0.09905239986255765,78.49060659995303,6.015732199884951,78.60705849993974,0.03022419987246394,0.1324895997531712,5.9990639998577535,84.60708230012096,84.67378950002603,0.0010682996362447739,0.09905959968455136,4.0,1.8655326999723911,6.099119899794459,,9565,Visual,2024-08-14_18h25.02.105,Visual_Condition_v2,2022.2.5,29.950602454365892,
3,0,3,0,,,,,,,,,,,,,,,,,,,86.57380599994212,0.0005314000882208347,0.0974012000951916,92.59058129996993,6.014009000035003,92.70691790012643,0.040652900002896786,0.13069749996066093,6.030660500051454,98.70726289995946,98.80701850005426,0.033400499960407615,0.13061969983391464,2.0,2.398325700080022,,,9565,Visual,2024-08-14_18h25.02.105,Visual_Condition_v2,2022.2.5,29.950602454365892,
4,0,4,0,,,,,,,,,,,,,,,,,,,101.24059629999101,0.00022620009258389473,0.09921459993347526,107.2570855000522,6.015747600002214,107.44044260005467,0.09762759995646775,0.19904639991000295,5.9992155998479575,113.44040770013817,113.44040770013817,0.002159199910238385,0.09903129981830716,0.0,2.131175799993798,6.099034799961373,,9565,Visual,2024-08-14_18h25.02.105,Visual_Condition_v2,2022.2.5,29.950602454365892,
5,0,5,0,,,,,,,,,,,,,,,,,,,115.60731999995187,0.0002460000105202198,0.09911700012162328,121.62367999996059,6.015695200068876,121.74028669996187,0.030704999808222055,0.13237089989706874,5.999011499807239,127.74036519997753,127.8070233000908,0.0023936997167766094,0.09911909978836775,2.0,2.264420799911022,6.099108999827877,,9565,Visual,2024-08-14_18h25.02.105,Visual_Condition_v2,2022.2.5,29.950602454365892,
6,0,6,0,,,,,,,,,,,,,,,,,,,130.10726860002615,0.0005636001005768776,0.09691680013202131,136.09018820011988,6.01335270004347,136.22364849993028,0.014499099925160408,0.11353489989414811,6.013611800037324,142.2236639999319,142.32373850001022,0.016606099903583527,0.11353319976478815,1.0,1.6314081000164151,,6.096973600098863,9565,Visual,2024-08-14_18h25.02.105,Visual_Condition_v2,2022.2.5,29.950602454365892,
7,0,7,0,,,,,,,,,,,,,,,,,,,143.9904763000086,0.0002607000060379505,0.09883150015957654,149.97347690002061,6.015165799995884,150.12358439993113,0.025708199944347143,0.13204100006259978,6.0319459000602365,156.1236399000045,156.20702770003118,0.016063799848780036,0.11555929994210601,0.0,0.9668163999449462,,6.0986279000062495,9565,Visual,2024-08-14_18h25.02.105,Visual_Condition_v2,2022.2.5,29.950602454365892,
8,0,8,0,,,,,,,,,,,,,,,,,,,157.20723040006123,0.00043640006333589554,0.09737890004180372,163.20692949998192,6.030621099984273,163.34016459994018,0.03953539999201894,0.1306463999208063,6.030619399854913,169.34026580001228,169.44024859997444,0.033233999740332365,0.130475299898535,0.0,1.6315266999881715,,,9565,Visual,2024-08-14_18h25.02.105,Visual_Condition_v2,2022.2.5,29.950602454365892,
