Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_2.started,taste_sound_3.started,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,spit_sound.stopped,Finish_rinse.stopped,taste_sound_1.stopped,p_port_18.stopped,taste_sound_2.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,taste_sound_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,1714.4328655000008,0.011993999998594518,0.1117257999976573,6.015349299997979,1720.4364524000011,1720.5364702000006,1720.5364702000006,0.015428099997734535,0.11532829999850946,space,2.653757099998984,1723.2365876000003,1723.2365876000003,2.0199999198666774e-05,0.11587619999954768,num_9,1.9458286999979464,1725.2031364200016,0.000630000000455766,0.11591779999980645,1725.9995133200014,1726.7864689200019,1727.1994372000008,1735.2197861000004,1735.2197861000004,1735.2030459200018,0.0003637999998318264,0.11587789999975939,1737.2196581000007,1737.3827119000016,1737.8827384000015,9.999143000000913,1745.3160166000016,0.013202799998907722,1745.3160166000016,0.11217670000041835,6.0,1.1871018999991065,1746.553087100001,0.0010888999986491399,0.11587619999954768,1752.5529758000011,1752.7326460200006,6.215796599999521,6.315728799998396,,1772.7361006200013,1772.7362055000012,26.215729899999133,26.315653899999234,1775.7527664000008,1775.7527664000008,-0.00038160000076459255,0.11563469999782683,1805.7526014000014,30.015354799998022,,1773.7527757000007,,,,,,,,,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,1805.8489574000014,0.012106399997719564,0.11179339999762306,6.01536269999815,1811.8525029000011,1811.9525347000017,1811.9525347000017,0.015377499998066924,0.1283646999982011,space,2.80543409999882,1814.7858013000005,1814.7858013000005,1.4600000213249587e-05,0.09942190000037954,num_9,3.18020709999837,1817.9858205200003,0.0006336000005831011,0.11231609999958891,1818.7692181200005,1819.5691984200007,1819.9691227000003,1827.9821247,1827.9821247,1827.982165920001,0.012239200001204154,0.11586090000128024,1829.9858576000006,1830.1691608,1830.669082100001,10.012178000000858,1838.1190846000009,0.01694619999943825,1838.1190846000009,0.1491874999992433,7.0,2.3331928999996308,1840.4857235,0.0016104000005725538,0.1154354999998759,1846.485599900001,1846.6689732200016,6.215468500000497,6.311884900000223,,1866.6688892200004,1866.6688127000016,26.215290600001026,26.31543469999997,1869.6855680000008,1869.6855680000008,-0.0004585999995470047,0.11524569999892265,1899.6853076000007,30.015209799999866,,1867.6854930000009,1818.3024956000008,,,,,,,,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,1899.7853218,0.015329399999245652,0.115142199998445,6.015022399998998,1905.7852532000015,1905.8852701000014,1905.8852701000014,0.015102799998203409,0.1280946999995649,space,1.040502399997422,1906.9686114000015,1906.9686114000015,1.5400000847876072e-05,0.11594420000074024,num_9,2.3652643999994325,1909.3519747200012,0.0009508000002824701,0.11584050000055868,1910.1482712200018,1910.9482833200004,1911.3519433000001,,1919.3649024000006,1919.364871620001,0.012943499999892083,0.11213920000045619,1921.3685317,1921.5351245000002,1922.035274400001,9.99900770000022,1929.4685258000009,4.079999962414149e-05,1929.4685258000009,0.12871420000010403,3.0,3.150105499998972,1932.651759100001,0.0011981999996351078,0.11586659999920812,1938.6516619000013,1938.83146772,6.212199899999177,6.3158475999989605,,1958.8312443200016,1958.8313076000013,26.21206489999895,26.312004100000195,1961.8312234000005,1961.8312234000005,0.011986799998339848,0.11557189999803086,1991.8347099000002,30.0154722999996,1920.3815847000005,,,10.099033200000122,1910.4650936000016,,,,,,1911.2650163000017,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991.9514176000012,0.015614899997672183,0.12845829999787384,2021.9511914000013,30.015288299999156,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,2022.0511687000017,0.015822199999092845,0.11525349999828904,6.015174599997408,2028.051101500001,2028.1474819000014,2028.1474819000014,0.011627699997916352,0.11162069999772939,space,1.6501331999988906,2029.8142254000013,2029.8142254000013,1.5999999959603883e-05,0.1027005999985704,num_9,2.1593324999976176,2032.0010861200012,0.0006807999998272862,0.11580059999869263,2032.7844425200005,2033.6011174200016,2033.9974434000014,2042.0177516000003,2042.0177516000003,2042.0010929200002,0.00016729999879316892,0.11569049999889103,2044.0177901000006,2044.2011761000012,2044.7141680000004,10.0120081999994,2052.134454700001,0.016493099999934202,2052.134454700001,0.149084299999231,4.0,3.1335495000002993,2055.3010142000003,0.0010892999998759478,0.11572010000054433,2061.3175599000006,2061.467682520001,6.199060000000827,6.312153999999282,2062.4842850000005,2081.48053492,2081.4806145000002,26.21207770000001,26.31557210000028,2084.5008666000012,2084.5008666000012,9.999999747378752e-06,0.12864919999992708,2114.5172495000006,30.03211989999909,,,,,,,,,,,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,2114.5970311,0.011933199999475619,0.1117140999995172,6.011728199999197,2120.596925400001,2120.7005773,2120.7005773,0.01187019999815675,0.11530179999863321,space,2.256873899999846,2123.0005739000007,2123.0005739000007,1.779999911377672e-05,0.11592000000018743,num_9,2.060601699999097,2125.083982220002,0.0006358999999065418,0.11593850000099337,2125.8803493200016,2126.6671550200012,2127.06718,2135.0838459000006,2135.0838459000006,2135.0671013200013,0.015902799999821582,0.11580549999962386,2137.0837484000003,2137.2838137000017,2137.7837564,10.012248099999852,2145.200458700001,0.012821599999369937,2145.200458700001,0.1325101000002178,2.0,1.4205576999993355,2146.6672082000005,0.0010754000013548648,0.11592340000061085,2152.6671835000016,2152.8467540200004,6.212188000001333,6.315789600001153,,2172.833747520001,2172.8335792000016,26.199058300000615,26.299058000000514,2175.8335117000006,2175.8669028000004,0.03238989999954356,0.1490654999997787,2205.8666642000007,30.015478899998925,2136.0837873,2173.846531000001,,,,,,,,,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,2205.9667623000005,0.01574339999933727,0.12865400000009686,6.011797600000136,2211.9796730000016,2212.066637600001,2212.066637600001,0.015598799998770119,0.11550589999933436,space,2.1709992999985843,2214.2834101000008,2214.2834101000008,1.8300001102034003e-05,0.12897789999988163,num_9,2.1465344999978697,2216.4499001200006,0.0009600000012142118,0.11578759999974864,2217.2463800200007,2218.0332704200014,2218.433209500001,2226.4500075000014,2226.4500075000014,2226.433272820001,0.015976399999999558,0.128880800000843,2228.462881200001,2228.6332718000012,2229.1331359000014,9.999083300001075,2236.546159700001,0.01211929999954009,2236.546159700001,0.11578179999924032,6.0,2.9535235000003013,2239.5498271000015,0.0014283999989856966,0.11586429999988468,2245.549723100001,2245.716392320001,6.199164799998471,6.312134899999364,,2265.732933420001,2265.7329468000007,26.21568279999883,26.315653799998472,2268.7496925000014,2268.7496925000014,-0.00024820000180625357,0.12866499999836378,2298.762459400001,30.011860599997817,2227.4463461000014,2266.749572300001,,10.095504400000209,,,,,,,2218.3498918000005,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,2298.849390200001,0.015831699998670956,0.11549449999802164,6.015403999997943,2304.8493712,2304.945739500001,2304.945739500001,0.011806499996964703,0.11543609999716864,space,2.25186279999798,2307.2493965000012,2307.2493965000012,2.3999999029911123e-05,0.11597249999977066,num_9,2.0766058999979577,2309.3493292200005,0.0007215000005089678,0.12897619999966992,2310.132689120001,2310.9458105200015,2311.3326297000003,2319.349344,2319.349344,2319.3326652200017,0.015952800000377465,0.1158476000000519,2321.3492540000007,2321.5325557000015,2322.0325875000017,9.999119599999176,2329.4659622,0.00012239999887242448,2329.4659622,0.1288753999997425,2.0,2.816767299998901,2332.3159189000016,0.0014211999987310264,0.11552119999942079,2338.3158119,2338.49553882,6.21181279999837,6.31190129999959,2339.5123114000016,2358.49903062,2358.4990179000015,26.215329999999085,26.328353399998377,2361.5157560000007,2361.5157560000007,-0.0004498000016610604,0.11531439999816939,2391.5286050000013,30.011481799998364,,,,10.099180799999885,,,,,,,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,2391.6119024,0.01175139999759267,0.11514959999840357,6.0114262999977655,2397.6117891000013,2397.7154391000004,2397.7154391000004,0.015128799997910392,0.11505009999746107,space,2.546065999998973,2400.2784576000013,2400.2784576000013,1.630000042496249e-05,0.10309020000022429,num_9,1.6954388999984076,2401.9988467200005,0.0005823999999847729,0.11573109999881126,2402.7952168200013,2403.5821548200006,2403.9820901000003,2411.995157900001,2411.995157900001,2411.995087220001,0.01213619999907678,0.11573319999843079,2413.9950176,2414.1986701000005,2414.6986481000004,10.011962399999902,2422.1321365000003,0.0165101999991748,2422.1321365000003,0.14895959999921615,6.0,2.5002831000001606,2424.665298600001,0.0015479999983654125,0.11586979999992764,2430.6652555,2430.8485287200006,6.215599699999075,6.315597199998592,2431.865241700001,2450.84486942,2450.844789500001,26.211871399998927,26.315509299998666,2453.865237,2453.865237,-0.00022120000176073518,0.11553539999840723,2483.8779187,30.011640599997918,2413.0117293000003,2451.861475200001,,,2403.115459800001,,,,,,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2483.9649269,0.011788899997554836,0.11532429999897431,2513.9647014,30.01506419999896,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
