loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,connecting_message.started,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.93000839999877,18.029959080030675,0.0008228000369854271,0.09888560004765168,18.613251680030952,18.917178600037005,19.213199580018408,19.51335459999973,19.829945080028846,20.14662120002322,20.14662120002322,0.0018264000536873937,0.09920700005022809,40.163257600041106,20.015875000040978,40.26332480000565,0.015947200066875666,0.11591230006888509,40.71325670002261,space,3.162906399986241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667,Moral,2024-02-12_11h19.38.780,MoralCondition_v2,2022.2.5,29.957250999903362,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,43.91343410004629,0.0016614999622106552,0.09794710000278428,49.91321870003594,6.031242900004145,50.146681100013666,50.146681100013666,0.09753819997422397,0.2315954000223428,6.031348799995612,56.22994660004042,56.22994660004042,56.22994660004042,0.08973110001534224,0.2146305000060238,61.93005460000131,62.09690300002694,68.09654930001125,12.014584499993362,68.22991470003035,68.22991470003035,0.01479110005311668,0.11471510003320873,up,2.2549223999958485,70.52991070004646,4.529999569058418e-05,0.0975598999648355,76.54647910001222,76.54647910001222,76.54647910001222,0.012922299967613071,0.1143138000043109,5.0,7.752308399998583,,,,,,,,,,,,,,667,Moral,2024-02-12_11h19.38.780,MoralCondition_v2,2022.2.5,29.957250999903362,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.34661070001312,84.34661070001312,0.010782699973788112,0.11407349997898564,5.0,3.004243100003805,,,,,,,,,,,,,,667,Moral,2024-02-12_11h19.38.780,MoralCondition_v2,2022.2.5,29.957250999903362,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.37985030002892,87.37985030002892,0.006923899985849857,0.09923110000090674,5.0,0.6934446000377648,,,,,,,,,,,,,,667,Moral,2024-02-12_11h19.38.780,MoralCondition_v2,2022.2.5,29.957250999903362,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.11336050002137,88.11336050002137,0.008197200018912554,0.09924080001655966,5.0,0.39202149998163804,,,,,,,,,,,,,,667,Moral,2024-02-12_11h19.38.780,MoralCondition_v2,2022.2.5,29.957250999903362,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.56333760003326,88.56333760003326,0.00970900000538677,0.1142087000189349,5.0,0.43878590001259,,,,,,,,,,,,,,667,Moral,2024-02-12_11h19.38.780,MoralCondition_v2,2022.2.5,29.957250999903362,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.04669310001191,89.04669310001191,0.00980509998043999,0.11434889998054132,5.0,0.5056170999887399,,,,,,,,,,,,,,667,Moral,2024-02-12_11h19.38.780,MoralCondition_v2,2022.2.5,29.957250999903362,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.57978790003108,89.57978790003108,0.008564800024032593,0.09913650003727525,5.0,0.4917097000288777,,,,,,,,,,,,,,667,Moral,2024-02-12_11h19.38.780,MoralCondition_v2,2022.2.5,29.957250999903362,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.11347520002164,90.11347520002164,0.0013079000054858625,0.09832200000528246,6.0,4.931786699977238,,,,,,,,667,Moral,2024-02-12_11h19.38.780,MoralCondition_v2,2022.2.5,29.957250999903362,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,95.08014570001978,0.0002484999713487923,0.0976525999722071,101.07979080005316,6.030947399965953,101.29660400003195,101.29660400003195,0.09806579997530207,0.21428409998770803,6.014351400022861,107.36322230001679,107.36322230001679,107.36322230001679,0.07886680000228807,0.18103530001826584,113.06307900004322,113.26323480001884,119.2632900000317,12.014457100012805,119.39647790003801,119.39647790003801,0.014559000032022595,0.1142593000549823,up,0.5681172999902628,120.02976780000608,5.0099974032491446e-05,0.09796679997816682,,126.04638700000942,126.04638700000942,0.024934699991717935,0.11472669994691387,5.0,2.6906224999693222,,,,,,,119.36325170000782,119.36325170000782,,,,,,667,Moral,2024-02-12_11h19.38.780,MoralCondition_v2,2022.2.5,29.957250999903362,
