loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_10.stopped,Instructions_Affinity_Score.stopped,p_port_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.142548250732943,0.0008366000838577747,0.10366160003468394,14.45840339967981,14.724823789903894,15.024887399747968,15.325280089629814,15.624961499590427,15.924849689705297,16.258289999794215,0.005166700109839439,0.10389750031754375,31.275008799973875,15.020314500201494,31.358353599905968,0.003771000076085329,0.10363620007410645,31.825007599778473,space,5.807703000027686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.14171179989353,129.14171179989353,0.007712500169873238,0.09901890018954873,4.0,1.2924794000573456,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.47478939965367,130.47478939965367,0.00752729969099164,0.09786149999126792,4.0,1.4913444998674095,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.00827339990065,132.00827339990065,0.007024399936199188,0.09835570026189089,4.0,2.825559699907899,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.8749450999312,134.8749450999312,0.007041200064122677,0.09933159966021776,4.0,0.826708999928087,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.74171799980104,135.74171799980104,0.006835899781435728,0.09938079956918955,4.0,1.126947000157088,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.908492999617,136.908492999617,0.006525800097733736,0.09916740003973246,4.0,0.8937052004039288,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.84180049970746,137.84180049970746,0.0013644001446664333,0.09761440008878708,4.0,2.364261799957603,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,140.2418782999739,0.00025189993903040886,0.09793499996885657,146.25836469978094,6.014344499912113,146.42518379958346,146.42518379958346,0.07117170002311468,0.18108579982072115,6.014399299863726,152.50837089959532,152.50837089959532,152.50837089959532,0.06802470004186034,0.16468890011310577,158.2085027997382,158.44151179958135,6.030851199757308,6.131029500160366,164.44162339996547,12.031018499750644,164.57534449966624,164.57534449966624,0.03135629976168275,0.13102509966120124,down,2.0339291002601385,166.67499779956415,4.110019654035568e-05,0.09803110035136342,172.7085760999471,172.7085760999471,0.025747000239789486,0.13140680035576224,6.0,11.906783199869096,,,,,,,152.42495929962024,152.42495929962024,,164.50843379972503,164.50843379972503,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.65836829971522,184.65836829971522,0.009049999993294477,0.11432769987732172,6.0,1.0727694001980126,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.77539249975234,185.77539249975234,0.007953400257974863,0.11442170012742281,6.0,0.7741258000023663,,,,,,,,,,,,,,,3684,Moral,2025-02-18_13h28.55.428,MoralCondition_v2,2022.2.5,29.936749627740127,
