loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,p_port_10.stopped,p_port_6.stopped,player_image_intro.stopped,player_name_intro.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.5102788999211,121.5102788999211,0.007297499803826213,0.11404259991832078,2.0,1.574243700131774,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.1267987000756,123.1267987000756,0.01153470017015934,0.11430400004610419,5.0,1.503860400058329,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.65993599989451,124.65993599989451,0.007894900161772966,0.09765670006163418,6.0,1.3577903001569211,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.07665510009974,126.07665510009974,0.008323300164192915,0.11444130004383624,7.0,1.6406396999955177,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.74333440000191,127.74333440000191,0.006734199821949005,0.09920649998821318,2.0,2.0602082000114024,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.84308260004036,129.84308260004036,0.008747899904847145,0.09758979990147054,4.0,2.0898925000801682,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.9765546999406,131.9765546999406,0.0013788999058306217,0.09728359989821911,2.0,7.063726600026712,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,139.07680699997582,0.0003746000584214926,0.09794220002368093,145.07651320006698,6.01430350006558,145.30986999999732,145.30986999999732,0.12616189988330007,0.2311792999971658,6.031182700069621,151.37663799989969,151.37663799989969,151.37663799989969,0.08971019997261465,0.19817209988832474,157.0766024000477,157.27658939990215,6.031135299941525,6.131262899842113,163.27660409989767,12.031180599937215,163.4098815000616,163.4098815000616,0.03136299969628453,0.13109319983050227,up,1.920308800181374,165.3562060999684,2.869986928999424e-05,0.08207839983515441,,171.3931446999777,171.3931446999777,0.011921599972993135,0.11758630000986159,1.0,2.8398841000162065,,,,,,,163.37653049989603,163.37653049989603,,6.097740600118414,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.26017679995857,174.26017679995857,0.007017500000074506,0.09931159997358918,3.0,2.526466100011021,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.82620969996788,176.82620969996788,0.007176700048148632,0.09783460013568401,4.0,1.8917658999562263,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.75995690003037,178.75995690003037,0.006866500014439225,0.09900969988666475,1.0,2.0598301000427455,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.85968369990587,180.85968369990587,0.006770600099116564,0.09891220019198954,3.0,4.259921099990606,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.176654699957,185.176654699957,0.007374899927526712,0.11474910005927086,4.0,1.8082880000583827,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.00963580003008,187.00963580003008,0.008438500110059977,0.09742569993250072,4.0,2.423206399893388,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.47662140009925,189.47662140009925,0.001604699995368719,0.09766939980909228,6.0,7.43056679982692,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,196.94340909994207,0.00029729981906712055,0.09710649983026087,202.9598387000151,6.013910999987274,203.1266616000794,203.1266616000794,0.06814199988730252,0.18073979974724352,6.013733699917793,209.2097924000118,209.2097924000118,209.2097924000118,0.06461079977452755,0.16372329974547029,214.9098233000841,215.14315290004015,6.03050549980253,6.130414799787104,221.1431251000613,12.030423199757934,221.27647899999283,221.27647899999283,0.03056779969483614,0.13041689968667924,up,0.5093048000708222,221.8431402000133,6.620003841817379e-05,0.098097899928689,,227.87649599998258,227.87649599998258,0.025958700105547905,0.1312917999457568,1.0,1.8731841000262648,,,,,,,221.20977990003303,221.20977990003303,,,209.12650940008461,209.12650940008461,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.77639560005628,229.77639560005628,0.007508500013500452,0.09776800009422004,3.0,2.0580511998850852,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.89302999991924,231.89302999991924,0.008264300180599093,0.11467900010757148,5.0,1.6408529998734593,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.5597447999753,233.5597447999753,0.007606599945574999,0.09766430011950433,6.0,1.1909256998915225,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.80994149995968,234.80994149995968,0.008048800053074956,0.11434800014831126,4.0,3.3071167999878526,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.14326919987798,238.14326919987798,0.008541200077161193,0.09781330008991063,3.0,4.724152100039646,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
