loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,p_port_6.stopped,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,Instructions_Affinity_Score.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.23379017964471,0.0010952999582514167,0.11198569997213781,17.813622170081363,18.113765400019474,18.414146469975822,18.713892100029625,19.01366837003734,19.347032300080173,0.014492499991320074,0.1119173999177292,34.36370420001913,15.02847959997598,34.44706849998329,0.011882200022228062,0.11191710003186017,34.91383840003982,space,0.9959328999975696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.61346200003754,131.61346200003754,0.009894600021652877,0.09906469995621592,2.0,1.7906544000143185,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.44674879999366,133.44674879999366,0.007001599995419383,0.0992541000014171,1.0,1.5599043000256643,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0467067999998,135.0467067999998,0.007251499919220805,0.09818049997556955,5.0,2.0588277999777347,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.1469791000709,137.1469791000709,0.006402499973773956,0.09767469996586442,2.0,2.292260800022632,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.4970526000252,139.4970526000252,0.009326500003226101,0.11395679996348917,1.0,2.0056497999466956,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.53038470004685,141.53038470004685,0.006580800050869584,0.09889100003056228,7.0,1.6269206000724807,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.19693400000688,143.19693400000688,0.0007205000147223473,0.0990742000285536,7.0,3.69953710003756,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,146.93056730006356,0.0001373999984934926,0.09926619997713715,152.94694900000468,6.015750200022012,,153.18017940002028,153.18017940002028,0.1403934999834746,0.2491133000003174,6.015736400033347,159.21332910005003,159.21332910005003,159.21332910005003,0.07464910007547587,0.1823140000924468,164.91336360003334,165.11339980002958,6.015711500076577,6.1156973000615835,171.11332050000783,12.015632200054824,171.24674870003946,171.24674870003946,0.01577790011651814,0.11563370004296303,up,0.518248200067319,171.8301277999999,2.989999484270811e-05,0.09945669991429895,177.8633961000014,177.8633961000014,0.026703899959102273,0.13263209990691394,2.0,2.7737975999480113,,,,,,,,,171.19649790006224,171.19649790006224,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.68005190009717,180.68005190009717,0.009767199982888997,0.11488329991698265,1.0,2.0060374999884516,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.71346860006452,182.71346860006452,0.006857899948954582,0.09838350000791252,1.0,0.9926116999704391,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
