loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,Instructions_Affinity_Score.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,18.72815228207037,0.00084279989823699,0.11165580013766885,19.04338790010661,19.32655363995582,19.62654670001939,19.92646553972736,20.22686449997127,20.526524039916694,20.85987319983542,20.85987319983542,0.014045400079339743,0.1117878002114594,35.87662719981745,15.028428200166672,35.97664349991828,0.028553399723023176,0.12843829998746514,36.44331819983199,space,1.0853030001744628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7461,Moral,2025-02-19_18h17.11.472,MoralCondition_v2,2022.2.5,29.959530664746445,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,37.576595100108534,0.0034755002707242966,0.09830760024487972,43.576632599812,6.031696599908173,43.79353020014241,43.79353020014241,0.07903969986364245,0.21506959991529584,6.01501729991287,49.87675729999319,49.87675729999319,49.87675729999319,0.07155549991875887,0.19855140009894967,55.57678199978545,55.77665069978684,6.0317448996938765,6.1316939000971615,61.77664089994505,12.03169360011816,61.87669669976458,61.87669669976458,61.910050000064075,61.910050000064075,0.031984000001102686,0.13194819958880544,up,1.3295779000036418,63.29329659976065,4.479987546801567e-05,0.09768759971484542,69.32653639977798,69.32653639977798,0.02778849983587861,0.1311172996647656,2.0,9.687770100310445,,,,,,,,,,,,,7461,Moral,2025-02-19_18h17.11.472,MoralCondition_v2,2022.2.5,29.959530664746445,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.04335850011557,79.04335850011557,0.009117899928241968,0.09884889982640743,1.0,2.8906793002970517,,,,,,,,,,,,,7461,Moral,2025-02-19_18h17.11.472,MoralCondition_v2,2022.2.5,29.959530664746445,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.99342199973762,81.99342199973762,0.00976039981469512,0.11391369998455048,2.0,2.638248300179839,,,,,,,,,,,,,7461,Moral,2025-02-19_18h17.11.472,MoralCondition_v2,2022.2.5,29.959530664746445,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.65993779990822,84.65993779990822,0.00812210002914071,0.09919549990445375,4.0,3.492009799927473,,,,,,,,,,,,,7461,Moral,2025-02-19_18h17.11.472,MoralCondition_v2,2022.2.5,29.959530664746445,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.2100085997954,88.2100085997954,0.01107789995148778,0.11407539993524551,3.0,3.037447900045663,,,,,,,,,,,,,7461,Moral,2025-02-19_18h17.11.472,MoralCondition_v2,2022.2.5,29.959530664746445,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.29350219992921,91.29350219992921,0.009726499672979116,0.11437019985169172,1.0,2.339067100081593,,,,,,,,,,,,,7461,Moral,2025-02-19_18h17.11.472,MoralCondition_v2,2022.2.5,29.959530664746445,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.65987889980897,93.65987889980897,0.008514299988746643,0.09911939967423677,2.0,3.624977099709213,,,,,,,,,,,,,7461,Moral,2025-02-19_18h17.11.472,MoralCondition_v2,2022.2.5,29.959530664746445,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.32682320009917,97.32682320009917,0.001362099777907133,0.0990315000526607,6.0,4.898828600067645,,,,,,,7461,Moral,2025-02-19_18h17.11.472,MoralCondition_v2,2022.2.5,29.959530664746445,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,102.26018999982625,0.000471699982881546,0.0970316999591887,108.27667629998177,6.013699200004339,108.44331349991262,108.44331349991262,0.07032519998028874,0.18056209990754724,6.01370480004698,114.5268725999631,114.5268725999631,114.5268725999631,0.06287240004166961,0.1638527000322938,120.22668810002506,120.46000229986385,6.030407499987632,6.130389200057834,126.46010599983856,12.030579899903387,126.52674209978431,126.52674209978431,126.59334049979225,126.59334049979225,0.03053590003401041,0.13043059967458248,up,0.9983324999921024,127.64325369987637,4.7099776566028595e-05,0.11460469989106059,133.67695780005306,133.67695780005306,0.024883799720555544,0.13132109958678484,3.0,3.074026799760759,,,,,,,114.42641049996018,114.42641049996018,,,,,7461,Moral,2025-02-19_18h17.11.472,MoralCondition_v2,2022.2.5,29.959530664746445,
