loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.580411699484102,0.002488899976015091,0.1082882999908179,18.17586820999859,18.49247870000545,18.792538510018495,19.10918839997612,19.3758776100236,19.709155300050043,19.709155300050043,0.04171430005226284,0.14179070002865046,34.70901520003099,15.024867999949493,34.80907399998978,0.008137500029988587,0.12513840000610799,35.29248709999956,space,0.6995129000861198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.60913839994464,154.60913839994464,0.0068885000655427575,0.09928970003966242,1.0,2.126732400036417,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.77594129997306,156.77594129997306,0.006989199900999665,0.09920779999811202,5.0,2.428811800084077,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.24272189999465,159.24272189999465,0.005985199939459562,0.09829659992828965,1.0,3.0602682000026107,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.342731700046,162.342731700046,0.007577999960631132,0.0978878999594599,4.0,2.291217799996957,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.6757998999674,164.6757998999674,0.007738899905234575,0.09747379994951189,4.0,1.5242039998993278,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.2593126000138,166.2593126000138,0.008431200054474175,0.11397639999631792,5.0,7.106384699931368,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.39264470001217,173.39264470001217,0.0013640000252053142,0.0971522000618279,4.0,12.730348699958995,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,186.15928499994334,0.00017559994012117386,0.0980356999207288,192.1759880000027,6.014887299970724,192.3259987999918,192.3259987999918,0.06304289994295686,0.16516360000241548,6.031517999945208,198.44274820003193,198.44274820003193,198.44274820003193,0.0853734000120312,0.1816373000619933,204.14289559994359,204.34265939996112,6.01498239999637,6.114878899999894,210.34293749998324,12.015184700023383,210.47604640002828,210.47604640002828,0.015196599997580051,0.11490270006470382,up,0.763815600075759,211.27599869994447,3.600004129111767e-05,0.0978017000015825,217.27592679997906,217.27592679997906,217.27592679997906,0.007349200081080198,0.09783840004820377,5.0,2.7581655000103638,,,,,,,198.32606039999519,198.32606039999519,210.44267699995544,210.44267699995544,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.07588849996682,220.07588849996682,0.007201400003395975,0.09931050008162856,5.0,1.426312300027348,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.55935250001494,221.55935250001494,0.008123099920339882,0.11458329996094108,1.0,3.2091696000425145,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
