loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,23.147087918967006,0.000665600411593914,0.10194890014827251,23.829963229922576,24.24655589973554,24.24655589973554,0.018683200236409903,0.11889080004766583,39.24671439966187,15.018875200301409,39.36341359978542,39.36341359978542,0.0024488000199198723,0.10217329999431968,space,10.101760100573301,,,,,,,,,,,,,,,,,,8770,Visual,2024-10-03_16h47.49.072,Visual_Condition_v2,2022.2.5,30.011923747739694,
0,0,0,0,,,,,,,,,,,,,,,,,49.49661999987438,0.00841189967468381,0.0959974997676909,55.5135764000006,6.0127125000581145,55.64664389984682,0.03753359988331795,0.14623849978670478,6.012640499975532,61.64671659981832,61.71325829997659,0.015445599798113108,0.1128072994761169,3.0,2.764744999818504,,,8770,Visual,2024-10-03_16h47.49.072,Visual_Condition_v2,2022.2.5,30.011923747739694,
1,0,1,0,,,,,,,,,,,,,,,,,64.51365979993716,0.0004904996603727341,0.09740639990195632,70.53003929974511,6.0140706999227405,70.64672069996595,0.031414199620485306,0.1308816997334361,6.030688599683344,76.64672979991883,76.74664120003581,0.03339739982038736,0.13059689942747355,0.0,1.5983318001963198,,,8770,Visual,2024-10-03_16h47.49.072,Visual_Condition_v2,2022.2.5,30.011923747739694,
2,0,2,0,,,,,,,,,,,,,,,,,78.38009869959205,0.0004962999373674393,0.09708889992907643,84.39674079976976,6.013733600266278,84.51327360002324,0.03992799995467067,0.13053830014541745,6.030417200177908,90.5134014999494,90.61328319972381,0.033104400150477886,0.13059379998594522,2.0,3.8984107999131083,,,8770,Visual,2024-10-03_16h47.49.072,Visual_Condition_v2,2022.2.5,30.011923747739694,
3,0,3,0,,,,,,,,,,,,,,,,,94.54679099982604,0.0002621002495288849,0.09897080017253757,100.56338259996846,6.015629900153726,100.69678109977394,0.04758649971336126,0.14933299971744418,6.015596699900925,106.6967086000368,106.7633628998883,0.018459999933838844,0.11555479979142547,2.0,2.56480470020324,,,8770,Visual,2024-10-03_16h47.49.072,Visual_Condition_v2,2022.2.5,30.011923747739694,
4,0,4,0,,,,,,,,,,,,,,,,,109.36368669988587,0.00022300006821751595,0.0990323000587523,115.38003390002996,6.015656199771911,115.52997519960627,0.06697869952768087,0.16590929962694645,6.032347499858588,121.53008499974385,121.59669749997556,0.035097899846732616,0.13216219982132316,3.0,2.6647868999280035,,,8770,Visual,2024-10-03_16h47.49.072,Visual_Condition_v2,2022.2.5,30.011923747739694,
5,0,5,0,,,,,,,,,,,,,,,,,124.2970099998638,0.0006834003143012524,0.09721369994804263,130.31344069959596,6.013874500058591,130.56373929977417,0.1376179000362754,0.263911799993366,6.030697700101882,,136.53001570003107,0.033672799821943045,0.13069650018587708,2.0,3.697906599845737,,,8770,Visual,2024-10-03_16h47.49.072,Visual_Condition_v2,2022.2.5,30.011923747739694,
6,0,6,0,,,,,,,,,,,,,,,,,140.26325389975682,0.0006761001423001289,0.09708740003407001,146.28009089967236,6.013776599895209,146.3967269998975,0.03674970008432865,0.1304270001128316,6.0303898002021015,152.39670739974827,152.4799762996845,0.01478490000590682,0.11371179996058345,0.0,1.2331322999671102,,,8770,Visual,2024-10-03_16h47.49.072,Visual_Condition_v2,2022.2.5,30.011923747739694,
7,0,7,0,,,,,,,,,,,,,,,,,153.74707709997892,0.0005222000181674957,0.09734680037945509,159.76342429965734,6.014003199990839,159.8966291998513,0.042296700179576874,0.14731559995561838,6.013931000139564,165.89671489968896,165.96341719990596,0.01565810013562441,0.11385850002989173,0.0,1.6994666000828147,,,8770,Visual,2024-10-03_16h47.49.072,Visual_Condition_v2,2022.2.5,30.011923747739694,
8,0,8,0,,,,,,,,,,,,,,,,,167.69675299990922,0.00037999963387846947,0.09770859964191914,173.69676639977843,6.031121499836445,173.83017579978332,0.030941799748688936,0.1311776996590197,6.0310247996822,179.83011179976165,179.9301056000404,0.03233109973371029,0.13110499968752265,3.0,2.2663890002295375,,,8770,Visual,2024-10-03_16h47.49.072,Visual_Condition_v2,2022.2.5,30.011923747739694,
