loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_6.stopped,p_port_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.959559896960855,0.0007773004472255707,0.11016909964382648,21.276344500482082,21.55974489133805,21.876407301053405,22.17656219061464,22.49304860085249,22.759752691350876,23.07636170089245,23.07636170089245,0.006443900987505913,0.09338640049099922,38.076303601264954,15.009970501065254,38.193245301023126,0.010285401716828346,0.10994020104408264,38.67641110159457,space,0.8212596997618675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3874,Moral,2024-07-15_19h12.18.384,MoralCondition_v2,2022.2.5,29.911515783642187,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,39.54308570176363,0.0015491005033254623,0.09843190014362335,45.55976300127804,6.015053300186992,45.826327200978994,45.826327200978994,0.14429590106010437,0.2818504013121128,6.015075501054525,51.859727300703526,51.859727300703526,51.859727300703526,0.08158470131456852,0.2150965016335249,57.55970340035856,57.726386500522494,6.0151017010211945,6.115041201934218,63.72633490152657,12.01504660025239,63.85969169996679,63.85969169996679,0.01534310169517994,0.11497490108013153,up,2.789189198985696,66.69300550036132,5.169957876205444e-05,0.0975859984755516,72.70965570025146,72.70965570025146,72.70965570025146,0.019154999405145645,0.11430429853498936,5.0,5.012813400477171,,,,,,,,,,,,,3874,Moral,2024-07-15_19h12.18.384,MoralCondition_v2,2022.2.5,29.911515783642187,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.77638600021601,77.77638600021601,0.011651100590825081,0.11586660146713257,3.0,3.471723699942231,,,,,,,,,,,,,3874,Moral,2024-07-15_19h12.18.384,MoralCondition_v2,2022.2.5,29.911515783642187,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.29326940141618,81.29326940141618,0.011285200715065002,0.11419190093874931,2.0,2.8707311004400253,,,,,,,,,,,,,3874,Moral,2024-07-15_19h12.18.384,MoralCondition_v2,2022.2.5,29.911515783642187,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.20981760136783,84.20981760136783,0.009633101522922516,0.11431620083749294,1.0,2.705802299082279,,,,,,,,,,,,,3874,Moral,2024-07-15_19h12.18.384,MoralCondition_v2,2022.2.5,29.911515783642187,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.94306930154562,86.94306930154562,0.01164339855313301,0.0990022998303175,3.0,5.25507939979434,,,,,,,,,,,,,3874,Moral,2024-07-15_19h12.18.384,MoralCondition_v2,2022.2.5,29.911515783642187,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.25984279997647,92.25984279997647,0.009392200037837029,0.1143978014588356,4.0,5.706147100776434,,,,,,,,,,,,,3874,Moral,2024-07-15_19h12.18.384,MoralCondition_v2,2022.2.5,29.911515783642187,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.00963260047138,98.00963260047138,0.008752100169658661,0.11463069915771484,3.0,2.2405930999666452,,,,,,,,,,,,,3874,Moral,2024-07-15_19h12.18.384,MoralCondition_v2,2022.2.5,29.911515783642187,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.27635370008647,100.27635370008647,0.0013410001993179321,0.0977207999676466,2.0,5.1309737004339695,,,,,,,3874,Moral,2024-07-15_19h12.18.384,MoralCondition_v2,2022.2.5,29.911515783642187,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,105.4431482013315,0.0002661999315023422,0.09787319973111153,111.4594360999763,6.014736399054527,111.62616800144315,111.62616800144315,0.07681839913129807,0.18146139942109585,6.014530500397086,117.72634480148554,117.72634480148554,117.72634480148554,0.07849990017712116,0.18145469948649406,123.42626920156181,123.62621180154383,6.014541400596499,6.114622900262475,129.62618880160153,12.014516800642014,129.7595320008695,129.7595320008695,0.014784300699830055,0.11461289972066879,up,1.5133433993905783,131.3095117006451,2.540089190006256e-05,0.09881780110299587,,137.3260599002242,137.3260599002242,0.024567000567913055,0.1152453999966383,2.0,2.558620300143957,,,,,,,117.62621440179646,117.62621440179646,129.72623920068145,129.72623920068145,,,3874,Moral,2024-07-15_19h12.18.384,MoralCondition_v2,2022.2.5,29.911515783642187,
