loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,p_port_6.stopped,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,p_port_10.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,Instructions_Affinity_Score.stopped,player_image_intro.stopped,player_name_intro.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.266952600097284,0.000820899847894907,0.10471719992347062,19.848718259879387,20.165423800004646,20.448771859914995,20.765395499998704,21.0653999598464,21.382295300019905,21.382295300019905,0.0016000999603420496,0.10490849986672401,36.36511989985593,15.004594399826601,15.08794999984093,36.448572099907324,0.0047128996811807156,0.10112489969469607,36.93198879994452,space,1.2449080001097172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8768,Moral,2025-01-30_16h25.07.627,MoralCondition_v2,2022.2.5,29.962843091842064,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,38.21515229996294,0.0005204000044614077,0.09950720006600022,44.215396399842575,5.999958999920636,6.099625200033188,44.498531399993226,44.498531399993226,0.15141739998944104,0.2830925998277962,6.016382599947974,50.532066100044176,50.532066100044176,50.532066100044176,0.08202589978463948,0.2162997997365892,56.23196569993161,56.39863489987329,6.016413899837062,6.116396699799225,62.41551129985601,11.999657199718058,12.099716999800876,62.548658499959856,62.548658499959856,0.03326279972679913,0.13307629968039691,up,1.0361242000944912,63.64853170001879,4.440010525286198e-05,0.09777250001206994,69.68197989999317,69.68197989999317,0.026993400184437633,0.131180000025779,5.0,3.6053051999770105,,,,,,,,,,,,8768,Moral,2025-01-30_16h25.07.627,MoralCondition_v2,2022.2.5,29.962843091842064,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.31522680004127,73.31522680004127,0.010050100041553378,0.09829379990696907,6.0,2.289605800062418,,,,,,,,,,,,8768,Moral,2025-01-30_16h25.07.627,MoralCondition_v2,2022.2.5,29.962843091842064,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.64872189983726,75.64872189983726,0.008850899990648031,0.09924879996106029,5.0,1.924752000020817,,,,,,,,,,,,8768,Moral,2025-01-30_16h25.07.627,MoralCondition_v2,2022.2.5,29.962843091842064,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.63219040003605,77.63219040003605,0.00921420007944107,0.11577440006658435,5.0,27.84103239979595,,,,,,,,,,,,8768,Moral,2025-01-30_16h25.07.627,MoralCondition_v2,2022.2.5,29.962843091842064,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.49840039992705,105.49840039992705,0.008236800087615848,0.09942290000617504,5.0,8.425282899988815,,,,,,,,,,,,8768,Moral,2025-01-30_16h25.07.627,MoralCondition_v2,2022.2.5,29.962843091842064,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.98208409990184,113.98208409990184,0.011189799988642335,0.11472489987500012,5.0,40.10433269990608,,,,,,,,,,,,8768,Moral,2025-01-30_16h25.07.627,MoralCondition_v2,2022.2.5,29.962843091842064,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.13182300003245,154.13182300003245,0.019400800112634897,0.1143698999658227,3.0,6.496054399991408,,,,,,,,,,,,8768,Moral,2025-01-30_16h25.07.627,MoralCondition_v2,2022.2.5,29.962843091842064,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.66498270002194,160.66498270002194,0.0011356999166309834,0.09768830006942153,6.0,5.0646067999769,,,,,,8768,Moral,2025-01-30_16h25.07.627,MoralCondition_v2,2022.2.5,29.962843091842064,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,165.76510529988445,0.00023259990848600864,0.098017199896276,171.78177620004863,6.014612699858844,,172.0150452000089,172.0150452000089,0.1451436998322606,0.2479127999395132,6.014605199918151,178.0486322999932,178.0486322999932,178.0486322999932,0.07144919969141483,0.18129969970323145,183.74858599994332,183.94836869998835,6.014631299767643,6.114486099686474,189.94844369986095,12.014692499767989,,190.08187019987963,190.08187019987963,0.014816499780863523,0.11480589979328215,down,0.7030877000652254,190.84853249997832,5.259993486106396e-05,0.09752080007456243,196.86497789993882,196.86497789993882,0.010109000140801072,0.11442490015178919,5.0,2.271928400034085,,,,,,,190.04838519985788,190.04838519985788,196.86497789993882,,,8768,Moral,2025-01-30_16h25.07.627,MoralCondition_v2,2022.2.5,29.962843091842064,
