loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,p_port_6.started,fixation_cross.stopped,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,p_port_10.started,accept_reject.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,95.70656477995216,0.0008278004825115204,0.1392097007483244,96.30560476072132,96.6224020011723,96.90570156015455,97.22217980027199,97.50559456013143,97.83925080113113,97.83925080113113,0.002933001145720482,0.13923120126128197,15.005543399602175,112.83879530057311,112.93885010108352,0.005892200395464897,0.12218750081956387,113.40544640086591,space,2.8970829993486404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,Moral,2024-06-10_11h33.07.282,MoralCondition_v2,2022.2.5,59.99160139121011,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,116.40552029944956,0.027184899896383286,0.1700947005301714,6.003334000706673,122.40546249970794,122.60574380122125,122.60574380122125,0.11782880127429962,0.28701320104300976,6.020141100510955,128.65569370053709,128.65569370053709,128.65569370053709,0.08184230141341686,0.23673480190336704,134.38912670128047,134.55576870031655,6.003587301820517,6.136940501630306,12.00366430170834,140.58908089995384,140.65576200000942,140.65576200000942,0.00383630208671093,0.13692700117826462,up,0.5975669007748365,141.30582090094686,4.830025136470795e-05,0.13096260093152523,147.33906120061874,147.33906120061874,0.028975700959563255,0.16429400071501732,4.0,4.3862725999206305,,,,,,,666,Moral,2024-06-10_11h33.07.282,MoralCondition_v2,2022.2.5,59.99160139121011,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.75578179955482,151.75578179955482,0.008582400158047676,0.13251510076224804,4.0,1.0917945988476276,,,,,,,666,Moral,2024-06-10_11h33.07.282,MoralCondition_v2,2022.2.5,59.99160139121011,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.8893091008067,152.8893091008067,0.00834919884800911,0.13233060017228127,4.0,0.4251940995454788,,,,,,,666,Moral,2024-06-10_11h33.07.282,MoralCondition_v2,2022.2.5,59.99160139121011,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.37257520109415,153.37257520109415,0.010712800547480583,0.14827820099890232,4.0,0.3719628006219864,,,,,,,666,Moral,2024-06-10_11h33.07.282,MoralCondition_v2,2022.2.5,59.99160139121011,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.78920620121062,153.78920620121062,0.00928569957613945,0.14828559942543507,4.0,0.4065878000110388,,,,,,,666,Moral,2024-06-10_11h33.07.282,MoralCondition_v2,2022.2.5,59.99160139121011,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.2225388996303,154.2225388996303,0.00927090086042881,0.13090379908680916,4.0,0.38955429941415787,,,,,,,666,Moral,2024-06-10_11h33.07.282,MoralCondition_v2,2022.2.5,59.99160139121011,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.6726617999375,154.6726617999375,0.010906999930739403,0.1483664009720087,4.0,0.5049441996961832,,,,,,,666,Moral,2024-06-10_11h33.07.282,MoralCondition_v2,2022.2.5,59.99160139121011,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.20571899972856,155.20571899972856,0.0012592989951372147,0.13107229955494404,4.0,3.097756501287222,666,Moral,2024-06-10_11h33.07.282,MoralCondition_v2,2022.2.5,59.99160139121011,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.3391169011593,0.00026510097086429596,0.13121489994227886,6.030950101092458,164.372534500435,164.57261710055172,164.57261710055172,0.1280640009790659,0.2642887011170387,6.031091900542378,170.63929259963334,170.63929259963334,170.63929259963334,0.08727820217609406,0.23119530081748962,176.3725141994655,176.5391017012298,6.030960701406002,6.164334701374173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
