loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,p_port_6.stopped,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,p_port_8.stopped,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,p_port_10.stopped,player_image_intro.stopped,player_name_intro.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,25.062485321052375,0.0008463999256491661,0.11194489989429712,25.659314389992506,25.975722699891776,26.259155190270395,26.55935180000961,26.84249319015071,27.159042300190777,27.159042300190777,0.02878979966044426,0.12895659962669015,42.17597540002316,15.012246599886566,42.27576840016991,0.012355999555438757,0.11221309984102845,42.74250590009615,space,7.459664799738675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.94275780022144,185.94275780022144,0.006805300246924162,0.09906980022788048,1.0,4.6610901998355985,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.64239350007847,190.64239350007847,0.007471899967640638,0.098097899928689,5.0,4.524782699998468,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.2260448001325,195.2260448001325,0.008785000070929527,0.11456359969452024,7.0,2.940488399937749,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.2094538002275,198.2094538002275,0.008852199651300907,0.11371849989518523,3.0,4.38914560014382,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.62573469989002,202.62573469989002,0.005697400309145451,0.09936780016869307,2.0,2.5116194002330303,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.17581439996138,205.17581439996138,0.007307599764317274,0.09750070003792644,5.0,4.991076000034809,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.20924900006503,210.20924900006503,0.0007608998566865921,0.09888359997421503,3.0,5.199453900102526,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,215.4427797999233,0.00013619987294077873,0.09916159976273775,221.4423438999802,6.015687000006437,6.099000100046396,221.70899310009554,221.70899310009554,0.14791679987683892,0.26596869993954897,5.999152899719775,6.099109099712223,227.74245489994064,227.74245489994064,227.74245489994064,0.09517719969153404,0.19926329981535673,233.4423638000153,233.6091474001296,5.999182699713856,6.099069899413735,239.60912419995293,11.999139699619263,239.74245240027085,239.74245240027085,7.099471986293793e-06,0.0991122997365892,up,0.8883397998288274,240.69243390019983,3.7400051951408386e-05,0.09811370028182864,246.70907460013404,246.70907460013404,246.70907460013404,0.00913539994508028,0.1146619999781251,2.0,8.30666089989245,,,,,,,239.74245240027085,239.74245240027085,12.099063199479133,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.04220120003447,255.04220120003447,0.006649199873209,0.09887149976566434,2.0,5.726812300272286,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.80918039986864,260.80918039986864,0.007150300312787294,0.09792480012401938,3.0,4.258375599980354,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
