loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,p_port_7.stopped,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,22.05864007109776,0.0006033999379724264,0.11260719993151724,22.773957230011,23.19061619997956,23.19061619997956,0.015293599804863334,0.11255069985054433,38.19075160007924,15.012681699823588,38.29062939994037,38.29062939994037,0.012753599788993597,0.11255279975011945,space,8.425542399985716,,,,,,,,,,,,,,,,,,7152,Visual,2024-08-16_13h18.28.664,Visual_Condition_v2,2022.2.5,30.034503641772133,
0,0,0,0,,,,,,,,,,,,,,,,,46.75716569996439,0.01337020006030798,0.0985190998762846,52.75712010008283,6.015109499916434,6.09843480004929,52.89072780008428,0.027361799962818623,0.13203009986318648,58.89062099996954,6.031865399796516,58.990497400052845,0.03448319970630109,0.13191069988533854,0.0,2.8149734002072364,,7152,Visual,2024-08-16_13h18.28.664,Visual_Condition_v2,2022.2.5,30.034503641772133,
1,0,1,0,,,,,,,,,,,,,,,,,61.84085729997605,0.0005262000486254692,0.09699840005487204,67.85727429995313,6.0137285001110286,,67.99057250004262,0.041158200008794665,0.14721899991855025,73.97389720007777,6.013605899875984,74.0738157001324,0.03283009980805218,0.13016829988919199,1.0,2.665154099930078,,7152,Visual,2024-08-16_13h18.28.664,Visual_Condition_v2,2022.2.5,30.034503641772133,
2,0,2,0,,,,,,,,,,,,,,,,,76.77416260004975,0.0005083000287413597,0.09724110015667975,82.79059510002844,6.013889300171286,,82.90726809995249,0.02909000008367002,0.1306872998829931,88.90727800014429,6.030560199869797,89.00733290007338,0.03328269999474287,0.13050829991698265,0.0,1.7316493999678642,,7152,Visual,2024-08-16_13h18.28.664,Visual_Condition_v2,2022.2.5,30.034503641772133,
3,0,3,0,,,,,,,,,,,,,,,,,90.77400450012647,0.00022909999825060368,0.09896810003556311,96.79062300012447,6.015641100006178,,96.907166399993,0.04100509989075363,0.13231829972937703,102.90740530006588,5.999203499872237,102.97400350007229,0.001999099738895893,0.09920539963059127,2.0,3.4312791998963803,6.0989230999257416,7152,Visual,2024-08-16_13h18.28.664,Visual_Condition_v2,2022.2.5,30.034503641772133,
4,0,4,0,,,,,,,,,,,,,,,,,106.4410032001324,0.0005384001415222883,0.09728899993933737,112.44069860014133,6.030785500071943,,112.5910418999847,0.04727949993684888,0.14784669992513955,118.59059040015563,6.013984399847686,118.65713720000349,0.01477429992519319,0.11384339979849756,1.0,1.599992600036785,,7152,Visual,2024-08-16_13h18.28.664,Visual_Condition_v2,2022.2.5,30.034503641772133,
5,0,5,0,,,,,,,,,,,,,,,,,120.29093300015666,0.0006156000308692455,0.09759450005367398,126.29064300004393,6.031225699931383,,126.44057780015282,0.056148899951949716,0.14775949995964766,132.4406455999706,6.014281699899584,132.50720750004984,0.017065799795091152,0.11418769974261522,1.0,2.0981268999166787,,7152,Visual,2024-08-16_13h18.28.664,Visual_Condition_v2,2022.2.5,30.034503641772133,
6,0,6,0,,,,,,,,,,,,,,,,,134.64063520007767,0.0008094999939203262,0.09698139992542565,140.65729230013676,6.013674000045285,,140.9241935000755,0.1480886999052018,0.2803501000162214,,6.013683999888599,146.8572315000929,0.01676719984970987,0.11378559982404113,1.0,1.5315113000106066,,7152,Visual,2024-08-16_13h18.28.664,Visual_Condition_v2,2022.2.5,30.034503641772133,
7,0,7,0,,,,,,,,,,,,,,,,,148.4241764000617,0.0003307999577373266,0.09820819995366037,154.44071590015665,6.014687799848616,,154.55726690008305,0.03121729986742139,0.13168349978514016,160.5573128000833,6.031357399886474,160.6572742999997,0.032149499747902155,0.13135099969804287,0.0,1.600243000080809,,7152,Visual,2024-08-16_13h18.28.664,Visual_Condition_v2,2022.2.5,30.034503641772133,
8,0,8,0,,,,,,,,,,,,,,,,,162.29099679994397,0.00024429988116025925,0.09909049980342388,168.30737009993754,6.015788999851793,,168.42409650003538,0.03082899982109666,0.13241859967820346,174.40713800000958,5.999074999708682,174.49048799998127,0.0016444995999336243,0.09914289973676205,0.0,1.4317111000418663,6.098976099863648,7152,Visual,2024-08-16_13h18.28.664,Visual_Condition_v2,2022.2.5,30.034503641772133,
