loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,p_port_6.stopped,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.777454510331154,0.0008017998188734055,0.12169579975306988,15.08996729971841,15.373324729967862,15.673365599941462,15.990510729607195,16.290012799669057,16.57338482979685,16.906678299885243,16.906678299885243,0.005681399721652269,0.10495639964938164,31.906737099867314,15.004851199686527,32.00685239955783,0.005891799461096525,0.10494099976494908,32.4733699997887,space,2.903314500115812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,35.42339469958097,0.0015807999297976494,0.09854569984599948,41.44005209999159,6.015108000021428,41.67330209957436,41.67330209957436,0.11706209974363446,0.24842559965327382,6.015277199912816,47.740020299796015,47.740020299796015,47.740020299796015,0.07857049955055118,0.2151765995658934,53.44034989969805,53.60668529989198,6.015147699508816,6.115237899590284,59.606794899795204,12.015269299503416,59.739944599568844,59.739944599568844,0.015279199462383986,0.11489669978618622,up,3.2206707997247577,63.02332039969042,7.910002022981644e-05,0.09762510005384684,69.0567843997851,69.0567843997851,69.0567843997851,0.019040099810808897,0.13107179990038276,4.0,9.29618339985609,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.37320899963379,78.37320899963379,0.009338600095361471,0.09781419998034835,4.0,5.4895399999804795,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.92328599980101,83.92328599980101,0.009001100435853004,0.11514430027455091,4.0,2.5749118998646736,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.54034939967096,86.54034939967096,0.01074279984459281,0.11411339975893497,4.0,2.270930899772793,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.8567779995501,88.8567779995501,0.009928800165653229,0.11501990025863051,1.0,5.70611170027405,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.60694439988583,94.60694439988583,0.010981499683111906,0.11470249993726611,6.0,8.104853300377727,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.75661669997498,102.75661669997498,0.016974099911749363,0.11580089991912246,1.0,3.4668411002494395,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.25664519984275,106.25664519984275,0.0015205000527203083,0.09811459993943572,6.0,10.831126200035214,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,117.12341019976884,0.0003195996396243572,0.09747569961473346,123.12311719963327,6.014088599942625,123.28987689968199,123.28987689968199,0.05819939961656928,0.16440359968692064,6.030793099664152,129.42299719993025,129.42299719993025,129.42299719993025,0.09013989940285683,0.19738339958712459,135.1231901999563,135.323221499566,6.030796999577433,6.130883599631488,141.32310069957748,12.030582499690354,141.42290559969842,141.42290559969842,0.013842399697750807,0.0971880997531116,up,2.464852800127119,143.9400736996904,3.439979627728462e-05,0.09827629989013076,149.94007249968126,149.94007249968126,149.94007249968126,0.007375100161880255,0.09808060014620423,2.0,4.125000400003046,,,,,,,6.097333399578929,129.2898884997703,129.2898884997703,141.40629669977352,141.40629669977352,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.1065689995885,154.1065689995885,0.00782809965312481,0.09914489975199103,2.0,1.5255277999676764,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.6731235999614,155.6731235999614,0.0071518998593091965,0.09815259976312518,2.0,3.525674400385469,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.25642039999366,159.25642039999366,0.014458900317549706,0.11485480004921556,2.0,1.968017399776727,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.27368619991466,161.27368619991466,0.008977599907666445,0.11416380014270544,1.0,2.639288299717009,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.93983689974993,163.93983689974993,0.0076627000235021114,0.09798649977892637,2.0,3.0911340001039207,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.08995869988576,167.08995869988576,0.011657900176942348,0.11433540005236864,1.0,1.93714559962973,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.05641109962016,169.05641109962016,0.0013602999970316887,0.09829390002414584,6.0,5.098046799656004,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,174.19012159993872,0.0003483002074062824,0.09773980034515262,180.20645639998838,6.01404369994998,180.406574299559,180.406574299559,0.10547350021079183,0.21417149994522333,6.01403299998492,186.45640869997442,186.45640869997442,186.45640869997442,0.06382070016115904,0.16402179980650544,192.15643649967387,192.38980859983712,6.03075909987092,6.130663900170475,198.38968889974058,12.030559599865228,198.5231186999008,198.5231186999008,0.030831099953502417,0.1306757996790111,down,1.6529923998750746,200.22312589967623,4.829978570342064e-05,0.09804969979450107,206.22300259955227,206.22300259955227,206.22300259955227,0.009175700135529041,0.09773649973794818,5.0,6.489829400088638,,,,,,,,,,198.4564006999135,198.4564006999135,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.75652639986947,212.75652639986947,0.006892799865454435,0.0991996000520885,2.0,3.293324700091034,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.08992169983685,216.08992169983685,0.008316099643707275,0.09943149983882904,4.0,4.491943700239062,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.62305469997227,220.62305469997227,0.00837939977645874,0.09786029998213053,5.0,5.257315000053495,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.9230688996613,225.9230688996613,0.006947699934244156,0.09914409974589944,5.0,4.493131600320339,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.45627169962972,230.45627169962972,0.008778700139373541,0.09919470036402345,5.0,2.6580655998550355,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.17293659970164,233.17293659970164,0.010170800145715475,0.11449210019782186,1.0,4.338674100115895,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.5397809999995,237.5397809999995,0.001468299888074398,0.09722879994660616,2.0,6.13041380001232,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,243.70652659982443,0.00017460016533732414,0.09862940013408661,249.70623959973454,6.031889700330794,249.8900054995902,249.8900054995902,0.07325370004400611,0.18230530014261603,6.015165300108492,255.98942339979112,255.98942339979112,255.98942339979112,0.07891289982944727,0.1817470001988113,261.68972819997,261.8895884999074,6.015243399888277,6.1151979002170265,267.8895847997628,12.015236800070852,268.02293069986627,268.02293069986627,0.015420599840581417,0.11507009994238615,up,2.713384000118822,270.7729178997688,3.8700178265571594e-05,0.09791970020160079,,276.79001149954274,276.79001149954274,0.025440600235015154,0.11459180014207959,3.0,4.956908599939197,,,,,,,,255.8896338995546,255.8896338995546,267.9895918997936,267.9895918997936,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.78959969989955,281.78959969989955,0.007513400167226791,0.09868629975244403,2.0,2.5256856000050902,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.35642379987985,284.35642379987985,0.0072246999479830265,0.09756929986178875,4.0,2.6248025000095367,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.0398843996227,287.0398843996227,0.007988899946212769,0.11451150011271238,1.0,2.0075869001448154,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.0894829998724,289.0894829998724,0.008594700135290623,0.11477749980986118,6.0,3.9072692999616265,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.0229944996536,293.0229944996536,0.007489199750125408,0.09744699997827411,3.0,3.3579116999171674,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.422845099587,296.422845099587,0.007261099759489298,0.09945710003376007,3.0,2.5596516001969576,,,,,,,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.02290099998936,299.02290099998936,0.000696900300681591,0.09858100023120642,7.0,7.699112500064075,,,,,,,,8755,Moral,2025-02-19_13h33.32.448,MoralCondition_v2,2022.2.5,30.00936591406689,
