loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,p_port_6.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_10.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,25.748082299920497,0.0008720000041648746,0.11346490000141785,26.07846819999395,26.345153519994348,26.94506672000862,27.245070600009058,27.545102419966135,27.895393799990416,0.014314699976239353,0.13038370001595467,42.89518729998963,15.030221300025005,42.99515649996465,0.03027840005233884,0.1301960000419058,43.44520909996936,space,1.2341704000136815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,44.74513669998851,0.006916299986187369,0.0987023999914527,50.76178619998973,6.015600099985022,51.145163999986835,51.145163999986835,0.23940960003528744,0.39867340005002916,6.031999800004996,57.078624599962495,57.078624599962495,57.078624599962495,0.09393030003411695,0.2321285000653006,62.77850449999096,62.94516459997976,6.032050500041805,6.132030300039332,68.94507949997205,12.031915400060825,69.0785272999783,69.0785272999783,0.03214640007354319,0.13199160009389743,up,1.9448061999864876,71.078614500002,4.379998426884413e-05,0.09564640000462532,77.09492969996063,77.09492969996063,77.09492969996063,0.005731399985961616,0.11231220001354814,3.0,3.92445269995369,,,,,,,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.06185249995906,81.06185249995906,0.010530099971219897,0.11586580000584945,2.0,2.6395460999920033,,,,,,,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7455242999713,83.7455242999713,0.011172400030773133,0.11449670000001788,5.0,4.404136200028006,,,,,,,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.19522910000524,88.19522910000524,0.017454100016038865,0.11426830000709742,3.0,2.79797710001003,,,,,,,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.04504180001095,91.04504180001095,0.011449199984781444,0.11439800000516698,3.0,2.336918799963314,,,,,,,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.4288838999928,93.4288838999928,0.010343800007831305,0.11416110000573099,2.0,1.6384653000277467,,,,,,,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.09507019998273,95.09507019998273,0.011148099962156266,0.09741469996515661,6.0,3.9538323000306264,,,,,,,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.09529550001025,99.09529550001025,0.0010309000499546528,0.09876250004163012,7.0,5.365299500001129,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,104.49555709998822,0.0002685999497771263,0.09771469997940585,110.49511039996287,6.014192999980878,110.77834249997977,110.77834249997977,0.1562559999874793,0.28097710001748055,6.014252800028771,116.79526459996123,116.79526459996123,116.79526459996123,0.09239000000525266,0.1977218000101857,122.49518649996025,122.69517500000075,6.030976000009105,6.131054099998437,128.6952040999895,12.03100350004388,128.82850669999607,128.82850669999607,0.031186000036541373,0.130915800051298,down,0.5620527000282891,129.42855730000883,4.2199972085654736e-05,0.09767569997347891,135.44506599998567,135.44506599998567,135.44506599998567,0.009294899995438755,0.11421640001935884,5.0,3.3394780000089668,,,,,,,6.09759269998176,128.79520509997383,128.79520509997383,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
