loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,12.077235849923454,0.0005824000108987093,0.12883409997448325,12.49268739996478,12.759417649940588,13.192971399985254,13.192971399985254,0.008937499951571226,0.11220619990490377,28.192937100073323,15.012221599929035,28.292820200091228,28.292820200091228,0.012199099874123931,0.11222239979542792,space,2.9923034999519587,,,,,,,,,,,,,,,,666,Visual,2024-09-18_14h22.38.751,Visual_Condition_v2,2022.2.5,30.00559305718916,
0,0,0,0,,,,,,,,,,,,,,,,,,31.35945319989696,0.015355300158262253,0.11547880014404655,37.376086599892005,6.032169100129977,37.50929660000838,0.047903900034725666,0.1655785001348704,6.032197100110352,43.50946380011737,43.576024499954656,0.03320419997908175,0.13201589998789132,2.0,1.9998107999563217,666,Visual,2024-09-18_14h22.38.751,Visual_Condition_v2,2022.2.5,30.00559305718916,
1,0,1,0,,,,,,,,,,,,,,,,,,45.6097186000552,0.0004192998167127371,0.09809520002454519,51.60943119996227,6.0314690000377595,51.74261810001917,0.03732869983650744,0.1313857997301966,6.03144869976677,57.74270709999837,57.825942900031805,0.017054599709808826,0.11485079978592694,1.0,2.865434799809009,666,Visual,2024-09-18_14h22.38.751,Visual_Condition_v2,2022.2.5,30.00559305718916,
,,,,,,,,,,,,,,,,,,,,,60.72614199994132,0.0005417999345809221,0.09871239983476698,66.72620670008473,6.0322169999126345,66.87606459995732,0.04635149985551834,0.14870199980214238,6.015402799705043,72.8760709001217,72.94266039994545,0.01781879970803857,0.1152964998036623,,,,,,,,,
