Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_5.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,20.022898000315763,0.000521400012075901,0.09173240000382066,20.289762199972756,20.539596959983463,20.805885300040245,21.041639460052828,21.32267620007042,0.02893699996639043,0.12522429996170104,15.008512099971995,36.33945750002749,36.40624859998934,0.013120400020852685,0.10861720005050302,42.42305209999904,6.025344700086862,42.53947030007839,42.53947030007839,0.025348500115796924,0.14185780007392168,space,8.146525299991481,50.739614599966444,50.739614599966444,9.200000204145908e-05,0.09762250003404915,num_9,3.1307152999797836,53.9061750599998,0.0019042000640183687,0.09744090004824102,54.2060644000303,54.68948715998558,54.98948360001668,55.50611886001425,55.80601060006302,55.88949400000274,63.889494900009595,63.889494900009595,63.889657760073895,0.01420880004297942,0.11411570000927895,64.92284740007017,65.90644080005586,66.0726329999743,66.58949569996912,10.01449940004386,74.02268579998054,0.0165551999816671,74.02268579998054,0.11421690008137375,3.0,3.865400500013493,77.92309709999245,0.0019387999782338738,0.0989316999912262,83.92278330004774,84.08945185997291,6.199140799930319,6.299124000011943,85.08939370000735,104.10612196001458,104.10628010006621,26.2159238999011,26.31586609990336,105.1060262999963,107.10615410003811,107.10615410003811,0.01587560004554689,0.11579630000051111,137.08936860004906,29.999026000034064,30.082437900011428,,,,,,,,,1094,Gustatory,2025-03-05_12h20.10.920,Gustatory_Condition_v2,2022.2.5,29.98491757982423,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,137.20615119999275,0.015903200022876263,0.11559250007849187,143.22279360005632,5.999184700078331,143.32282740005758,143.32282740005758,-8.839997462928295e-05,0.09917840000707656,space,1.2358313999138772,144.6061663000146,144.6061663000146,3.400002606213093e-05,0.09836260008160025,num_9,2.240570099907927,146.8895268600085,0.002149999956600368,0.0982738999882713,147.18945239996538,147.67270766004222,147.98952379997354,148.47266626000638,148.789460400003,148.87281730002724,156.88949810003396,156.88949810003396,156.8894613599754,0.0016103999223560095,0.09803499991539866,157.92284040001687,158.90613640006632,159.07289740000851,159.5894843999995,10.014709000010043,167.00615660008043,0.017606499954126775,167.00615660008043,0.11467799998354167,5.0,3.248070599976927,170.2894822000526,0.003000600030645728,0.09748430002946407,176.30619010003284,176.4726501600002,6.213998700026423,6.297493900055997,177.48946890002117,196.4729347600718,196.4559986999957,26.213974000071175,26.29747720004525,197.48947600007523,199.47281810001004,199.47281810001004,0.014217600109986961,0.11418770009186119,229.4895146000199,30.03088620014023,,6.099119100021198,,,,,,,,1094,Gustatory,2025-03-05_12h20.10.920,Gustatory_Condition_v2,2022.2.5,29.98491757982423,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,229.62279940000735,0.03153000015299767,0.1308413001243025,235.62287930003367,6.030801000073552,235.70618670003023,235.70618670003023,0.01424880011472851,0.11414350010454655,space,1.3481428000377491,237.10623090004083,237.10623090004083,6.390002090483904e-05,0.09792490000836551,num_9,1.3877136999508366,238.5395622600685,0.0026183000300079584,0.09795690001919866,238.8394492000807,239.32267056001584,239.6395217999816,240.12272195998813,240.439510300057,240.53968310006894,,248.55618489999324,248.55614186000312,0.017264100024476647,0.11462100001517683,,250.53932089998852,250.72285060002469,251.2229137000395,10.01461100007873,258.6560981000075,0.017380000092089176,258.6560981000075,0.11472080007661134,2.0,4.864802900003269,263.5564523000503,0.0024775000056251884,0.09803059999831021,269.53940910007805,269.7394372600014,6.214773899991997,6.314671200001612,270.73953600006644,289.7393946600263,289.73970130004454,26.21495309995953,26.31468529999256,290.739515400026,292.73962910007685,292.73962910007685,0.01491240004543215,0.11473950010258704,322.7561248000711,30.03138670010958,,,,,,,,,,1094,Gustatory,2025-03-05_12h20.10.920,Gustatory_Condition_v2,2022.2.5,29.98491757982423,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,322.8727821999928,0.015146000077947974,0.11475050006993115,328.8728166000219,6.014669600059278,328.97278990002815,328.97278990002815,0.0149704001378268,0.11466630012728274,space,1.6654660999774933,330.67282520001754,330.67282520001754,3.7199934013187885e-05,0.09796219994314015,num_9,1.9340215000556782,332.6728261600132,0.002601600019261241,0.09828530007507652,332.98942130000796,333.4728785599931,333.7894750999985,334.27275496002983,334.5895346000325,334.6561147000175,342.65614690002985,342.65614690002985,342.6560960599803,0.014849400031380355,0.11473160004243255,,344.656090100063,344.8560918000294,345.35655690007843,10.014607900055125,352.77279780001845,0.0010362000903114676,352.77279780001845,0.09823080012574792,4.0,5.4313815999776125,358.23971140000504,0.0022899999748915434,0.09791869996115565,364.2562392000109,364.4227748599718,6.214592500007711,6.314534800010733,365.4393875000533,384.4226158600417,384.42272350005805,26.214576400001533,26.314672100008465,385.4393237000331,387.42271620000247,387.42271620000247,0.014592800056561828,0.1145518000703305,417.42267950007226,30.014529600040987,,,10.098053100053221,,,,,,,1094,Gustatory,2025-03-05_12h20.10.920,Gustatory_Condition_v2,2022.2.5,29.98491757982423,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,417.5560318999924,0.015178300091065466,0.11446910002268851,423.57265149999876,6.031234300113283,423.6727806000272,423.6727806000272,0.03129160008393228,0.1312407001387328,space,1.6691583999199793,425.4063039000612,425.4063039000612,5.5699958465993404e-05,0.097789500025101,num_9,1.5687123999232426,427.03929766003273,0.0024118999717757106,0.09805859997868538,427.3393049000297,427.83935526005223,428.15601520007476,428.62267836000535,428.93926030001603,429.03935580002144,,437.05598000006285,437.0559438600088,0.017612700001336634,0.11468220001552254,,439.0726157000754,439.2393218000652,439.73943870002404,10.031335399951786,447.15590710006654,0.017631900031119585,447.15590710006654,0.11454380000941455,6.0,3.0979960000840947,450.2894107999746,0.002584200003184378,0.09804930002428591,456.28932009998243,456.47256536005295,6.214778999914415,6.31468589999713,457.4892716000322,476.4892491600825,476.48935609997716,26.231503100018017,26.331403799937107,477.4895017000381,479.48935380007606,479.48935380007606,0.0005270000547170639,0.09797720005735755,509.5058408000041,30.014617200009525,,,,,,,,,,1094,Gustatory,2025-03-05_12h20.10.920,Gustatory_Condition_v2,2022.2.5,29.98491757982423,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.6226182000246,0.03152150008827448,0.1314440000569448,539.6224014000036,30.03119340003468,,1094,Gustatory,2025-03-05_12h20.10.920,Gustatory_Condition_v2,2022.2.5,29.98491757982423,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,539.7224136000732,0.033202400081790984,0.13117520010564476,545.73907650006,6.0144713000627235,545.8058678000234,545.8058678000234,0.01469330012332648,0.11450430005788803,space,1.904160099918954,547.7557299999753,547.7557299999753,4.429998807609081e-05,0.0979120999109,num_9,1.4586553999688476,549.2557576600578,0.0020131999626755714,0.0978768999921158,,550.0557444600039,550.3556526000611,550.8391386600327,551.1390361000085,551.239074400044,559.2557404000545,559.2557404000545,559.2556989600765,0.0013933000154793262,0.09787880000658333,560.2724714999786,561.2723791999742,561.4557266000193,561.9557256000116,10.014430799987167,569.3555480000796,0.0014690000098198652,569.3555480000796,0.09800729993730783,2.0,3.2640091000357643,572.6560555000324,0.0027731999289244413,0.09732269996311516,578.6725687000435,578.838911460049,6.213921199901961,6.31391819997225,,598.838863360032,598.8390735000139,26.214030799921602,26.313994299969636,599.839036899968,601.8391092000529,601.8391092000529,0.014088999945670366,0.11384590005036443,631.8555284000468,30.030462999944575,,,10.097860499983653,,,,,,,1094,Gustatory,2025-03-05_12h20.10.920,Gustatory_Condition_v2,2022.2.5,29.98491757982423,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,631.9890149000566,0.03119840007275343,0.13044560002163053,638.0055508000078,6.013794100028463,638.0721905999817,638.0721905999817,0.01407700008712709,0.11381610005628318,space,1.8623440000228584,639.9722427000524,639.9722427000524,4.039995837956667e-05,0.09784109995234758,num_9,1.513663399964571,641.5388983600191,0.0020158999832347035,0.09802359994500875,,642.322084359976,642.6389806000516,643.1389401600812,643.438803600031,643.52227950003,651.5388254000572,651.5388254000572,651.5388196600019,0.0014530000044032931,0.09811499994248152,652.5388338000048,653.5388142999727,653.7388144000433,654.2389852000633,10.014681200031191,661.6387145000044,0.0009061000309884548,661.6387145000044,0.09801339998375624,6.0,2.398084899992682,664.072166100028,0.002728099934756756,0.09735539997927845,670.0721402000636,670.2553996600094,6.2140266000060365,6.3142204999458045,,690.2552947600255,690.2553929999704,26.213976599974558,26.314043599995784,691.272073399974,693.2720181000186,693.2720181000186,-7.720000576227903e-05,0.09725930006243289,723.2719781000633,30.030580000020564,,,10.098005300038494,,,,,,,1094,Gustatory,2025-03-05_12h20.10.920,Gustatory_Condition_v2,2022.2.5,29.98491757982423,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,723.4052784000523,0.031188499997369945,0.13046230003237724,729.4219335999805,6.013792200013995,729.4886602000333,729.4886602000333,0.01394650002475828,0.11377799999900162,space,1.9819311000173911,731.5218802000163,731.5218802000163,3.120000474154949e-05,0.09823590004816651,num_9,1.2124799999874085,732.7886129600578,0.002233400009572506,0.09788929997012019,,733.5718814600608,733.8885882999748,734.3718547600205,734.6887136000441,734.7719431000296,742.7885968000628,742.7885968000628,742.7885194600443,0.001218099961988628,0.09798680001404136,743.788556799991,744.8053740999894,744.9551463000244,745.455222300021,10.014624399947934,752.9050832000794,0.01685340004041791,752.9050832000794,0.11445540003478527,4.0,1.6988964000483975,754.638806300005,0.00249329989310354,0.09792549989651889,760.6551887000678,760.8384731599712,6.231395599897951,6.33125129994005,761.8384573999792,780.8217301600729,780.8217540000333,26.21456859994214,26.314527899958193,781.8383919000626,783.8385136000579,783.8385136000579,0.0001702000154182315,0.09798349998891354,813.8550208000233,30.014393899939023,,,,,,,,,,1094,Gustatory,2025-03-05_12h20.10.920,Gustatory_Condition_v2,2022.2.5,29.98491757982423,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,813.955143500003,0.015157300047576427,0.1144205000018701,819.9716459000483,6.031305699958466,820.0550145000452,820.0550145000452,0.014487800071947277,0.11450840008910745,space,2.4553320999257267,822.5552045999793,822.5552045999793,4.300009459257126e-05,0.0979691999964416,num_9,1.5070899999700487,824.1217528600595,0.0019748000195249915,0.09787900000810623,824.4382454999723,824.9216246600612,825.2216026000679,825.7048716600169,826.0216179999989,826.1049619000405,834.1216157000745,834.1216157000745,834.12160136007,0.0016331999795511365,0.09789670002646744,835.1381906999741,836.1382664999692,836.3049256000668,836.8049140999792,10.031183799961582,844.2549183999654,0.03405470005236566,844.2549183999654,0.13102600001730025,4.0,0.7980731000425294,845.0883461000631,0.0026021000230684876,0.0978216000366956,851.0715021999786,851.271506960073,6.21443970000837,6.314510500058532,852.2881274999818,871.2714347599889,871.2716229000362,26.214555900078267,26.31436040007975,872.2880708000157,874.2714403000427,874.2714403000427,0.014402700122445822,0.11438240006100386,904.2880515999859,30.031005900120363,,,,,,,,,,1094,Gustatory,2025-03-05_12h20.10.920,Gustatory_Condition_v2,2022.2.5,29.98491757982423,
