Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_18.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,1793.363858900033,0.031340399757027626,0.1312623997218907,6.01448389980942,1799.3470332003199,1799.463847100269,1799.463847100269,0.03184730000793934,0.13120919978246093,space,1.6348831998184323,1801.147200200241,1801.147200200241,4.0499959141016006e-05,0.09782369993627071,num_9,4.9277744996361434,1806.1306913901585,0.002427699975669384,0.09785059979185462,1806.430429100059,1806.9304822898935,1807.2305479003116,1807.7137843902688,1808.030455800239,1808.1304453001358,1816.1304037002847,1816.1304037002847,1816.1304311902727,0.0011279997415840626,0.09773139981552958,1817.1305241999216,1818.1304251002148,1818.3138677002862,1818.8137345002033,10.014298799913377,1826.230207900051,0.001183799933642149,1826.230207900051,0.0975616998039186,5.0,2.99737700028345,1829.2639601002447,0.0023958999663591385,0.09808989986777306,1835.2636585002765,1835.463673690008,6.231065500061959,6.331086399964988,1836.4970281003043,1855.4635596900712,1855.4635612000711,26.23101959982887,26.33099059993401,1856.4969647000544,1858.463539800141,1858.463539800141,0.0005860999226570129,0.0977913998067379,1888.4633782003075,30.030832099728286,10.09779499983415,,,,,,,,6.098020599689335,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,1888.5801099999808,0.014789599925279617,0.11420149961486459,6.013893599621952,1894.5632059001364,1894.6632750001736,1894.6632750001736,0.030801499728113413,0.1139124995097518,space,1.02751229936257,1895.7298206002451,1895.7298206002451,3.29003669321537e-05,0.09793880023062229,num_9,3.193147999700159,1898.9800933898891,0.002387300133705139,0.09816349996253848,1899.2800298999064,1899.7632583902682,1900.0800282000564,1900.563412290206,1900.8801975003444,1900.9800463002175,1908.9799787001684,1908.9799787001684,1908.9800011898856,0.0014035999774932861,0.09807639988139272,1909.9799947999418,1910.9800472003408,1911.163347300142,1911.6633350001648,10.031380999833345,1919.0965212001465,0.01734469970688224,1919.0965212001465,0.11458809999749064,3.0,2.3317732997238636,1921.4634912000038,0.0023251003585755825,0.09946800023317337,1927.479962500278,1927.6465900900307,6.2158437999896705,6.3158051003701985,1928.6465043001808,1947.6428485900628,1947.6261837999336,26.212259500287473,26.299069500062615,,1950.6464841999114,1950.6464841999114,0.015790500212460756,0.11571309994906187,1980.6632245001383,29.999104499816895,,30.09911989979446,,,,,,,6.097238499671221,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,1980.7630390003324,-0.0001984001137316227,0.09890200011432171,6.015580500010401,1986.7795351999812,1986.8796725003049,1986.8796725003049,0.015713799744844437,0.11553969979286194,space,1.5953604998067021,1988.5130488001741,1988.5130488001741,4.300009459257126e-05,0.0979972998611629,num_9,3.7381258998066187,1992.3129839903208,0.0022966000251471996,0.09793809987604618,1992.6296180002391,1993.0963101900647,1993.3962807999924,1993.9129559902008,1994.229609000031,1994.2963108001277,2002.312944300007,2002.312944300007,2002.3129470899235,0.001614999957382679,0.0979110999032855,2003.3295607003383,2004.3296058000997,2004.4962248001248,2004.996501199901,10.01449349988252,2012.4295391999185,0.017378400079905987,2012.4295391999185,0.11449640011414886,6.0,2.4647202999331057,2014.9298650003038,0.0034827999770641327,0.09758569998666644,2020.9295042003505,2021.1126653902697,6.214222799986601,6.314341500401497,2022.1294972002506,2041.1126393900718,2041.1128056999296,26.214386200066656,26.331256300210953,2042.1293986001983,2044.1295545999892,2044.1295545999892,0.00020190002396702766,0.09756729984655976,2074.1291765002534,30.03063189983368,,,,,,,,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2074.26261410024,0.031013399828225374,0.13091700011864305,2104.2625139001757,30.03061500005424,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,2104.362509300001,0.032806099858134985,0.13060539960861206,6.030643200036138,2110.3624966000207,2110.429042899981,2110.429042899981,0.013762099668383598,0.09723679954186082,space,1.6776744998060167,2112.1624334002845,2112.1624334002845,3.6499928683042526e-05,0.09788309969007969,num_9,3.8961096997372806,2116.112569990242,0.0013334001414477825,0.09826279990375042,2116.42907120008,2116.8956895900424,,2117.6956866901833,,2118.096004900057,2126.095715200063,2126.095715200063,2126.095742490282,0.014906299766153097,0.11503269989043474,2127.112381900195,2128.1123804003,2128.2957135001197,2128.7788917999715,10.01475099986419,2136.2289344002493,0.017614999786019325,2136.2289344002493,0.1146374000236392,3.0,2.3647984000854194,2138.629224299919,0.0015476001426577568,0.09913789993152022,2144.6291422001086,2144.8121967899147,6.215787300374359,6.315789400134236,2145.8291597003117,2164.808522990113,2164.791810899973,26.21190039999783,26.29915879992768,2165.8290057000704,2167.795580400154,2167.82905020006,-0.0009139999747276306,0.09898999985307455,2197.845387100242,30.015567199792713,,,,,,,,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,2197.94544879999,0.016247599851340055,0.11556859966367483,6.032204899936914,2203.9620412001386,2204.062109900173,2204.062109900173,0.03236639965325594,0.1323332996107638,space,1.1166589995846152,2205.228942200076,2205.228942200076,4.3999869376420975e-05,0.09802649961784482,num_9,3.869824799709022,2209.162265889952,0.0023008002899587154,0.0978455999866128,2209.4787051002495,2209.9453612902666,2210.2453391999006,2210.762079690257,2211.0787214003503,2211.1455072001554,2219.145381500013,2219.145381500013,2219.1453117901924,0.014525400009006262,0.11440270021557808,,2221.1619521002285,2221.3619921002537,2221.8619805001654,10.014218700118363,2229.2618630002253,0.0009411000646650791,2229.2618630002253,0.09765119990333915,4.0,2.997637300286442,2232.2956083999015,0.002107500098645687,0.09817610029131174,2238.2953248000704,2238.478480090061,6.214668800123036,6.314810500014573,2239.47862780001,2258.4952654900494,2258.495312300045,26.23151639988646,26.331408500205725,2259.511806000024,2261.4951361999847,2261.4951361999847,-0.00010169995948672295,0.09796499973163009,2291.4948370000347,30.014711199793965,10.097663599997759,30.097795699723065,,,,,,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,2291.595049300231,-0.000795100349932909,0.09793969988822937,6.031239399686456,2297.5950279999524,2297.7283920999616,2297.7283920999616,0.03133069956675172,0.1311406996101141,space,1.9946871995925903,2299.7616489003412,2299.7616489003412,4.3400097638368607e-05,0.0978596000932157,num_9,5.353323599789292,2305.178294490231,0.002637800294905901,0.09811410028487444,2305.4782329001464,2305.96148588988,2306.261592600029,2306.7782871901522,2307.078235700261,2307.178308499977,2315.17822979996,2315.17822979996,2315.178385589877,0.0014932001940906048,0.09795310022309422,,2317.1949150003493,2317.361583800055,2317.8783013001084,10.01453879987821,2325.27813340025,0.0015366999432444572,2325.27813340025,0.09785440005362034,2.0,2.1640192000195384,2327.478460200131,0.004192799795418978,0.09759909985587001,2333.461397000123,2333.6782857902813,6.230883699841797,6.330877400003374,2334.678149800282,2353.6613328900653,2353.661520600319,26.21432099957019,26.314173699822277,2354.6613880000077,2356.6613255003467,2356.6613255003467,0.01409609941765666,0.11411559954285622,2386.6780603001826,30.030856899451464,10.097973600029945,,,,,,,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,2386.7945745000616,0.014758499339222908,0.11397479940205812,6.013960499316454,2392.794540300034,2392.894548700191,2392.894548700191,0.014182799495756626,0.1139682992361486,space,2.443839299492538,2395.377921400126,2395.377921400126,3.9200298488140106e-05,0.09806990018114448,num_9,4.456740299239755,2399.877916890336,0.0021140999160706997,0.11443320009857416,,2400.6612508899066,2400.961167700123,2401.4778717902022,2401.7778370003216,2401.8780197002925,2409.878087399993,2409.878087399993,2409.8780883901286,0.0014042998664081097,0.09753820020705462,2410.878050399944,2411.8945325003006,2412.0611708001234,2412.561152700335,10.01424300018698,2419.977700000163,0.0008319001644849777,2419.977700000163,0.09769359976053238,5.0,4.597623500041664,2424.611324999947,0.0021476000547409058,0.0984044000506401,2430.627796899993,2430.79434259017,6.21501940023154,6.331666700076312,2431.8110635001212,2450.7942417903337,2450.7943351999857,26.21502810018137,26.314928099978715,2451.810984000098,2453.810965700075,2453.810965700075,0.0009019998833537102,0.09823760017752647,2483.810840500053,30.031482299789786,10.097595100291073,,,,,,,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,2483.9441696000285,0.032217899803072214,0.13148059975355864,6.0147414999082685,2489.9608129002154,2490.0275938003324,2490.0275938003324,0.014873799867928028,0.11472329962998629,space,1.4711701995693147,2491.560798500199,2491.560798500199,4.4300220906734467e-05,0.09798360010609031,num_9,4.0174913997761905,2495.6441015900577,0.0022673998028039932,0.0981793999671936,2495.960911199916,2496.4274442900437,2496.7440997003578,2497.2273942899424,2497.5273885000497,2497.6442464999855,,2505.660751200281,2505.6608605903107,0.01743730017915368,0.11480350000783801,2506.677331100218,2507.677378400229,2507.844058299903,2508.3440523999743,10.014837800059468,2515.76055750018,0.0177476997487247,2515.76055750018,0.11467849975451827,5.0,1.6647438001818955,2517.4608992002904,0.0024875998497009277,0.09796119993552566,2523.4773372001946,2523.644024690287,6.214531099889427,6.314534599892795,2524.6606601001695,2543.6438473902176,2543.643877699971,26.214448200073093,26.314438899978995,2544.6605680999346,2546.660636200104,2546.660636200104,0.0002698996104300022,0.09773059980943799,2576.6770824003033,30.014248099643737,,,,,,,,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2576.7771040000953,0.014557499438524246,0.11424609972164035,2606.7769483001903,30.01413939986378,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
