Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Roll_liquid_taste.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,12.321941729999525,0.0005186999987927265,0.09392729999672156,12.571573300003365,12.804899370002385,13.054972200003249,13.32169107000227,13.588208200002555,0.02252329999828362,0.11093110000001616,28.605003900000156,15.027316299998347,28.688358500003233,0.012729999998555286,0.11059200000090641,34.70507500000167,6.0272751999982574,34.805012600001646,34.805012600001646,0.027397400001063943,0.12725140000111423,space,5.564036100000521,40.38820180000039,40.38820180000039,1.3299999409355223e-05,0.083149099998991,num_9,75.11691459999929,115.55496736999994,0.0023237999994307756,0.09766169999784324,115.85495060000176,116.33808707000135,116.65491650000331,117.15493777000229,117.45497650000107,117.55507690000013,125.57172870000068,125.57159607000285,0.017535799997858703,0.11431629999788129,126.58825990000332,127.58830650000164,127.72148330000346,128.2215215000033,10.014277199999924,10.097617600000376,135.65475220000008,0.0010607000003801659,135.65475220000008,0.09772290000182693,6.0,2.414217599998665,138.10516840000128,0.002601600001071347,0.09802309999940917,144.1215611000007,144.288149170002,6.214584400000604,6.31471959999908,145.30490230000214,164.2881729700013,164.28836330000195,26.21473739999783,26.314598699998896,165.3048966000024,167.30486390000078,167.30486390000078,0.00041339999734191224,0.09793759999956819,197.32148960000268,30.014521699999023,,677,Gustatory,2024-09-06_15h06.44.072,Gustatory_Condition_v2,2022.2.5,30.000390005311242,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,197.42150740000216,0.015234300000884105,0.1144769999991695,203.4381351000011,6.031415699999343,203.52150990000155,203.52150990000155,0.014605300002585864,0.11450490000061109,space,1.623256399998354,205.18816210000296,205.18816210000296,3.949999882024713e-05,0.09781120000116061,num_9,2.1887988000016776,207.4382199700005,0.0024055000030784868,0.09791920000134269,207.75483050000184,208.2213905700002,208.52137840000069,209.02156317000043,209.33814090000305,209.43819590000203,217.43811890000143,217.43813107000022,0.0011423000032664277,0.09797370000160299,218.45480640000096,219.43810660000236,219.63815100000284,220.13811310000165,10.031239300002198,,227.5713226000007,0.03405460000431049,227.5713226000007,0.13119100000403705,1.0,2.0314431000006152,229.63839910000024,0.00156050000077812,0.0993224999983795,235.65479810000033,235.8216702700003,6.215723299999809,6.3156682000008,236.83806190000178,255.8214160700001,255.82146280000234,26.215728999999556,26.315781199999037,256.82123350000256,258.8379184000005,258.8379184000005,0.0014492999980575405,0.09896649999791407,288.8548243000005,30.015762399998493,217.43811890000143,677,Gustatory,2024-09-06_15h06.44.072,Gustatory_Condition_v2,2022.2.5,30.000390005311242,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,288.95468190000247,0.01618410000082804,0.11560000000099535,294.95464560000255,6.015709700001025,295.0546734000018,295.0546734000018,0.015783800001372583,0.11554480000268086,space,1.0581630999986373,296.17150050000055,296.17150050000055,4.909999915980734e-05,0.09773479999785195,num_9,2.3017130000007455,298.53797767000214,0.0024885999991965946,0.09814189999815426,298.85468350000156,299.33796487000217,299.63789950000137,300.1213302700009,300.4380076000016,300.53799020000224,308.5379791000014,308.5380587700012,0.0014702000007673632,0.09800170000016806,309.55469040000025,310.5545935000009,310.72127460000047,311.22132540000166,10.014687599999888,,318.65449340000123,0.017503099999885308,318.65449340000123,0.11455650000061723,4.0,2.464596800000436,321.1551339000034,0.0024723999995330814,0.09812679999959073,327.15456610000183,327.33789107000047,6.2149546000000555,6.314788899999257,328.3545230000018,347.3545174700004,347.3546318000008,26.23154169999907,26.331409700000222,348.35453600000255,350.35465850000037,350.35465850000037,0.00045139999929233454,0.09809899999891059,380.35445390000314,30.031333599999925,308.5379791000014,677,Gustatory,2024-09-06_15h06.44.072,Gustatory_Condition_v2,2022.2.5,30.000390005311242,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,380.48790080000254,0.03208040000026813,0.13130129999990459,386.48778380000294,6.0313074000005145,386.58777929999997,386.58777929999997,0.03141000000323402,0.13126910000210046,space,1.3652594000013778,388.00446360000205,388.00446360000205,4.5099997805664316e-05,0.0981324999993376,num_9,2.2682776999972702,390.3378075700013,0.0024587000007159077,0.09814490000280784,390.637759600002,391.13776297000294,391.4544930000011,391.92100777000013,392.2378865999999,392.3211250000022,400.3377498000009,400.33766077000035,0.0002934000003733672,0.09826570000223,401.3377311000004,402.3209887000012,402.5042555,403.00441649999993,10.014691500000481,10.098040400000173,410.4376274000024,0.0012675000034505501,410.4376274000024,0.09809970000424073,1.0,2.6977621000005456,413.1712722000011,0.002681099998881109,0.09899619999850984,419.17102910000176,419.37101766999984,6.232367199998407,6.3322525000003225,420.3877175000016,439.3710958700023,439.3709835000009,26.19900339999731,26.298961899999995,440.38766580000083,442.3709994000019,442.3709994000019,0.0013471999991452321,0.09887479999815696,472.37088500000027,30.032207699998253,400.3377498000009,677,Gustatory,2024-09-06_15h06.44.072,Gustatory_Condition_v2,2022.2.5,30.000390005311242,
,,,,,,,,,,,,,,,,,,,,472.487582400001,0.016296199999487726,0.11543569999776082,478.50431200000094,6.032110500000272,478.60421420000057,478.60421420000057,0.03223390000130166,0.13217169999916223,space,0.9170214000005217,479.5708760000016,479.5708760000016,3.3399999665562063e-05,0.09823839999808115,num_9,1.7024278999997478,481.33765457000044,0.0024057000009634066,0.09813740000026883,481.6541255000011,482.1208550700023,482.437546000001,482.9209009700018,483.2375331000003,483.3208685000027,491.3375309000003,491.3374826700012,0.0014870000013615936,0.0979436000015994,492.3375104000006,493.3375128000007,493.537505100001,494.0207885000018,10.014542100001563,10.097855700001674,501.4373723000026,0.0002860000022337772,501.4373723000026,0.09764690000156406,5.0,2.531952600002114,504.0043781000022,0.0016531000001123175,0.09937279999940074,510.02082320000045,510.1708000700011,6.199308100000053,6.299282599997241,511.1706139000016,530.1837534700019,530.1671051000012,26.21219639999981,26.29553339999984,531.1873774000014,533.1707238000017,533.1707238000017,-0.0007175000027928036,0.09930639999947743,,,491.3375309000003,,,,,,,
