loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,player_image_intro.stopped,player_name_intro.stopped,Instructions_Affinity_Score.stopped,p_port_6.stopped,p_port_10.stopped,p_port_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.48081649979576,162.48081649979576,0.007877500262111425,0.11387060023844242,1.0,1.9731143000535667,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.4804135998711,164.4804135998711,0.0054301000200212,0.13261500000953674,6.0,2.4619157002307475,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.9974058000371,166.9974058000371,0.008007700089365244,0.11429840000346303,1.0,3.4074049000628293,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.44733220012859,170.44733220012859,0.00904530007392168,0.11409900011494756,4.0,3.872627599630505,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.3471917998977,174.3471917998977,0.00702020013704896,0.0979809002019465,3.0,5.125526300165802,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.51375989988446,179.51375989988446,0.007448500022292137,0.09748700028285384,5.0,1.8913263999857008,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.44739399990067,181.44739399990067,0.0016777999699115753,0.09714309964329004,2.0,1.9966172999702394,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,183.48076969990507,0.0002776002511382103,0.09756890032440424,189.49716380005702,6.014236400369555,189.68056489992887,189.68056489992887,0.08448630012571812,0.19756769994273782,6.030864700209349,195.78053939994425,195.78053939994425,195.78053939994425,0.09612799994647503,0.19784499984234571,201.4804877997376,201.6805134997703,6.030955499969423,6.13090609991923,207.68051669979468,12.030964999925345,207.8138095997274,207.8138095997274,0.031160099897533655,0.1307974001392722,down,1.5365327997133136,209.4139646999538,5.519995465874672e-05,0.09749790001660585,215.43044780008495,215.43044780008495,0.01046589994803071,0.11411699978634715,5.0,2.5713126002810895,,,,,,,207.78046589996666,207.78046589996666,195.68050390016288,195.68050390016288,215.43044780008495,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.03052010014653,218.03052010014653,0.007665600161999464,0.09869990032166243,1.0,1.6252705999650061,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.71376259997487,219.71376259997487,0.008051400072872639,0.11414299998432398,7.0,2.607007300015539,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
