loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,p_port_3.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
20,0,20,0,,,,,,,,,,,,,,,,,380.2141388999298,0.00045900000259280205,0.09742089966312051,386.1969014001079,6.01375799998641,386.3303249999881,0.016584899742156267,0.11418099980801344,6.01414639968425,392.3135017999448,392.4136422001757,-0.0005311002023518085,0.09710509981960058,2.0,1.8320403001271188,6.097070399671793,6.097109999507666,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
21,0,21,0,,,,,,,,,,,,,,,,,394.28071149997413,0.0005487999878823757,0.09735349984839559,400.2803342002444,6.03023219993338,400.4303331999108,0.05223769973963499,0.14710230007767677,6.013569300062954,406.4303554999642,406.49690569983795,0.016042999923229218,0.11343679996207356,2.0,2.231870499905199,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
22,0,22,0,,,,,,,,,,,,,,,,,408.76387330004945,0.0005587004125118256,0.09739610040560365,414.780389000196,6.014019000343978,414.89688590029255,0.027098699938505888,0.1305705001577735,6.030613500159234,420.8972773998976,420.9801838998683,0.016128600109368563,0.11384870018810034,0.0,1.5989909996278584,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
23,0,23,0,,,,,,,,,,,,,,,,,422.6136064999737,0.00023780018091201782,0.0994963999837637,428.61347760027274,6.015682999975979,428.7305773999542,0.018621399998664856,0.1160343000665307,6.015794000122696,434.7302287002094,434.83015590021387,0.018455300014466047,0.11577170016244054,0.0,1.9315908998250961,6.099296200089157,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
24,0,24,0,,,,,,,,,,,,,,,,,436.797209800221,0.0004602000117301941,0.09654959989711642,442.78015660028905,6.013127399608493,442.9304006998427,0.026956199668347836,0.13008679961785674,6.029767099767923,448.93018320016563,449.03022429998964,0.03246379969641566,0.12974079977720976,1.0,1.431806500069797,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
25,0,25,0,,,,,,,,,,,,,,,,,450.4972108001821,0.0005860002711415291,0.09690449992194772,456.51349449995905,6.01370060024783,456.6470228000544,0.03886430012062192,0.1470257001928985,6.013793000020087,462.6468175002374,462.71335990028456,0.016536700073629618,0.1132525997236371,1.0,2.164537299890071,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
26,0,26,0,,,,,,,,,,,,,,,,,464.9135147999041,0.0005160002037882805,0.0971249002031982,470.91361560020596,6.030592999886721,471.08017629990354,0.061132899951189756,0.1639450998045504,6.030348099768162,477.08007440017536,477.14661760022864,0.03384739998728037,0.13026999961584806,0.0,1.8975180997513235,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
27,0,27,0,,,,,,,,,,,,,,,,,479.08047359995544,0.0006515998393297195,0.09873049985617399,485.0798643999733,6.015131699852645,485.1965892002918,0.023012700024992228,0.11523459991440177,6.015615200158209,491.19680549995974,491.2972373999655,0.017719899769872427,0.11544149974361062,0.0,1.6317731002345681,6.098541500046849,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
28,0,28,0,,,,,,,,,,,,,,,,,492.9634195002727,0.0004111998714506626,0.09733439981937408,498.98003480024636,6.013991800136864,499.54681800026447,0.3066505999304354,0.5806569000706077,6.010066600050777,,505.18018240015954,0.016605000011622906,0.11402059998363256,1.0,1.5649004997685552,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
29,0,29,0,,,,,,,,,,,,,,,,,506.78010840015486,0.0004732999950647354,0.0974485999904573,512.779973400291,6.030717000365257,512.9468489000574,0.05771230021491647,0.16423860006034374,6.030657700262964,518.9467605999671,519.0132329002954,0.03377899993211031,0.1306656999513507,0.0,2.7979209003970027,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
30,0,30,0,,,,,,,,,,,,,,,,,521.8470100001432,0.00023940019309520721,0.09932699985802174,527.8634751001373,6.01615949999541,527.979829700198,0.027953799813985825,0.132532499730587,5.999201399739832,533.9798635998741,534.0464999000542,0.0012332997284829617,0.09931539976969361,0.0,1.3321544001810253,,6.099086199887097,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
31,0,31,0,,,,,,,,,,,,,,,,,535.4134761001915,0.0002180999144911766,0.0993002001196146,541.4298761999235,6.016113199759275,541.5966970999725,0.067981599830091,0.1827944996766746,6.015903799794614,547.5796948000789,547.6297387001105,0.01826039981096983,0.11589749995619059,1.0,1.0652335002087057,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
32,0,32,0,,,,,,,,,,,,,,,,,548.7298727999441,0.0005994001403450966,0.09725120011717081,554.7464831001125,6.013965399935842,555.2132204999216,0.22523050010204315,0.48085010005161166,6.030550700146705,,560.9262020001188,0.012144399806857109,0.09350669989362359,1.0,1.5027852999046445,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
33,0,33,0,,,,,,,,,,,,,,,,,562.4798461999744,0.00038499990478157997,0.09750369982793927,568.4964626999572,6.014148800168186,568.6299223001115,0.03808970004320145,0.14771199971437454,6.014111999887973,574.6297909002751,574.6963793002069,0.01653389958664775,0.11406969977542758,2.0,1.6984903998672962,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
34,0,34,0,,,,,,,,,,,,,,,,,576.4297922998667,0.0006645000539720058,0.09673730004578829,582.4128872002475,6.0131733999587595,582.5463215000927,0.017794399987906218,0.11334169982001185,6.013262500055134,588.5295250001363,588.6462770998478,0.016057699918746948,0.11331079993396997,3.0,1.731557299848646,6.096599199809134,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
35,0,35,0,,,,,,,,,,,,,,,,,590.4133164999075,0.0005656997673213482,0.09797029988840222,596.4296762002632,6.013625499792397,596.5462314998731,0.029854800086468458,0.1304756999015808,6.030238599982113,602.5463127000257,602.6295491000637,0.015010099858045578,0.11355589982122183,0.0,1.432932199910283,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
36,0,36,0,,,,,,,,,,,,,,,,,604.0966314002872,0.0005701002664864063,0.0968332001939416,610.0962950000539,6.030064099933952,610.2462329999544,0.04437380004674196,0.14661339996382594,6.013340000063181,616.2462826999836,616.3128442000598,0.016175900120288134,0.11329959984868765,0.0,1.5980562004260719,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
37,0,37,0,,,,,,,,,,,,,,,,,617.9462645002641,0.0005929996259510517,0.0967387999407947,623.9462892999873,6.030089299660176,624.2131119999103,0.13091589976102114,0.2633314998820424,6.0301309996284544,,630.1794648999348,0.03253099974244833,0.12988509982824326,1.0,1.2984635001048446,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
38,0,38,0,,,,,,,,,,,,,,,,,631.5132635999471,0.00039350008592009544,0.09821199998259544,637.4961359002627,6.014832700137049,637.646160100121,0.02762340009212494,0.13168610027059913,6.03155090007931,643.646054700017,643.7296090000309,0.01665040012449026,0.1146912002004683,1.0,1.732408800162375,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
39,0,39,0,,,,,,,,,,,,,,,,,645.4964678999968,0.0004124999977648258,0.09753519995138049,651.4962516999803,6.014169699978083,651.6296804999001,0.032151800114661455,0.13069160003215075,6.030731599777937,657.6294782999903,657.7293456001207,0.03342749970033765,0.13078439980745316,3.0,1.7316232998855412,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
40,0,40,0,,,,,,,,,,,,,,,,,659.4964324999601,0.0005006003193557262,0.09697790024802089,665.5127905001864,6.013649899978191,665.6294376002625,0.03015260025858879,0.1303225001320243,6.030307200271636,671.6293907999061,671.7295353002846,0.032723700162023306,0.13045849977061152,0.0,1.4654037998989224,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
41,0,41,0,,,,,,,,,,,,,,,,,673.2295623002574,0.00015950016677379608,0.11607079999521375,679.229445700068,5.999363699927926,679.3460098002106,0.014335900079458952,0.11627720016986132,6.015890299808234,685.3460372998379,685.4458854002878,0.018041699659079313,0.11601209966465831,0.0,2.265511500183493,6.099298700224608,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
42,0,42,0,,,,,,,,,,,,,,,,,687.7462316001765,0.00024330010637640953,0.09950709994882345,693.7626729002222,6.015860100276768,693.8625802001916,0.024601600132882595,0.11585110006853938,6.015801600180566,699.8626481001265,699.9625303000212,0.01803669985383749,0.11590579990297556,1.0,1.8321639001369476,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
43,0,43,0,,,,,,,,,,,,,,,,,701.8296036999673,0.0003424999304115772,0.09909190004691482,707.8459582999349,6.01568750012666,707.9792583002709,0.05461739981546998,0.1492392998188734,6.015633400063962,713.979240800254,714.0458153001964,0.018290699925273657,0.1154976999387145,0.0,1.5652342000976205,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
44,0,44,0,,,,,,,,,,,,,,,,,715.646033000201,0.00021559977903962135,0.09906250005587935,721.6625271001831,6.015665899962187,721.7790954001248,0.032670799642801285,0.13230459997430444,5.999001199845225,727.7792104999535,727.8458233000711,0.0022026998922228813,0.09886629972606897,0.0,1.464527599979192,,6.098948800005019,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
45,0,45,0,,,,,,,,,,,,,,,,,729.3458612998948,0.0007442999631166458,0.09699680004268885,735.345918700099,6.0304368999786675,735.4790771002881,0.027441900223493576,0.1304998998530209,6.030207599978894,741.4624395999126,741.562751499936,0.016071000136435032,0.11402350012212992,1.0,2.9318315000273287,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
46,0,46,0,,,,,,,,,,,,,,,,,744.5291643003002,0.0007202997803688049,0.09735759999603033,750.5457595000044,6.013995599932969,750.7289824001491,0.10128280008211732,0.19731689989566803,6.0306088998913765,756.7291554999538,756.7624110998586,0.03342039976269007,0.1308181998319924,1.0,1.4649808998219669,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
47,0,47,0,,,,,,,,,,,,,,,,,758.2627770998515,0.0006805001758038998,0.0972879002802074,764.2790430001915,6.0137124001048505,764.3958081002347,0.031671700067818165,0.13055279990658164,6.030290700029582,770.3956995001063,770.4789602998644,0.01640799967572093,0.11371399974450469,1.0,3.065071300137788,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
48,0,48,0,,,,,,,,,,,,,,,,,773.5790464002639,0.0002450002357363701,0.09908979991450906,779.5957229002379,6.015824799891561,779.71223750012,0.030316099990159273,0.13239540020003915,5.999001400079578,785.7123229000717,785.778937399853,0.0023043998517096043,0.09898700006306171,2.0,1.4309168998152018,,6.098992600105703,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
49,0,49,0,,,,,,,,,,,,,,,,,787.2458758000284,0.000529400072991848,0.09734970005229115,793.2456340999343,6.030624200124294,793.3955387999304,0.043382199946790934,0.147271899972111,6.013880600221455,799.3957046000287,799.4621323999017,0.016282500233501196,0.11399620026350021,3.0,1.5651508998125792,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
50,0,50,0,,,,,,,,,,,,,,,,,801.0622875001281,0.0006183995865285397,0.09693299978971481,807.0788874002174,6.013584699947387,807.1955802999437,0.02812779974192381,0.13051969977095723,6.030215799808502,813.1956413001753,813.2954493002035,0.03278339980170131,0.13037149980664253,1.0,1.4650154998525977,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
51,0,51,0,,,,,,,,,,,,,,,,,814.7957675000653,0.00044559966772794724,0.0970098995603621,820.8121676999144,6.013618599623442,820.928711200133,0.04073449969291687,0.13029699958860874,6.0302544995211065,826.9288126002066,827.0287562999874,0.03289839951321483,0.1301044994033873,2.0,3.6317142001353204,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
52,0,52,0,,,,,,,,,,,,,,,,,830.6957352999598,0.000601199921220541,0.09680739976465702,836.7121478999034,6.013409799896181,836.8287253999151,0.0364741999655962,0.13002480007708073,6.030010299757123,842.8287034002133,842.9286118000746,0.03289689961820841,0.1300599998794496,1.0,1.5316490000113845,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
53,0,53,0,,,,,,,,,,,,,,,,,844.4957552002743,0.00021629966795444489,0.09947940008714795,850.4953824002296,5.9991039000451565,850.6121773999184,0.02424019994214177,0.11578270001336932,6.015918700024486,856.612053300254,856.7120060999878,0.016943699680268764,0.11599239986389875,0.0,0.9331611995585263,6.099115499760956,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
54,0,54,0,,,,,,,,,,,,,,,,,857.6789367999882,0.00022769998759031296,0.0990841998718679,863.6953457002528,6.015563199762255,863.8285705000162,0.045817399863153696,0.148908999748528,6.015565199777484,869.8286159001291,869.8952351002954,0.017435599584132433,0.1156517993658781,2.0,1.1323252003639936,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
55,0,55,0,,,,,,,,,,,,,,,,,871.0623264000751,0.0005834996700286865,0.09731239965185523,877.0619826000184,6.030543699860573,877.2119666999206,0.04624339984729886,0.14716799976304173,6.013781099580228,883.2119175000116,883.2785475999117,0.017239599488675594,0.11373239988461137,2.0,3.3308761003427207,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
56,0,56,0,,,,,,,,,,,,,,,,,886.6454659001902,0.0004990999586880207,0.09732569986954331,892.6452453001402,6.03067580005154,892.8284868998453,0.07722369953989983,0.18046859977766871,6.013918599579483,898.8285618000664,898.8618405000307,0.016615199856460094,0.11378639983013272,3.0,1.3980506001971662,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
57,0,57,0,,,,,,,,,,,,,,,,,900.2954092998989,0.000496900174766779,0.09700000006705523,906.3117829998955,6.013693500310183,906.4284609998576,0.028753799851983786,0.1302873999811709,6.030273099895567,912.4284768998623,912.511825399939,0.01625820016488433,0.11379229975864291,1.0,2.131767500191927,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
58,0,58,0,,,,,,,,,,,,,,,,,914.678440600168,0.000489099882543087,0.09704949986189604,920.6784967002459,6.030495299957693,920.8118316000327,0.028061899822205305,0.13132639974355698,6.030280999839306,926.8117589000612,926.911714900285,0.033081499859690666,0.13039089972153306,3.0,1.5315288002602756,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
59,0,59,0,,,,,,,,,,,,,,,,,928.4786467002705,0.00021740002557635307,0.09891409985721111,934.4784212000668,6.032322200015187,934.6117290998809,0.031618400011211634,0.1323905000463128,5.999101399909705,940.611940599978,940.6786060002632,0.002148800063878298,0.09902459988370538,1.0,1.4310436001978815,,6.098920399788767,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
60,0,60,0,,,,,,,,,,,,,,,,,942.1451055002399,0.0005279998295009136,0.09730570018291473,948.161697300151,6.013917999807745,948.2782558002509,0.026165499817579985,0.13059849990531802,6.030532899778336,954.278381400276,954.3782897000201,0.03343739965930581,0.13043849961832166,1.0,1.4648735001683235,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
61,0,61,0,,,,,,,,,,,,,,,,,955.8785009998828,0.00024330010637640953,0.09927759971469641,961.8949365001172,6.015827800147235,962.0284535000101,0.0387707999907434,0.1492045996710658,6.015817099716514,968.0282638999633,968.0949170002714,0.01777219958603382,0.115831199567765,0.0,1.2325180997140706,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
62,0,62,0,,,,,,,,,,,,,,,,,969.3617382002994,0.0005936999805271626,0.09682269999757409,975.378246200271,6.013403499964625,975.4949027001858,0.028900399804115295,0.130267099943012,6.030045599676669,981.4949602000415,981.5948045998812,0.031040699686855078,0.13014069944620132,1.0,1.2331719999201596,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
63,0,63,0,,,,,,,,,,,,,,,,,982.8617112999782,0.0006745997816324234,0.09723749989643693,988.8782222000882,6.013797800056636,988.9947994002141,0.02690429985523224,0.1305100996978581,6.030438499525189,994.9949586000293,995.0780199002475,0.015602199826389551,0.1137989996932447,3.0,1.132447499781847,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
