loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,Instructions_Affinity_Score.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,15.58814862036379,0.0008206999627873302,0.1289045000448823,16.187184459983836,16.503472700016573,16.77041806000052,17.086927599972114,17.37028125998331,17.68687229999341,17.68687229999341,0.028685800032690167,0.12875030003488064,37.68677779997233,20.01214040000923,20.095333600067534,37.78696429997217,0.028831700095906854,0.12894870003219694,38.27030719991308,space,4.0978231999324635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,42.420256300014444,0.001344699994660914,0.0984166000271216,48.42027529992629,6.031760499929078,48.75370319990907,48.75370319990907,0.1690138999838382,0.3317651000106707,6.031692199991085,54.753644299926236,54.753644299926236,54.753644299926236,0.09650550002697855,0.23184220003895462,60.453633899916895,60.620247500017285,6.0317350999685,6.131862499983981,66.62026519991923,12.031733400071971,66.75355059991125,66.75355059991125,0.03186780004762113,0.13173850008752197,up,2.5097720000194386,69.303810399957,5.770009011030197e-05,0.0975797000573948,75.35359439998865,75.35359439998865,0.030856400029733777,0.1475760000757873,2.0,4.13442869996652,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.52026639995165,79.52026639995165,0.024154099985025823,0.11564940004609525,2.0,1.1927238999633119,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.77036709990352,80.77036709990352,0.01589160005096346,0.11468700005207211,2.0,1.8331869000103325,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.65378359996248,82.65378359996248,0.01255360001232475,0.11594779998995364,2.0,1.1044347001006827,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.80362459993921,83.80362459993921,0.012552800006233156,0.11600979999639094,5.0,3.404205600032583,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.25363849999849,87.25363849999849,0.013131199986673892,0.11599930003285408,2.0,1.7037563000340015,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0037442999892,89.0037442999892,0.017099900054745376,0.11578820005524904,3.0,2.533445799956098,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.57036040001549,91.57036040001549,0.001434899982996285,0.09752419998403639,6.0,6.630641600000672,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,98.23718129994813,0.00028089992702007294,0.09739579993765801,104.2535310999956,6.013920399942435,104.50377369998023,104.50377369998023,0.15783559996634722,0.2640585999470204,6.030573899974115,110.5366614999948,110.5366614999948,110.5366614999948,0.09220129996538162,0.197213500039652,116.23683559999336,116.4368907000171,6.030649599968456,6.130687299999408,122.43688159994781,12.030605799984187,122.57018759998027,122.57018759998027,0.030773799982853234,0.13053259998559952,up,1.4372101000044495,124.0330840999959,3.1100003980100155e-05,0.10238300007767975,130.07019559992477,130.07019559992477,0.014712900039739907,0.1191607000073418,2.0,1.9389850000152364,,,,,,,122.53686120000202,122.53686120000202,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.03689839993604,132.03689839993604,0.007505800109356642,0.09932020003907382,2.0,0.8593970999354497,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.9370233999798,132.9370233999798,0.007681199931539595,0.09906159993261099,3.0,2.9260916000930592,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.9035876999842,135.9035876999842,0.006579799926839769,0.09918309992644936,2.0,1.5935540000209585,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.53690589999314,137.53690589999314,0.00760339992120862,0.097719999961555,5.0,1.4245007000863552,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.00357709999662,139.00357709999662,0.007501100073568523,0.09780280000995845,2.0,1.3581714999163523,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.4036021999782,140.4036021999782,0.0067390999756753445,0.09920350008178502,2.0,2.1935204999754205,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.63709510001354,142.63709510001354,0.000732300104573369,0.09942700003739446,6.0,2.6332618999294937,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,145.30357759993058,0.0004986999556422234,0.09715799998957664,151.30362789996434,6.030579900019802,151.53669729991816,151.53669729991816,0.12262300006113946,0.23046530003193766,6.03045329998713,157.60336959990673,157.60336959990673,157.60336959990673,0.0840456000296399,0.19711140007711947,163.3034711999353,163.50345680001192,6.030453099985607,6.130453400081024,169.50347869994584,12.030478100059554,169.63674759992864,169.63674759992864,0.03062650002539158,0.13042190007399768,up,0.5872189999790862,170.27013889991213,2.0600040443241596e-05,0.09924830007366836,176.30363029998261,176.30363029998261,0.028033200069330633,0.13268680009059608,6.0,13.672380100004375,,,,,,,169.60348599997815,169.60348599997815,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.00354339997284,190.00354339997284,0.007963899988681078,0.09785629995167255,2.0,7.957425800035708,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.00360679998994,198.00360679998994,0.008896499988622963,0.09794530004728585,2.0,0.7236874999944121,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.77019449998625,198.77019449998625,0.006897000013850629,0.09926839999388903,2.0,0.8600260999519378,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.68702099996153,199.68702099996153,0.008828599937260151,0.11455459997523576,3.0,1.0404344000853598,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.7534127999097,200.7534127999097,0.006044400040991604,0.09883010003250092,2.0,0.8939415999921039,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.68688930000644,201.68688930000644,0.006634199991822243,0.0991494000190869,2.0,1.0600713000167161,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.7869126999285,202.7869126999285,0.0013677000533789396,0.09758599998895079,6.0,2.197658699937165,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,205.02016750001349,0.00026169989723712206,0.09760519990231842,211.03680180001538,6.0142754999687895,211.20346739992965,211.20346739992965,0.08217589999549091,0.1812019000062719,6.0142370000248775,217.30340799991973,217.30340799991973,217.30340799991973,0.08027529995888472,0.18116250005550683,223.00348239997402,223.2034346999135,6.014305299962871,6.114203599980101,229.20341750001535,12.014282500022091,229.3367586999666,229.3367586999666,0.014472100068815053,0.11426100006792694,down,10.60683499998413,240.00345209997613,6.320001557469368e-05,0.1146796999964863,246.03697589994408,246.03697589994408,0.025609100004658103,0.13120389997493476,2.0,2.439980800030753,,,,,,,229.30339129990898,229.30339129990898,217.20345939998515,217.20345939998515,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.5202362999553,248.5202362999553,0.007955400040373206,0.11419829993974417,3.0,5.4071621999610215,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.95344589999877,253.95344589999877,0.007722300011664629,0.09755259996745735,2.0,1.6574261999921873,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.6703317000065,255.6703317000065,0.007824099971912801,0.11417600000277162,4.0,10.973881799960509,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.68691049993504,266.68691049993504,0.007905100006610155,0.11473569995723665,4.0,3.574428000021726,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.2865180999506,270.2865180999506,0.007234600023366511,0.09803090000059456,3.0,6.491628900053911,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.8369581999723,276.8369581999723,0.0077621000818908215,0.11452679999638349,5.0,2.7075308999046683,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.5701321999077,279.5701321999077,0.0014757000608369708,0.09735379996709526,3.0,16.163884199922904,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
