loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,p_port_9.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,disgust_image.stopped,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,27.289772269874813,0.0005329996347427368,0.1013089008629322,27.69009909965098,27.990252228826286,28.423817198723555,0.003637099638581276,0.1016544010490179,43.44027469865978,15.018034299835563,43.52359819971025,43.52359819971025,0.001493200659751892,0.10138540156185627,space,4.606574302539229,,,,,,,,,,,,,,,,,,3874,Visual,2024-07-15_18h02.49.866,Visual_Condition_v2,2022.2.5,29.974141282397856,
0,0,0,0,,,,,,,,,,,,,,,,,48.190296199172735,0.017786599695682526,0.11514139920473099,54.20696519874036,6.031861498951912,54.673670100048184,0.2440149001777172,0.4984416998922825,6.011592799797654,6.094752099364996,60.39010779932141,0.013352800160646439,0.11509600095450878,0.0,3.3693243991583586,,,3874,Visual,2024-07-15_18h02.49.866,Visual_Condition_v2,2022.2.5,29.974141282397856,
1,0,1,0,,,,,,,,,,,,,,,,,63.79034489952028,0.0007048007100820541,0.09660850092768669,69.80691820010543,6.0132087003439665,69.92359679937363,0.028897101059556007,0.13019530102610588,6.029870800673962,,76.0068660993129,0.015174401924014091,0.1131880022585392,2.0,3.698949199169874,75.92358979955316,,3874,Visual,2024-07-15_18h02.49.866,Visual_Condition_v2,2022.2.5,29.974141282397856,
2,0,2,0,,,,,,,,,,,,,,,,,79.74046509899199,0.00044479966163635254,0.09731939993798733,85.74024109914899,6.03071659989655,85.8903045989573,0.04644320160150528,0.14742919988930225,6.0141091998666525,,91.95686320029199,0.01684660091996193,0.11407820135354996,0.0,1.398029699921608,91.89024470001459,,3874,Visual,2024-07-15_18h02.49.866,Visual_Condition_v2,2022.2.5,29.974141282397856,
3,0,3,0,,,,,,,,,,,,,,,,,93.3903040997684,0.0005994010716676712,0.09692840091884136,99.39040219970047,6.030457900837064,99.523492699489,0.026304500177502632,0.13025390170514584,6.030306700617075,,105.62369609996676,0.03322630189359188,0.1304268017411232,1.0,3.3979406002908945,105.52362900041044,,3874,Visual,2024-07-15_18h02.49.866,Visual_Condition_v2,2022.2.5,29.974141282397856,
4,0,4,0,,,,,,,,,,,,,,,,,109.05711480043828,0.00038709864020347595,0.09782619960606098,115.07367339916527,6.0144913997501135,115.19017300009727,0.029042599722743034,0.1311555989086628,6.031171599403024,,121.2901820000261,0.03365419991314411,0.13127109967172146,0.0,1.1983483992516994,121.19032249972224,,3874,Visual,2024-07-15_18h02.49.866,Visual_Condition_v2,2022.2.5,29.974141282397856,
5,0,5,0,,,,,,,,,,,,,,,,,122.52379509992898,0.00048049911856651306,0.09731649979948997,128.52358189970255,6.030717298388481,128.67369849979877,0.044101299718022346,0.14744949899613857,6.014062900096178,,134.7402389999479,0.015834299847483635,0.11404070071876049,1.0,5.465817499905825,134.6735816001892,,3874,Visual,2024-07-15_18h02.49.866,Visual_Condition_v2,2022.2.5,29.974141282397856,
6,0,6,0,,,,,,,,,,,,,,,,,140.24053059890866,0.00022130087018013,0.09952219948172569,146.25689500011504,6.015659900382161,146.37357509881258,0.03288700059056282,0.13253260031342506,6.032326400279999,,152.4734473992139,0.034830400720238686,0.1321771014481783,1.0,1.6333400011062622,152.37357529997826,,3874,Visual,2024-07-15_18h02.49.866,Visual_Condition_v2,2022.2.5,29.974141282397856,
7,0,7,0,,,,,,,,,,,,,,,,,154.1402732990682,0.00042239949107170105,0.09837639890611172,160.14038909971714,6.03159529902041,160.27345489896834,0.04076549969613552,0.13158410042524338,6.031442999839783,,166.37370749935508,0.03425230085849762,0.13127580098807812,0.0,1.5328337009996176,166.27379119955003,,3874,Visual,2024-07-15_18h02.49.866,Visual_Condition_v2,2022.2.5,29.974141282397856,
8,0,8,0,,,,,,,,,,,,,,,,,167.94049719907343,0.0004965998232364655,0.0973437000066042,173.95685949921608,6.0139905996620655,174.0734110996127,0.02949170023202896,0.13068070076406002,6.03067310154438,,180.17369589954615,0.033791400492191315,0.1306235007941723,3.0,3.964630600064993,180.07356719858944,,3874,Visual,2024-07-15_18h02.49.866,Visual_Condition_v2,2022.2.5,29.974141282397856,
