loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.83800365915522,0.0008709002286195755,0.10844360012561083,21.45333141973242,21.769965999759734,22.03665271960199,22.336632799822837,22.65343291964382,22.969875099603087,22.969875099603087,0.01374500012025237,0.10859260009601712,37.97000109963119,15.008565899915993,38.07005219999701,0.008446299936622381,0.10866789985448122,38.519849399570376,space,1.4260772005654871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7408,Moral,2024-08-24_10h23.12.850,MoralCondition_v2,2022.2.5,29.99738422214667,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,39.98667169967666,0.011777900159358978,0.098441899754107,45.986615099944174,6.031620400026441,46.35309759993106,46.35309759993106,0.22414999967440963,0.3647797000594437,6.031788699794561,52.30338219972327,52.30338219972327,52.30338219972327,0.09280749969184399,0.2150993999093771,58.00331149995327,58.169867099728435,6.01481489976868,6.1149586997926235,64.16997139994055,12.014978499617428,64.3035673997365,64.3035673997365,0.015353499446064234,0.11492689978331327,up,1.3301354004070163,65.6699866997078,3.1200237572193146e-05,0.09795460011810064,71.68672719970345,71.68672719970345,71.68672719970345,0.011504600290209055,0.11480890028178692,5.0,7.371054699644446,,,,,,,,,,,,,,7408,Moral,2024-08-24_10h23.12.850,MoralCondition_v2,2022.2.5,29.99738422214667,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.10349569981918,79.10349569981918,0.011225900147110224,0.11433700006455183,1.0,4.887675600126386,,,,,,,,,,,,,,7408,Moral,2024-08-24_10h23.12.850,MoralCondition_v2,2022.2.5,29.99738422214667,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.03685749974102,84.03685749974102,0.009288399945944548,0.11466680001467466,5.0,2.5064205997623503,,,,,,,,,,,,,,7408,Moral,2024-08-24_10h23.12.850,MoralCondition_v2,2022.2.5,29.99738422214667,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.58708119997755,86.58708119997755,0.01143370009958744,0.11416420014575124,5.0,2.1038278001360595,,,,,,,,,,,,,,7408,Moral,2024-08-24_10h23.12.850,MoralCondition_v2,2022.2.5,29.99738422214667,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.73682679980993,88.73682679980993,0.012635100167244673,0.11389560019597411,4.0,3.7024220996536314,,,,,,,,,,,,,,7408,Moral,2024-08-24_10h23.12.850,MoralCondition_v2,2022.2.5,29.99738422214667,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.48671730002388,92.48671730002388,0.01040229992941022,0.11388029996305704,5.0,4.404682999942452,,,,,,,,,,,,,,7408,Moral,2024-08-24_10h23.12.850,MoralCondition_v2,2022.2.5,29.99738422214667,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.91997499996796,96.91997499996796,0.008720200043171644,0.0982511998154223,2.0,3.890756899956614,,,,,,,,,,,,,,7408,Moral,2024-08-24_10h23.12.850,MoralCondition_v2,2022.2.5,29.99738422214667,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.85319419996813,100.85319419996813,0.0007437998428940773,0.09912699973210692,2.0,10.149556799791753,,,,,,,,7408,Moral,2024-08-24_10h23.12.850,MoralCondition_v2,2022.2.5,29.99738422214667,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,111.03687819978222,0.0003061997704207897,0.11410759994760156,117.05333459982648,6.014130199793726,117.21977259963751,117.21977259963751,0.07797209965065122,0.1805703998543322,6.014112299773842,123.32007289957255,123.32007289957255,123.32007289957255,0.07056579971686006,0.18080259952694178,129.0200099996291,129.21983739966527,6.013947499450296,6.114079099614173,135.22009879956022,12.014267599675804,135.36997789982706,135.36997789982706,0.030891799367964268,0.1307475995272398,up,2.3032142999581993,137.73663749964908,5.279993638396263e-05,0.09781820001080632,143.73646699963138,143.73646699963138,143.73646699963138,0.010897899977862835,0.09772250009700656,2.0,4.155029300134629,,,,,,,123.22010379983112,123.22010379983112,135.30328430002555,135.30328430002555,,,,7408,Moral,2024-08-24_10h23.12.850,MoralCondition_v2,2022.2.5,29.99738422214667,
