loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,p_port_10.stopped,p_port_6.stopped,player_image_intro.stopped,player_name_intro.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,12.247142200125381,0.0007952000014483929,0.10677679989021271,12.845880920044147,13.145734900026582,13.428982719988563,13.729029700043611,14.029284819937311,14.345747799961828,14.345747799961828,0.023660099948756397,0.1236225999891758,29.362336199963465,15.00690909998957,29.462373499991372,0.006928500020876527,0.10685820004437119,29.945728500024416,space,1.2510357999708503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3191,Moral,2025-03-03_13h40.10.665,MoralCondition_v2,2022.2.5,30.005403975980617,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,31.24569120001979,0.001473400043323636,0.09856529999524355,37.245745999971405,6.03188600006979,37.47883949999232,37.47883949999232,0.10307900002226233,0.23168010008521378,6.015068600070663,43.54560950002633,43.54560950002633,43.54560950002633,0.07161250011995435,0.19854310003574938,49.24574959999882,49.44578469998669,6.031899700057693,6.1315204000566155,55.44568240002263,12.031748700072058,55.54562230000738,55.54562230000738,55.57900239992887,55.57900239992887,0.03185790008865297,0.13167170016095042,up,2.193381099961698,57.81239830004051,4.780001472681761e-05,0.09774590004235506,63.82924200000707,63.82924200000707,63.82924200000707,0.010599000030197203,0.11443079996388406,1.0,3.3049785000039265,,,,,,,,,,,3191,Moral,2025-03-03_13h40.10.665,MoralCondition_v2,2022.2.5,30.005403975980617,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.16224700002931,67.16224700002931,0.009426599950529635,0.09917129995301366,4.0,4.290389999980107,,,,,,,,,,,3191,Moral,2025-03-03_13h40.10.665,MoralCondition_v2,2022.2.5,30.005403975980617,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.4954309000168,71.4954309000168,0.009882200043648481,0.09771290002390742,1.0,3.988887299899943,,,,,,,,,,,3191,Moral,2025-03-03_13h40.10.665,MoralCondition_v2,2022.2.5,30.005403975980617,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.5289890000131,75.5289890000131,0.0098911999957636,0.09767419996205717,1.0,0.9889137999853119,,,,,,,,,,,3191,Moral,2025-03-03_13h40.10.665,MoralCondition_v2,2022.2.5,30.005403975980617,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.57902689999901,76.57902689999901,0.009670499945059419,0.11605479998979717,1.0,0.9072950000409037,,,,,,,,,,,3191,Moral,2025-03-03_13h40.10.665,MoralCondition_v2,2022.2.5,30.005403975980617,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.5122123999754,77.5122123999754,0.009569499990902841,0.09829549991991371,1.0,1.5232208999805152,,,,,,,,,,,3191,Moral,2025-03-03_13h40.10.665,MoralCondition_v2,2022.2.5,30.005403975980617,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.07880799996201,79.07880799996201,0.00922889995854348,0.09943549998570234,1.0,2.4577001999132335,,,,,,,,,,,3191,Moral,2025-03-03_13h40.10.665,MoralCondition_v2,2022.2.5,30.005403975980617,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.57897160004359,81.57897160004359,0.0013977999333292246,0.09775029995944351,4.0,3.664268600055948,,,,,3191,Moral,2025-03-03_13h40.10.665,MoralCondition_v2,2022.2.5,30.005403975980617,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,85.27931709995028,0.0001404000213369727,0.0990178999491036,91.27891799993813,6.032391199958511,91.512023499934,91.512023499934,0.12627100001554936,0.23229269997682422,6.032345299958251,97.57883619994391,97.57883619994391,97.57883619994391,0.0914180000545457,0.19906020001508296,103.27884809998795,103.44554390001576,6.03227990004234,6.13244630000554,109.44556799996644,11.999027400044724,109.57888599997386,109.57888599997386,109.57888599997386,109.57888599997386,-3.569992259144783e-05,0.098918900010176,up,0.5781156999291852,110.17510410002433,3.620004281401634e-05,0.10036060004495084,116.19551310001407,116.19551310001407,116.19551310001407,0.03370819997508079,0.13371389999520034,1.0,1.7737797999288887,,,,,,,12.09896299999673,,,,3191,Moral,2025-03-03_13h40.10.665,MoralCondition_v2,2022.2.5,30.005403975980617,
