loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_10.stopped,Instructions_Affinity_Score.stopped,p_port_6.stopped,p_port_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.50981165813282,0.0008323001675307751,0.11025239992886782,15.108413640223443,15.425084300339222,15.725328340008854,16.025111200287938,16.308404640108346,16.62502280017361,16.62502280017361,0.02698149997740984,0.12696370016783476,31.62504980014637,15.027027899865061,31.758376500103623,0.02716560009866953,0.1269791000522673,32.225121000315994,space,2.1930048996582627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
6,0,6,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.69114510016516,453.69114510016516,0.008208099752664566,0.11441579973325133,3.0,3.2071045003831387,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
6,0,6,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.9242920000106,456.9242920000106,0.007646099664270878,0.09849929995834827,6.0,2.625308300368488,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
6,0,6,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.60791910020635,459.60791910020635,0.007970099803060293,0.1149205002002418,5.0,2.407758899964392,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.0409470000304,462.0409470000304,0.0012604999355971813,0.09784290008246899,1.0,8.43106810003519,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
7,0,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,470.50782850012183,0.0002617998979985714,0.09779189992696047,476.5073891002685,6.014385099988431,476.67419590009376,476.67419590009376,0.05894399993121624,0.1646837000735104,6.031242599710822,482.8074819003232,482.8074819003232,482.8074819003232,0.09578749956563115,0.1979842996224761,488.50753920013085,488.7077411999926,6.031332699581981,6.131057499907911,494.7075505000539,12.031161699909717,494.84088240005076,494.84088240005076,0.031244799494743347,0.1310489997267723,up,1.3848918001167476,496.27417240012437,4.42001037299633e-05,0.09784410009160638,502.3074293001555,502.3074293001555,0.024919299874454737,0.13128789979964495,3.0,4.70732680009678,,,,,,,482.6742044999264,482.6742044999264,494.8075084001757,494.8075084001757,,,6.097591300029308,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
7,0,7,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.04080750001594,507.04080750001594,0.007065599784255028,0.09757139999419451,7.0,2.191510799806565,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
7,0,7,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.2745294002816,509.2745294002816,0.007399499882012606,0.09780990006402135,2.0,2.924884899985045,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
7,0,7,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.2409940999933,512.2409940999933,0.007943300064653158,0.09758449997752905,4.0,2.0572827998548746,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
7,0,7,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514.3407836002298,514.3407836002298,0.006549700163304806,0.09935820009559393,1.0,2.2604180998168886,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
7,0,7,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.65775270015,516.65775270015,0.007685399614274502,0.11431359965354204,5.0,2.70763670001179,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
7,0,7,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.4074528003111,519.4074528003111,0.009756300132721663,0.1138387001119554,3.0,1.6385608999989927,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.0740717002191,521.0740717002191,0.0006964998319745064,0.09898369992151856,7.0,3.69997589988634,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
8,0,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,524.8076078002341,0.0002318001352250576,0.09803389990702271,530.824069400318,6.014680200256407,530.990896299947,530.990896299947,0.06824679998680949,0.18155100010335445,6.014679700136185,537.0907523999922,537.0907523999922,537.0907523999922,0.069737299811095,0.18159070005640388,542.7906552003697,542.9905741000548,6.014560499694198,6.114757299888879,548.9907716000453,12.01476169982925,549.1240596002899,549.1240596002899,0.015063099563121796,0.11460689967498183,up,1.7735725999809802,550.9573327000253,9.009987115859985e-05,0.09778330009430647,556.9741134000942,556.9741134000942,0.008810000028461218,0.11452919989824295,1.0,3.8402708997018635,,,,,,,536.9907149001956,536.9907149001956,549.090861600358,549.090861600358,,556.9741134000942,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
8,0,8,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.8405230999924,560.8405230999924,0.00662590004503727,0.09903260041028261,5.0,2.593463699799031,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
8,0,8,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.4738472001627,563.4738472001627,0.007530800066888332,0.09803260024636984,6.0,2.3916058000177145,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
8,0,8,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.9071332002059,565.9071332002059,0.007980199996381998,0.09768590005114675,3.0,2.0574781000614166,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
8,0,8,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.0073158000596,568.0073158000596,0.0074177999049425125,0.09864989994093776,5.0,2.85885399999097,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
8,0,8,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.9073715000413,570.9073715000413,0.008764599915593863,0.09922719979658723,7.0,1.8913368000648916,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
8,0,8,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.8406487000175,572.8406487000175,0.006634300108999014,0.09912749985232949,4.0,1.7939150999300182,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.6740782000124,574.6740782000124,0.0015957001596689224,0.0975339999422431,1.0,4.413396100047976,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
9,0,9,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,579.123752400279,9.0000219643116e-05,0.0992959002032876,585.1239050002769,5.9995180000551045,585.2906062002294,585.2906062002294,0.060714200139045715,0.16614599991589785,5.999498600140214,591.3905235002749,591.3905235002749,591.3905235002749,0.06040279986336827,0.1663930001668632,597.0904882000759,597.2905919002369,5.999624600168318,6.09930509980768,603.2905582003295,11.999571499880403,603.4239231999964,603.4239231999964,0.00047319987788796425,0.09946539998054504,up,1.9062170996330678,605.390469700098,6.109988316893578e-05,0.09782030014321208,611.390485400334,611.390485400334,0.009312199894338846,0.09801309974864125,7.0,3.9895155001431704,,,,,,,591.2905264003202,591.2905264003202,603.3906741002575,603.3906741002575,12.099688199814409,611.390485400334,6.099597100168467,6.099553900305182,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
9,0,9,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615.4237486999482,615.4237486999482,0.006832600105553865,0.09921230003237724,5.0,2.2931772000156343,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
9,0,9,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617.7573063001037,617.7573063001037,0.006639800034463406,0.09938029991462827,2.0,2.0935853999108076,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
9,0,9,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.8904862999916,619.8904862999916,0.0074269999749958515,0.09786320012062788,3.0,1.6584661998786032,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
9,0,9,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.5903703002259,621.5903703002259,0.005921500269323587,0.09912830032408237,3.0,1.9609925001859665,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
9,0,9,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623.6073910999112,623.6073910999112,0.008413299918174744,0.11451799981296062,4.0,2.4738528998568654,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
9,0,9,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.1071088002063,626.1071088002063,0.008151100017130375,0.09917049994692206,2.0,4.192032000049949,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630.3405559002422,630.3405559002422,0.0014180000871419907,0.09749409975484014,7.0,5.064252799842507,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
10,0,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,635.440682400018,0.00028880033642053604,0.09804960014298558,641.4403601000085,6.031279500108212,641.640538699925,641.640538699925,0.08892080001533031,0.19788350025191903,6.031323499977589,647.7404240001924,647.7404240001924,647.7404240001924,0.08870980003848672,0.19807659974321723,653.440334000159,653.640450600069,6.031404700130224,6.13121460005641,659.6404067003168,12.031325099989772,659.7737370003015,659.7737370003015,0.03161039995029569,0.13112480007112026,up,4.164162999484688,663.9902737000957,4.6700239181518555e-05,0.09794670017436147,669.9901614002883,669.9901614002883,0.007070400286465883,0.09804440010339022,6.0,4.658447899855673,,,,,,,647.6403149003163,647.6403149003163,659.740476500243,659.740476500243,,669.9901614002883,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
10,0,10,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.6901273000985,674.6901273000985,0.006593800149857998,0.09917200030758977,5.0,1.8602788001298904,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
10,0,10,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676.5902288001962,676.5902288001962,0.0066247000358998775,0.09910180000588298,3.0,2.3934217002242804,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
10,0,10,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679.0234819999896,679.0234819999896,0.006759399548172951,0.09940979955717921,7.0,1.8940717997029424,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
10,0,10,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.9568767999299,680.9568767999299,0.007827400229871273,0.09778230031952262,4.0,1.8576251999475062,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
10,0,10,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682.8738461001776,682.8738461001776,0.008256800007075071,0.11449710000306368,5.0,1.4738866002298892,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
10,0,10,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.37345500011,684.37345500011,0.007347399834543467,0.09790629986673594,1.0,1.7583134998567402,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686.1734734000638,686.1734734000638,0.001871899701654911,0.09749529976397753,1.0,2.496960800141096,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
11,0,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,688.707080299966,0.0002280999906361103,0.09795469976961613,694.7234797999263,6.014632099773735,694.8903292999603,694.8903292999603,0.07151079969480634,0.1815001997165382,6.0146165997721255,700.9900881000794,700.9900881000794,700.9900881000794,0.07244209945201874,0.18140089977532625,706.690287400037,706.890239499975,6.014756199438125,6.114575199782848,712.890123500023,12.014575999695808,713.0234582000412,713.0234582000412,0.014793499372899532,0.1145395995117724,up,2.2741693002171814,715.3567453003488,5.779974162578583e-05,0.09798699989914894,721.3732616002671,721.3732616002671,0.025460599921643734,0.11441139969974756,5.0,2.7567060999572277,,,,,,,700.8901219000109,700.8901219000109,712.9901670999825,712.9901670999825,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
11,0,11,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724.190028199926,724.190028199926,0.00971710029989481,0.11466090008616447,5.0,1.6725953998975456,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
11,0,11,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725.8900677999482,725.8900677999482,0.007422199938446283,0.09777439991012216,7.0,1.6912730000913143,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
11,0,11,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727.6235120003112,727.6235120003112,0.006590600125491619,0.09951920015737414,4.0,1.5936012999154627,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
11,0,11,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729.2566988002509,729.2566988002509,0.008818599861115217,0.09749269997701049,1.0,1.9897823999635875,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
11,0,11,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731.2901868000627,731.2901868000627,0.0060085998848080635,0.09729430032894015,3.0,2.426045199856162,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
11,0,11,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733.7736593000591,733.7736593000591,0.008194699883460999,0.11426619999110699,5.0,1.540798299945891,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735.3400779999793,735.3400779999793,0.0013659000396728516,0.0974477999843657,1.0,3.3641323996707797,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
12,0,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,738.740324200131,0.00024140020832419395,0.09849689994007349,744.7566591002978,6.014880700036883,744.9232331002131,744.9232331002131,0.06912449980154634,0.1817521001212299,6.01493649976328,751.0235548000783,751.0235548000783,751.0235548000783,0.06824309984222054,0.18175720004364848,756.7235042001121,756.923282600008,6.014900699723512,6.114919099956751,762.9232923001982,12.014940799679607,763.0565965003334,763.0565965003334,0.015073999762535095,0.11499109957367182,up,2.1934316996484995,765.2899306002073,4.2300205677747726e-05,0.09760050009936094,771.3067602002993,771.3067602002993,0.02381720021367073,0.1142416000366211,3.0,3.5247910995967686,,,,,,,750.9234385001473,750.9234385001473,763.023317000363,763.023317000363,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
12,0,12,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.8732406999916,774.8732406999916,0.007177100051194429,0.09793120017275214,6.0,2.625399800017476,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
12,0,12,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777.5399711001664,777.5399711001664,0.006376100238412619,0.09920490020886064,1.0,2.3268550001084805,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
12,0,12,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779.9232863001525,779.9232863001525,0.008289999794214964,0.11415900010615587,3.0,1.7733346000313759,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
12,0,12,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781.723242000211,781.723242000211,0.007647600024938583,0.09774920018389821,4.0,2.024637999944389,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
12,0,12,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783.78975490015,783.78975490015,0.00757679995149374,0.09780590003356338,3.0,2.35791390016675,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
12,0,12,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786.2067948002368,786.2067948002368,0.00795480003580451,0.11422060010954738,3.0,4.80751289986074,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791.0397988003679,791.0397988003679,0.000692400150001049,0.09924460016191006,7.0,5.466418199706823,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
13,0,13,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,796.5399371003732,0.0005788998678326607,0.09714929992333055,802.55649860017,6.0138129000552,802.72302830033,802.72302830033,0.07425240008160472,0.18046859977766871,6.013881400227547,808.8231117003597,808.8231117003597,808.8231117003597,0.07345680007711053,0.18056129990145564,814.5230885003693,814.7229977999814,6.013652000110596,6.113765200134367,820.7232917002402,12.013996299821883,820.8564321999438,820.8564321999438,0.013987999875098467,0.11374019971117377,up,2.1698685996234417,823.0897590001114,2.3599714040756226e-05,0.09902679966762662,829.1067629000172,829.1067629000172,0.010210899636149406,0.1156072998419404,3.0,5.706802200060338,,,,,,,808.7230990999378,808.7230990999378,820.8230781001039,820.8230781001039,,829.1067629000172,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
13,0,13,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834.8395301001146,834.8395301001146,0.0065393997356295586,0.09924519993364811,3.0,4.493842199910432,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
13,0,13,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839.3729135002941,839.3729135002941,0.007510200142860413,0.09800750017166138,2.0,2.658230200409889,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
13,0,13,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842.0729267001152,842.0729267001152,0.007678200025111437,0.09764189971610904,7.0,1.7574284998700023,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
13,0,13,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843.8730040001683,843.8730040001683,0.00776199996471405,0.0982371000573039,3.0,1.8244223999790847,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
13,0,13,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845.7397475000471,845.7397475000471,0.007666099816560745,0.0980869997292757,1.0,2.0579220997169614,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
13,0,13,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847.8395010000095,847.8395010000095,0.007329199928790331,0.09821499977260828,4.0,1.8252631002105772,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849.7063242001459,849.7063242001459,0.0014006001874804497,0.09780940040946007,7.0,2.6641965000890195,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
14,0,14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,852.4065387002192,0.0003403997980058193,0.09737950004637241,858.4229863001965,6.0140287997201085,858.5897842003033,858.5897842003033,0.07162889977917075,0.18079879973083735,6.014041599817574,864.6896080002189,864.6896080002189,864.6896080002189,0.06862759962677956,0.18088299967348576,870.3895638999529,870.5896242000163,6.014031499624252,6.114048599731177,876.5895854001865,12.014021699782461,876.7230062000453,876.7230062000453,0.01427319971844554,0.11391969956457615,up,1.646469899918884,878.4229859001935,3.7800054997205734e-05,0.09829699993133545,884.423036900349,884.423036900349,0.00618709996342659,0.09817310003563762,5.0,5.392821699846536,,,,,,,864.5728106000461,864.5728106000461,876.6897145002149,876.6897145002149,,884.423036900349,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
14,0,14,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889.8561464003287,889.8561464003287,0.008181999903172255,0.09752709977328777,6.0,2.2902414998970926,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
