loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_10.stopped,Instructions_Affinity_Score.stopped,p_port_6.stopped,p_port_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.50981165813282,0.0008323001675307751,0.11025239992886782,15.108413640223443,15.425084300339222,15.725328340008854,16.025111200287938,16.308404640108346,16.62502280017361,16.62502280017361,0.02698149997740984,0.12696370016783476,31.62504980014637,15.027027899865061,31.758376500103623,0.02716560009866953,0.1269791000522673,32.225121000315994,space,2.1930048996582627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.00816700002179,134.00816700002179,0.006676100194454193,0.09938340028747916,6.0,6.093663400039077,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.14166470011696,140.14166470011696,0.008428100030869246,0.09810790000483394,5.0,3.257304299622774,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.45858020009473,143.45858020009473,0.0074720000848174095,0.11419630004093051,7.0,2.5744369998574257,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.05829850025475,146.05829850025475,0.007535399869084358,0.0979426996782422,5.0,3.024487500078976,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.12490339996293,149.12490339996293,0.0075737000443041325,0.0978163001127541,5.0,3.0578999002464116,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.2249386999756,152.2249386999756,0.006472200155258179,0.0994522999972105,1.0,3.493622399866581,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.75830590026453,155.75830590026453,0.0013880999758839607,0.09764439985156059,1.0,3.5973455999046564,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,159.39155970001593,0.0004042000509798527,0.09723640000447631,165.39179260004312,6.030752600170672,165.59151920024306,165.59151920024306,0.09065819997340441,0.19737649988383055,6.030344200320542,171.69171150028706,171.69171150028706,171.69171150028706,0.0852101999334991,0.19700819998979568,177.3915715003386,177.59155100025237,6.03050719993189,6.130286999978125,183.59161869995296,12.03059250023216,183.69140470027924,183.69140470027924,0.01372430007904768,0.09681050013750792,up,2.727019799873233,186.45814200025052,1.7900019884109497e-05,0.09926580032333732,192.45850510010496,192.45850510010496,0.0076303002424538136,0.09941780008375645,1.0,5.026091399602592,,,,,,,171.59169650031254,171.59169650031254,183.674785700161,183.674785700161,,192.45850510010496,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.5247297002934,197.5247297002934,0.006891800090670586,0.0990857002325356,5.0,3.56025019986555,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.1248413999565,201.1248413999565,0.00648139975965023,0.09921179991215467,3.0,1.960907300002873,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
