loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,disgust_image.stopped,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
22,0,22,0,,,,,,,,,,,,,,,,,,366.9785718000494,0.0005048000020906329,0.09733360004611313,372.9783461999614,6.030468499986455,373.094928800012,0.025403300067409873,0.1137427999638021,6.013735000044107,379.1784747999627,0.030623900005593896,0.13038420001976192,1.0,1.3335643999744207,379.0784024000168,,6.097015000064857,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
23,0,23,0,,,,,,,,,,,,,,,,,,380.54520010005217,0.00022099993657320738,0.09908559999894351,386.54497579997405,5.999068800010718,386.66168550006114,0.01591379998717457,0.11554140003863722,6.015799499931745,392.76149089995306,0.018633199972100556,0.1156108999857679,0.0,1.4314445999916643,392.6616611999925,6.099101800005883,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
24,0,24,0,,,,,,,,,,,,,,,,,,394.22858250001445,0.0004800999304279685,0.09709789999760687,400.2114933000412,6.013600499951281,400.6114598000422,0.2792219999246299,0.38033529999665916,6.013474199920893,406.42446680006105,0.012468000059016049,0.13085790001787245,1.0,0.9853307000594214,,6.097169599961489,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
25,0,25,0,,,,,,,,,,,,,,,,,,407.46143130003475,0.00024319998919963837,0.0987322999862954,413.4447477000067,6.0154835999710485,413.61160379997455,0.0526783000677824,0.14878859999589622,6.032116000074893,419.678154299967,0.016350800055079162,0.11547960003372282,0.0,1.133409700007178,419.61134189995937,6.098864300060086,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
26,0,26,0,,,,,,,,,,,,,,,,,,420.84486780001316,0.00041229999624192715,0.09864860004745424,426.82822909997776,6.015559800085612,427.0117055999581,0.04677990009076893,0.16525310010183603,6.031858000089414,433.06146290001925,0.01601640006992966,0.1154149001231417,1.0,0.8669911000179127,432.9948756999802,,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
27,0,27,0,,,,,,,,,,,,,,,,,,433.96130500000436,0.00018969993107020855,0.09878199989907444,439.94468079996295,6.015500099980272,440.0781381999841,0.015477599925361574,0.11549509991891682,6.03217279992532,446.1780834000092,0.016287700040265918,0.11552290001418442,2.0,2.2002623999724165,446.07793779997155,6.098864999949001,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
28,0,28,0,,,,,,,,,,,,,,,,,,448.4113686999772,0.00022389995865523815,0.09915859997272491,454.3945626000641,6.015395099995658,454.5446331000421,0.04426019999664277,0.13247409998439252,5.999052900006063,460.611305700033,-0.0002576999831944704,0.0987707000458613,2.0,2.5333327000262216,460.5279376000399,6.098774699959904,6.098891800036654,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
29,0,29,0,,,,,,,,,,,,,,,,,,463.17810779996216,0.0002623000182211399,0.09885289997328073,469.17794359999243,6.015606399974786,469.27803419996053,0.005691800033673644,0.09892040002159774,6.015484500094317,475.3781197000062,4.5000109821558e-05,0.09899660001974553,1.0,16.0330444999272,475.26123709999956,6.098758600070141,6.09880170004908,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
30,0,30,0,,,,,,,,,,,,,,,,,,491.4447369000409,0.0001748999347910285,0.09875699994154274,497.4409727000166,6.011732699931599,497.561315100058,0.017375399940647185,0.11537999997381121,6.015463700052351,503.64453910000157,-0.0002490000333636999,0.09871599997859448,0.0,1.26684940000996,503.54456109995954,6.095130799920298,6.098611199995503,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
31,0,31,0,,,,,,,,,,,,,,,,,,504.944977200008,0.00016709999181330204,0.09882710000965744,510.92778569995426,5.999017600086518,511.0242999000475,0.01207830011844635,0.09532670001499355,6.01548990001902,517.1446506000357,-0.00017949985340237617,0.09888280008453876,3.0,3.9335949000669643,517.0111888999818,6.082220200099982,6.0990104001248255,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
