loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,12.129797410336323,0.0007272001821547747,0.09714350011199713,12.54508710000664,12.811541490140371,13.244890400208533,0.015968899941071868,0.11372029990889132,28.26163990003988,15.03035550005734,28.361646400066093,28.361646400066093,0.03047639993019402,0.1303280999418348,space,2.752463100012392,,,,,,,,,,,,,,,,,,679,Visual,2024-09-24_16h40.00.404,Visual_Condition_v2,2022.2.5,29.946996807680915,
0,0,0,0,,,,,,,,,,,,,,,,,31.17828750004992,0.001712100114673376,0.09837190015241504,37.194923400180414,6.014963899971917,37.34499900019728,0.05794720002450049,0.1649845999199897,6.031581899849698,43.34490780020133,43.411455400055274,0.03427929989993572,0.13163269986398518,1.0,1.4816157000605017,,,679,Visual,2024-09-24_16h40.00.404,Visual_Condition_v2,2022.2.5,29.946996807680915,
1,0,1,0,,,,,,,,,,,,,,,,,44.928466600133106,0.0005954001098871231,0.09723660000599921,50.94493730016984,6.013883800012991,51.06147489999421,0.04017309984192252,0.1305638998746872,6.030498699983582,57.06155120022595,57.16145450016484,0.03312939987517893,0.1304411997552961,0.0,2.2316855997778475,,,679,Visual,2024-09-24_16h40.00.404,Visual_Condition_v2,2022.2.5,29.946996807680915,
2,0,2,0,,,,,,,,,,,,,,,,,59.42845870018937,0.00025839987210929394,0.09929659985937178,65.42821660009213,5.999156199861318,65.54469930008054,0.024768399773165584,0.11594049981795251,6.015830899821594,71.54482880001888,71.6446935001295,0.018665599636733532,0.11595319979824126,2.0,1.8981002001091838,6.099143899977207,,679,Visual,2024-09-24_16h40.00.404,Visual_Condition_v2,2022.2.5,29.946996807680915,
3,0,3,0,,,,,,,,,,,,,,,,,73.57846320001408,0.0002609000075608492,0.09940850012935698,79.57812810014002,5.999214899959043,79.6947682001628,0.021101400023326278,0.11596450000070035,6.0159090999513865,85.69482340011746,85.7946702002082,0.01833019987680018,0.11567099997773767,1.0,1.3318162001669407,6.0991857999470085,,679,Visual,2024-09-24_16h40.00.404,Visual_Condition_v2,2022.2.5,29.946996807680915,
4,0,4,0,,,,,,,,,,,,,,,,,87.16166630014777,0.0004228998441249132,0.09760529990307987,93.16133020003326,6.030734299914911,93.3113893000409,0.04530269978567958,0.14747719978913665,6.01417119987309,99.31143620004877,99.37793160020374,0.016728799790143967,0.11397139984183013,0.0,1.3316207001917064,,,679,Visual,2024-09-24_16h40.00.404,Visual_Condition_v2,2022.2.5,29.946996807680915,
5,0,5,0,,,,,,,,,,,,,,,,,100.74477190012112,0.0007229000329971313,0.0964434000197798,106.74475560011342,6.029889799887314,106.9113177000545,0.06554729980416596,0.16316139977425337,6.029783699894324,112.91137190000154,112.96123800007626,0.015629899688065052,0.11299399985000491,2.0,1.2983669999521226,,,679,Visual,2024-09-24_16h40.00.404,Visual_Condition_v2,2022.2.5,29.946996807680915,
6,0,6,0,,,,,,,,,,,,,,,,,114.29493040009402,0.0005445999559015036,0.09720920003019273,120.29468530020677,6.0305661000311375,120.44453490013257,0.054510399932041764,0.14723749994300306,6.013826499925926,126.44471360021271,126.51152120018378,0.01531489985063672,0.11401479970663786,0.0,1.3999140998348594,,,679,Visual,2024-09-24_16h40.00.404,Visual_Condition_v2,2022.2.5,29.946996807680915,
7,0,7,0,,,,,,,,,,,,,,,,,127.94487860007212,0.0004813999403268099,0.09729729988612235,133.96132160001434,6.013970899861306,134.14455890003592,0.0939502997789532,0.19727709982544184,6.030610099900514,140.14464190020226,140.1779280002229,0.03353419969789684,0.1305234997998923,0.0,0.997914400184527,,,679,Visual,2024-09-24_16h40.00.404,Visual_Condition_v2,2022.2.5,29.946996807680915,
8,0,8,0,,,,,,,,,,,,,,,,,141.21164240012877,0.0006874001119285822,0.09704130003228784,147.21128130005673,6.030415900051594,147.44497920013964,0.09893790003843606,0.2304463000036776,6.030316599877551,,153.4445094000548,0.03306939988397062,0.13024009997025132,0.0,0.8982145001646131,,,679,Visual,2024-09-24_16h40.00.404,Visual_Condition_v2,2022.2.5,29.946996807680915,
