loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,p_port_8.stopped,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,p_port_10.stopped,player_image_intro.stopped,player_name_intro.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.43005889980122,153.43005889980122,0.0079797999933362,0.11397349974140525,3.0,2.3739936999045312,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.82977299997583,155.82977299997583,0.0071991002187132835,0.0992292002774775,5.0,4.359738800209016,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.22986690001562,160.22986690001562,0.007306100334972143,0.09755859989672899,2.0,4.158044800162315,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.4298418997787,164.4298418997787,0.006730999797582626,0.099471400026232,2.0,1.393628400284797,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.879990699701,165.879990699701,0.008720300160348415,0.11402830015867949,2.0,2.7061725999228656,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.6133507997729,168.6133507997729,0.006548899691551924,0.09844629978761077,2.0,2.9262300999835134,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.57996119977906,171.57996119977906,0.0007243999280035496,0.0992791997268796,6.0,5.3995409002527595,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,177.01340129971504,0.0003569996915757656,0.0973311997950077,183.01313589978963,6.03067829972133,183.21297809993848,183.21297809993848,0.08985579991713166,0.19731579953804612,6.030628899578005,,189.31326059997082,189.31326059997082,189.31326059997082,0.09495669975876808,0.19732309971004725,195.01321360003203,195.21318130008876,6.030730999540538,6.130743499845266,201.2131024999544,12.030674799811095,201.34644929971546,201.34644929971546,0.03080299962311983,0.1306469994597137,down,0.5050085000693798,201.91309309983626,4.300009459257126e-05,0.09823979996144772,207.93006689986214,207.93006689986214,207.93006689986214,0.010447400156408548,0.11499570030719042,5.0,5.005417199805379,,,,,,,201.31310579972342,201.31310579972342,,189.213379799854,189.213379799854,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.97987410007045,212.97987410007045,0.007979100104421377,0.11420589964836836,3.0,3.5073366002179682,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.51329279970378,216.51329279970378,0.008450400084257126,0.0975558003410697,4.0,3.890027899760753,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
