loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,9.285997520014643,0.000559699721634388,0.09996269969269633,9.967990419873967,10.401245800312608,10.401245800312608,0.0010230997577309608,0.09983549965545535,25.401457900181413,15.000054499600083,25.50131190009415,25.50131190009415,0.0001688995398581028,0.11667339969426394,space,2.264319300185889,,,,,,,,,,,,,,,,,666,Visual,2024-09-04_17h36.32.640,Visual_Condition_v2,2022.2.5,59.98357652531688,
0,0,0,0,,,,,,,,,,,,,,,,,27.818026900291443,0.0023067002184689045,0.09854200016707182,33.81846219999716,6.032386499922723,33.967893599998206,0.05157840019091964,0.14880360011011362,6.015256599988788,39.968225200194865,40.034639900084585,0.017923899926245213,0.11516800010576844,2.0,2.064976299647242,,666,Visual,2024-09-04_17h36.32.640,Visual_Condition_v2,2022.2.5,59.98357652531688,
1,0,1,0,,,,,,,,,,,,,,,,,42.13487059995532,0.00022689998149871826,0.09920080006122589,48.1513632000424,6.015905500389636,48.267953500151634,0.038943900261074305,0.13263730006292462,5.9992869002744555,54.26811750000343,54.33465760014951,0.00261749979108572,0.09921160014346242,2.0,2.530855900142342,6.099254900123924,666,Visual,2024-09-04_17h36.32.640,Visual_Condition_v2,2022.2.5,59.98357652531688,
2,0,2,0,,,,,,,,,,,,,,,,,56.90166010009125,0.00023330003023147583,0.09900279995054007,62.90126030007377,5.999134600162506,63.03472510026768,0.030556699726730585,0.13218689989298582,6.032373699825257,69.0348673001863,69.13460500026122,0.035183599684387445,0.1322953999042511,2.0,2.5648093996569514,,666,Visual,2024-09-04_17h36.32.640,Visual_Condition_v2,2022.2.5,59.98357652531688,
,,,,,,,,,,,,,,,,,,,,71.73495530011132,0.0005755997262895107,0.0967391999438405,,,,,,,,,,,,,,,,,,,,
