loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,p_port_6.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,18.41530992463231,0.0008447989821434021,0.10352119989693165,18.717044798657298,19.033752668648958,19.350500298663974,19.617140170186758,19.91714959964156,20.217143669724464,20.550293998792768,0.006197400391101837,0.10387410037219524,35.550444699823856,15.00372519902885,35.65048489905894,0.003771800547838211,0.10365420021116734,36.117157800123096,space,1.387033300474286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9206,Moral,2024-07-03_14h08.00.012,MoralCondition_v2,2022.2.5,29.99430719776782,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,37.55045400001109,0.0014526993036270142,0.09838869981467724,43.56708540022373,6.015065899118781,43.76696129888296,43.76696129888296,0.08428329974412918,0.21513030119240284,6.015074901282787,49.867277700454,49.867277700454,49.867277700454,0.07875240035355091,0.2151757013052702,55.567108700051904,55.73380599915981,6.015092801302671,6.114892300218344,61.733746299520135,12.015026001259685,61.86713559925556,61.86713559925556,0.015221601352095604,0.11502260155975819,up,3.4606125000864267,65.36710510030389,4.6798959374427795e-05,0.09762899950146675,71.38377830013633,71.38377830013633,71.38377830013633,0.008463598787784576,0.11450459994375706,1.0,14.590260399505496,,,,,,,,,,,,,,9206,Moral,2024-07-03_14h08.00.012,MoralCondition_v2,2022.2.5,29.99430719776782,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.00047140009701,86.00047140009701,0.007478600367903709,0.09780989959836006,3.0,21.958134500309825,,,,,,,,,,,,,,9206,Moral,2024-07-03_14h08.00.012,MoralCondition_v2,2022.2.5,29.99430719776782,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0004120003432,108.0004120003432,0.007083099335432053,0.09922009892761707,1.0,5.726350700482726,,,,,,,,,,,,,,9206,Moral,2024-07-03_14h08.00.012,MoralCondition_v2,2022.2.5,29.99430719776782,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.76697219908237,113.76697219908237,0.008233500644564629,0.09829500131309032,4.0,9.257094798609614,,,,,,,,,,,,,,9206,Moral,2024-07-03_14h08.00.012,MoralCondition_v2,2022.2.5,29.99430719776782,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.06695099920034,123.06695099920034,0.007609399035573006,0.0981162991374731,5.0,26.524684699252248,,,,,,,,,,,,,,9206,Moral,2024-07-03_14h08.00.012,MoralCondition_v2,2022.2.5,29.99430719776782,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.6335287000984,149.6335287000984,0.007416499778628349,0.09784699976444244,1.0,4.858307098969817,,,,,,,,,,,,,,9206,Moral,2024-07-03_14h08.00.012,MoralCondition_v2,2022.2.5,29.99430719776782,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.55054379999638,154.55054379999638,0.008082099258899689,0.1141101997345686,5.0,14.773747401311994,,,,,,,,,,,,,,9206,Moral,2024-07-03_14h08.00.012,MoralCondition_v2,2022.2.5,29.99430719776782,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.35045919939876,169.35045919939876,0.0007128007709980011,0.09903430007398129,6.0,24.099588500335813,,,,,,,,9206,Moral,2024-07-03_14h08.00.012,MoralCondition_v2,2022.2.5,29.99430719776782,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,193.48384200036526,0.00013639964163303375,0.09941659867763519,199.48349219933152,5.999277599155903,199.65015359967947,199.65015359967947,0.06095249950885773,0.16585099883377552,5.999293299391866,205.75043769925833,205.75043769925833,205.75043769925833,0.0614583995193243,0.16571030020713806,211.4502392988652,211.68377609923482,5.9994977992028,6.09934419952333,217.6835340000689,11.999243600293994,217.7837355993688,217.7837355993688,0.00012969970703125,0.09912200085818768,up,15.104528499767184,232.9503629989922,5.139969289302826e-05,0.09764550067484379,,238.98374669998884,238.98374669998884,0.027025500312447548,0.13075260072946548,5.0,8.804974699392915,,,,,,,6.099132100120187,205.65047490037978,205.65047490037978,6.099406000226736,217.75037239864469,217.75037239864469,12.099333500489593,9206,Moral,2024-07-03_14h08.00.012,MoralCondition_v2,2022.2.5,29.99430719776782,
