loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,p_port_6.stopped,player_image_offer.stopped,player_name_offer.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,29.387100492045285,0.0009123999625444412,0.11537500098347664,29.719355199486017,29.9858508002013,30.285914599895477,30.602652799710633,30.919253800064325,31.169468300789596,31.502545399591327,31.502545399591327,0.03218560107052326,0.1322563011199236,46.50271479971707,14.999013500288129,15.098941400647163,46.60263670049608,-0.0002814978361129761,0.0990345012396574,47.10261690057814,space,2.9562366977334023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4417,Moral,2024-07-15_11h27.03.111,MoralCondition_v2,2022.2.5,30.0165992568619,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,50.1195254009217,0.018128199502825737,0.11534970067441463,56.11934299953282,6.015148999169469,56.36917310021818,56.36917310021818,0.12303150072693825,0.2652634996920824,6.031859900802374,62.436011999845505,62.436011999845505,62.436011999845505,0.09786930121481419,0.23180600069463253,68.13591660000384,68.30270140059292,6.031930301338434,6.132072100415826,74.30280680023134,12.032083800062537,74.41895359940827,74.41895359940827,0.03167640045285225,0.11511410027742386,up,2.8950892984867096,77.369389699772,7.42003321647644e-05,0.09533379971981049,83.40267189964652,83.40267189964652,83.40267189964652,0.014898400753736496,0.12838800065219402,1.0,14.28146650083363,,,,,,,,,,,,,,4417,Moral,2024-07-15_11h27.03.111,MoralCondition_v2,2022.2.5,30.0165992568619,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.71949890069664,97.71949890069664,0.009064000099897385,0.114435700699687,1.0,5.639838999137282,,,,,,,,,,,,,,4417,Moral,2024-07-15_11h27.03.111,MoralCondition_v2,2022.2.5,30.0165992568619,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.38584610074759,103.38584610074759,0.008821399882435799,0.09921589866280556,1.0,2.7914298996329308,,,,,,,,,,,,,,4417,Moral,2024-07-15_11h27.03.111,MoralCondition_v2,2022.2.5,30.0165992568619,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.23622590117157,106.23622590117157,0.009603101760149002,0.11558240093290806,1.0,0.9071530010551214,,,,,,,,,,,,,,4417,Moral,2024-07-15_11h27.03.111,MoralCondition_v2,2022.2.5,30.0165992568619,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.16920830123127,107.16920830123127,0.00894940085709095,0.0992600005120039,1.0,0.9580662008374929,,,,,,,,,,,,,,4417,Moral,2024-07-15_11h27.03.111,MoralCondition_v2,2022.2.5,30.0165992568619,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.16930180042982,108.16930180042982,0.00906440056860447,0.09924530051648617,6.0,5.8579452987760305,,,,,,,,,,,,,,4417,Moral,2024-07-15_11h27.03.111,MoralCondition_v2,2022.2.5,30.0165992568619,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.08590169996023,114.08590169996023,0.011267300695180893,0.11429929919540882,1.0,6.0374454986304045,,,,,,,,,,,,,,4417,Moral,2024-07-15_11h27.03.111,MoralCondition_v2,2022.2.5,30.0165992568619,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.15288550034165,120.15288550034165,0.0010925009846687317,0.09882090054452419,6.0,7.864955101162195,,,,,,,,4417,Moral,2024-07-15_11h27.03.111,MoralCondition_v2,2022.2.5,30.0165992568619,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,128.05237230099738,9.809993207454681e-05,0.09900099970400333,134.0524288006127,6.015874000266194,134.3690323997289,134.3690323997289,0.21429939940571785,0.316159900277853,6.016188999637961,140.33599060028791,140.33599060028791,140.33599060028791,0.07043890096247196,0.18269960023462772,146.03600810095668,146.23594910092652,6.016256699338555,6.115971799939871,152.23594520054758,12.01606209948659,152.36930559948087,152.36930559948087,0.01620050147175789,0.11609929986298084,up,1.8804663997143507,154.3026269003749,5.8300793170928955e-05,0.0978728998452425,,160.33596649952233,160.33596649952233,0.028898000717163086,0.13114050030708313,1.0,3.836717300117016,,,,,,,6.09928959980607,152.33595450036228,152.33595450036228,,,,,4417,Moral,2024-07-15_11h27.03.111,MoralCondition_v2,2022.2.5,30.0165992568619,
